date,KCAMALIB62_s,KCAMALIB62_g,KCAPACIF132_s,KCAPACIF132_g,KCAMALIB87_s,KCAMALIB87_g,KCAPACIF208_s,KCAPACIF208_g,KCALOSAN958_s,KCALOSAN958_g,KCAPACIF227_s,KCAPACIF227_g,KCAPACIF287_s,KCAPACIF287_g,KCAMALIB133_s,KCAMALIB133_g,KCAPACIF320_s,KCAPACIF320_g
2025-01-06T16:00,1.6,2.2,0.7,1.1,8,9,6,6,3.4,4.5,,,0,5,1,1,3,4
2025-01-06T16:15,2.2,2.2,0.7,1.1,4,7,5,5,4,5.8,,,0,3,2,2,2,3
2025-01-06T16:30,1.6,2.2,1.1,2.2,3,5,3,3,2.9,4.5,,,0,2,0,2,2,4
2025-01-06T16:45,0.7,1.1,1.3,2.2,4,5,1,1,3.4,3.4,,,0,2,2,2,2,3
2025-01-06T17:00,0,0,2.2,2.2,2,4,0,0,3.1,4.5,,,0,2,2,2,0,2
2025-01-06T17:15,1.3,2.2,1.8,2.2,4,5,0,0,1.6,2.2,,,0,2,0,0,0,2
2025-01-06T17:30,1.1,1.1,2.2,2.2,0,3,0,0,0.9,1.1,,,0,1,0,0,0,1
2025-01-06T17:45,0.9,1.1,2.7,3.4,1,2,0,0,0,0,,,0,0,2,2,1,2
2025-01-06T18:00,1.3,2.2,2.2,2.2,3,3,1,1,0,0,,,1,1,2,2,1,2
2025-01-06T18:15,1.1,1.1,2.9,3.4,2,3,1,1,0,0,,,1,2,0,0,1,2
2025-01-06T18:30,0.9,1.1,2.9,3.4,2,2,0,0,0,0,,,0,4,4,4,1,2
2025-01-06T18:45,1.1,1.1,2.5,3.4,3,4,1,1,0,0,,,3,4,2,3,0,2
2025-01-06T19:00,1.3,2.2,2.2,3.4,2,3,0,1,0,0,,,2,3,0,0,0,2
2025-01-06T19:15,0,0,1.8,2.2,1,3,0,0,0,0,,,1,3,0,0,1,3
2025-01-06T19:30,0,0,2.2,2.2,1,2,1,1,0,0,,,0,4,0,0,1,2
2025-01-06T19:45,0,0,2,2.2,2,3,1,1,0,0,,,3,4,0,0,0,1
2025-01-06T20:00,0.4,1.1,2.5,3.4,1,3,0,0,0,0,,,1,3,0,0,0,1
2025-01-06T20:15,0,0,1.8,2.2,2,2,1,1,0,0,,,0,4,0,0,1,2
2025-01-06T20:30,0.9,1.1,2.2,2.2,0,3,0,0,0,0,,,0,3,0,0,0,2
2025-01-06T20:45,0.4,1.1,2.2,2.2,2,3,0,0,0,0,,,0,1,0,0,1,2
2025-01-06T21:00,0,0,2.5,3.4,2,3,0,0,0,0,,,0,0,0,0,0,1
2025-01-06T21:15,0.9,1.1,1.3,3.4,1,3,1,1,0,0,,,0,1,0,0,1,3
2025-01-06T21:30,0.9,1.1,2.2,2.2,3,3,0,0,0,0,,,0,3,0,0,1,2
2025-01-06T21:45,0.7,1.1,2.2,2.2,2,3,0,0,0.9,1.1,,,0,1,0,0,0,2
2025-01-06T22:00,0.2,1.1,2,2.2,2,4,0,0,0,0,,,2,2,3,3,1,2
2025-01-06T22:15,0.2,1.1,2.9,3.4,4,4,0,0,0,0,,,0,3,2,2,0,1
2025-01-06T22:30,0,0,1.8,2.2,2,4,0,0,1.3,2.2,,,0,1,2,2,0,2
2025-01-06T22:45,0.2,1.1,2.5,3.4,3,5,1,1,0.7,1.1,,,0,3,1,2,0,2
2025-01-06T23:00,0,0,2.7,3.4,2,5,1,1,0.9,1.1,,,3,3,2,2,2,3
2025-01-06T23:15,0,0,2.2,2.2,3,7,2,2,0,1.1,,,4,5,2,2,2,4
2025-01-06T23:30,0.2,1.1,2.9,3.4,3,7,2,2,0,0,,,2,5,2,2,2,4
2025-01-06T23:45,0,0,2.5,3.4,2,4,2,2,0,0,,,5,6,1,2,1,3
2025-01-07T00:00,0,0,1.6,2.2,3,4,1,1,0,0,,,0,3,2,2,,
2025-01-07T00:15,0,0,1.6,2.2,2,4,1,1,0,0,,,1,5,2,2,,
2025-01-07T00:30,0,0,1.6,2.2,2,4,1,1,0,0,,,2,8,2,2,,
2025-01-07T00:45,1.3,2.2,1.6,2.2,2,3,1,1,0,0,,,1,5,2,2,,
2025-01-07T01:00,1.1,1.1,,,4,5,,,0,0,,,3,3,2,2,,
2025-01-07T01:15,0.2,1.1,,,3,4,,,0,0,,,4,5,2,2,,
2025-01-07T01:30,0.9,1.1,,,3,4,,,0,0,,,3,6,2,2,,
2025-01-07T01:45,0.9,1.1,,,4,7,,,0,0,,,2,6,3,3,,
2025-01-07T02:00,0.9,1.1,,,2,4,,,0,0,,,3,7,1,1,,
2025-01-07T02:15,1.3,2.2,,,3,3,,,0,0,,,2,5,2,2,,
2025-01-07T02:30,0.7,1.1,,,3,5,,,0,0,,,2,5,0,0,,
2025-01-07T02:45,2.5,3.4,,,3,5,,,0,0,,,0,2,2,2,,
2025-01-07T03:00,2.2,4.5,,,3,5,,,0,0,,,0,0,2,2,,
2025-01-07T03:15,2.9,4.5,,,4,5,,,0,0,,,0,3,2,2,,
2025-01-07T03:30,2.5,4.5,,,2,4,,,0,0,,,1,4,3,3,,
2025-01-07T03:45,5.1,6.9,,,4,5,,,0,0,,,1,6,3,3,,
2025-01-07T04:00,3.4,6.9,,,6,9,,,0,0,,,0,2,3,3,,
2025-01-07T04:15,5.4,8.1,,,6,13,,,0,0,,,3,16,14,14,,
2025-01-07T04:30,4.9,10.3,,,8,14,,,0,0,,,5,20,33,33,,
2025-01-07T04:45,6,8.1,,,10,15,,,2.5,3.4,,,28,28,28,33,,
2025-01-07T05:00,7.8,12.5,,,11,13,,,2.5,3.4,,,10,26,27,27,,
2025-01-07T05:15,7.6,11.4,,,7,12,,,1.8,3.4,,,3,19,23,27,,
2025-01-07T05:30,7.8,12.5,,,5,12,,,0,0,,,5,17,21,22,,
2025-01-07T05:45,9.2,15.9,,,6,12,,,0,0,,,20,18,21,21,,
2025-01-07T06:00,8.1,10.3,,,4,10,,,0,0,,,12,23,21,21,,
2025-01-07T06:15,8.1,10.3,,,4,10,,,0,0,,,5,19,32,32,,
2025-01-07T06:30,6.5,9.2,,,9,12,,,0,0,,,6,23,25,25,,
2025-01-07T06:45,8.7,12.5,,,9,12,,,0,0,,,8,24,24,24,,
2025-01-07T07:00,5.6,8.1,,,8,12,,,0,0,,,23,26,20,20,,
2025-01-07T07:15,5.6,8.1,,,5,12,,,0,0,,,18,26,20,20,,
2025-01-07T07:30,7.4,13.6,,,14,24,,,0,0,,,13,26,23,23,,
2025-01-07T07:45,6.5,10.3,,,8,24,,,1.6,2.2,,,25,21,23,23,,
2025-01-07T08:00,14.5,20.6,,,10,27,,,0,0,,,2,27,21,22,,
2025-01-07T08:15,11.9,19.5,,,14,23,,,0,0,,,18,28,23,23,,
2025-01-07T08:30,8.3,14.8,,,16,25,,,0,0,,,5,35,29,29,,
2025-01-07T08:45,4.5,6.9,,,10,25,,,0,0,,,10,32,30,30,,
2025-01-07T09:00,9.4,14.8,,,13,21,,,0,0,,,26,36,29,30,,
2025-01-07T09:15,9.4,15.9,,,20,27,,,2.9,4.5,,,14,40,33,33,,
2025-01-07T09:30,7.6,17.2,,,15,30,,,4.3,5.8,,,23,39,27,29,,
2025-01-07T09:45,11.6,17.2,,,14,30,,,6,9.2,,,15,37,34,34,,
