"Precipitation","Dew Point","Humidity","Pressure","Condition","Temperature","Wind Speed","Wind Gust","Wind","Date","Source Weather","Source Fire CA","Display Date","Size","Containment","Structures Threatened","Structures Destroyed","Civilian Injuries","Civilian Fatalities","Structures Damaged","Firefighter Injuries"
"0.0","49","83","29.95","Mostly Cloudy","54","7","0","ESE","2025-01-03T00:00","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","83","29.95","Mostly Cloudy","54","7","0","ESE","2025-01-03T00:15","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","83","29.95","Mostly Cloudy","54","7","0","ESE","2025-01-03T00:30","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","83","29.95","Mostly Cloudy","54","7","0","ESE","2025-01-03T00:45","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","96","29.94","Mist","50","6","0","SE","2025-01-03T01:00","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","96","29.94","Mist","50","6","0","ESE","2025-01-03T01:00","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","96","29.94","Mist","50","6","0","SE","2025-01-03T01:15","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","96","29.94","Mist","50","6","0","ESE","2025-01-03T01:15","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","96","29.94","Mist","50","6","0","SE","2025-01-03T01:30","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","100","29.94","Mist","49","5","0","E","2025-01-03T01:30","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","96","29.94","Mist","50","6","0","SE","2025-01-03T01:45","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","96","29.94","Mist","50","6","0","ESE","2025-01-03T01:45","2025-01-03",,"Jan 4",,,,,,,,
"0.0","50","100","29.93","Mist","50","5","0","ESE","2025-01-03T02:00","2025-01-03",,"Jan 4",,,,,,,,
"0.0","50","100","29.93","Mist","50","5","0","ESE","2025-01-03T02:15","2025-01-03",,"Jan 4",,,,,,,,
"0.0","50","100","29.93","Mist","50","5","0","ESE","2025-01-03T02:30","2025-01-03",,"Jan 4",,,,,,,,
"0.0","50","100","29.93","Mist","50","5","0","ESE","2025-01-03T02:45","2025-01-03",,"Jan 4",,,,,,,,
"0.0","50","100","29.93","Fog","50","0","0","CALM","2025-01-03T03:00","2025-01-03",,"Jan 4",,,,,,,,
"0.0","50","100","29.93","Fog","50","0","0","CALM","2025-01-03T03:15","2025-01-03",,"Jan 4",,,,,,,,
"0.0","48","97","29.93","Fog","49","0","0","CALM","2025-01-03T03:30","2025-01-03",,"Jan 4",,,,,,,,
"0.0","48","100","29.93","Mist","48","0","0","CALM","2025-01-03T03:45","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","100","29.92","Mist","49","0","0","CALM","2025-01-03T04:00","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","100","29.92","Mist","49","0","0","CALM","2025-01-03T04:15","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","100","29.92","Mist","49","0","0","CALM","2025-01-03T04:30","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","100","29.92","Mist","49","0","0","CALM","2025-01-03T04:45","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","100","29.91","Mist","49","3","0","WSW","2025-01-03T05:00","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","96","29.91","Fog","50","5","0","W","2025-01-03T05:15","2025-01-03",,"Jan 4",,,,,,,,
"0.0","50","96","29.91","Fog","51","6","0","W","2025-01-03T05:30","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","100","29.91","Mist","49","3","0","WSW","2025-01-03T05:45","2025-01-03",,"Jan 4",,,,,,,,
"0.0","51","100","29.91","Fog","51","6","0","W","2025-01-03T06:00","2025-01-03",,"Jan 4",,,,,,,,
"0.0","51","100","29.90","Fog","51","6","0","W","2025-01-03T06:15","2025-01-03",,"Jan 4",,,,,,,,
"0.0","51","100","29.90","Fog","51","5","0","NW","2025-01-03T06:30","2025-01-03",,"Jan 4",,,,,,,,
"0.0","51","100","29.91","Fog","51","6","0","W","2025-01-03T06:45","2025-01-03",,"Jan 4",,,,,,,,
"0.0","51","100","29.91","Fog","51","5","0","WSW","2025-01-03T07:00","2025-01-03",,"Jan 4",,,,,,,,
"0.0","50","100","29.92","Mist","50","6","0","SW","2025-01-03T07:15","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","96","29.92","Mist","50","5","0","WSW","2025-01-03T07:30","2025-01-03",,"Jan 4",,,,,,,,
"0.0","49","100","29.92","Fog","49","5","0","WSW","2025-01-03T07:45","2025-01-03",,"Jan 4",,,,,,,,
"0.0","50","100","29.92","Fog","50","6","0","WSW","2025-01-03T08:00","2025-01-03",,"Jan 4",,,,,,,,
"0.0","50","100","29.92","Fog","50","0","0","CALM","2025-01-03T08:15","2025-01-03",,"Jan 4",,,,,,,,
