DateTime,Wind Speed High,Station Wind Speed High,Wind Gust High,Station Wind Gust High
2025-01-07T00:00,6.5,KCATOPAN55,11.4,KCATOPAN55
2025-01-07T00:15,5.4,KCAMALIB158,11.6,KCATOPAN55
2025-01-07T00:30,6.5,KCAMALIB61,10.3,KCAMALIB61
2025-01-07T00:45,7.8,KCAMALIB61,10.3,KCAMALIB61
2025-01-07T01:00,7.6,KCAMALIB61,11.4,KCATOPAN55
2025-01-07T01:15,5.8,KCATOPAN55,9.8,KCATOPAN55
2025-01-07T01:30,9.2,KCAMALIB158,11.9,KCAMALIB158
2025-01-07T01:45,8.9,KCAMALIB158,13.4,KCAMALIB158
2025-01-07T02:00,11,KCAMALIB158,17.9,KCAMALIB158
2025-01-07T02:15,8.7,KCAMALIB158,14.8,KCAMALIB158
2025-01-07T02:30,10.3,KCATOPAN55,15,KCATOPAN55
2025-01-07T02:45,11.9,KCAMALIB158,16.3,KCAMALIB158
2025-01-07T03:00,13,KCAMALIB158,19.2,KCAMALIB158
2025-01-07T03:15,10.5,KCAMALIB158,16.3,KCAMALIB158
2025-01-07T03:30,14.5,KCATOPAN32,19.5,KCATOPAN55
2025-01-07T03:45,16.3,KCATOPAN32,22.6,KCATOPAN55
2025-01-07T04:00,17.9,KCATOPAN32,22.8,KCATOPAN32
2025-01-07T04:15,22.1,KCATOPAN32,25.1,KCATOPAN32
2025-01-07T04:30,20.1,KCAMALIB158,28.2,KCAMALIB158
2025-01-07T04:45,28,KCAPACIF287,28.2,KCAMALIB158
2025-01-07T05:00,19.7,KCAMALIB158,31.1,KCAMALIB158
2025-01-07T05:15,22.1,KCAMALIB158,28.2,KCAMALIB158
2025-01-07T05:30,26.6,KCAMALIB52,26.6,KCAMALIB158
2025-01-07T05:45,24,KCAMALIB114,28.6,KCAMALIB108
2025-01-07T06:00,20,KCAMALIB114,26.4,KCATOPAN55
2025-01-07T06:15,25,KCAMALIB114,26.2,KCATOPAN55
2025-01-07T06:30,27,KCAMALIB114,27,KCAMALIB114
2025-01-07T06:45,24,KCAMALIB114,24,KCAMALIB114
2025-01-07T07:00,23,KCAPACIF287,32.7,KCAMALIB158
2025-01-07T07:15,23.3,KCAMALIB158,34,KCAMALIB158
