"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"2023-01-07|1:53 AM","52ʡF","43ʡF","71ʡ%","ENE","3ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Partly Cloudy"
"2023-01-07|2:53 AM","53ʡF","40ʡF","61ʡ%","NNE","5ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|3:53 AM","52ʡF","39ʡF","61ʡ%","CALM","0ʡmph","0ʡmph","30.01ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|4:53 AM","53ʡF","39ʡF","59ʡ%","NNE","7ʡmph","0ʡmph","29.99ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|5:53 AM","52ʡF","39ʡF","61ʡ%","N","6ʡmph","0ʡmph","30.01ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|6:53 AM","52ʡF","39ʡF","61ʡ%","NE","8ʡmph","0ʡmph","30.01ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|7:53 AM","55ʡF","38ʡF","53ʡ%","NE","7ʡmph","0ʡmph","30.01ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|8:53 AM","54ʡF","39ʡF","57ʡ%","VAR","5ʡmph","0ʡmph","30.02ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|9:53 AM","58ʡF","41ʡF","53ʡ%","NE","3ʡmph","0ʡmph","30.03ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|10:53 AM","59ʡF","40ʡF","49ʡ%","ENE","7ʡmph","0ʡmph","30.04ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|11:53 AM","63ʡF","40ʡF","43ʡ%","VAR","3ʡmph","0ʡmph","30.03ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|12:53 PM","65ʡF","38ʡF","37ʡ%","VAR","3ʡmph","0ʡmph","30.01ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|1:53 PM","67ʡF","38ʡF","34ʡ%","SSE","6ʡmph","0ʡmph","29.98ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|2:53 PM","63ʡF","47ʡF","56ʡ%","WSW","10ʡmph","0ʡmph","29.97ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|3:53 PM","62ʡF","49ʡF","62ʡ%","WSW","8ʡmph","0ʡmph","29.97ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|4:53 PM","60ʡF","49ʡF","67ʡ%","W","9ʡmph","0ʡmph","29.97ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|5:53 PM","58ʡF","50ʡF","75ʡ%","W","9ʡmph","0ʡmph","29.99ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|6:53 PM","58ʡF","50ʡF","75ʡ%","CALM","0ʡmph","0ʡmph","29.98ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|7:53 PM","57ʡF","49ʡF","74ʡ%","CALM","0ʡmph","0ʡmph","29.99ʡin","0.0ʡin","Partly Cloudy"
"2023-01-07|8:53 PM","58ʡF","51ʡF","78ʡ%","NW","3ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|9:53 PM","56ʡF","52ʡF","87ʡ%","WSW","6ʡmph","0ʡmph","30.01ʡin","0.0ʡin","Partly Cloudy"
"2023-01-07|10:53 PM","56ʡF","53ʡF","90ʡ%","WSW","5ʡmph","0ʡmph","30.03ʡin","0.0ʡin","Partly Cloudy"
"2023-01-07|11:53 PM","54ʡF","50ʡF","86ʡ%","CALM","0ʡmph","0ʡmph","30.04ʡin","0.0ʡin","Mostly Cloudy"
"2023-01-07|12:53 AM","55ʡF","48ʡF","77ʡ%","VAR","3ʡmph","0ʡmph","30.04ʡin","0.0ʡin","Mostly Cloudy"
