"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"1:53 AM","57ʡF","55ʡF","93ʡ%","WSW","7ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Cloudy"
"2:53 AM","57ʡF","55ʡF","93ʡ%","SW","10ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Light Rain"
"3:53 AM","56ʡF","54ʡF","93ʡ%","WSW","12ʡmph","0ʡmph","29.90ʡin","0.0ʡin","Mostly Cloudy"
"4:53 AM","57ʡF","55ʡF","93ʡ%","WSW","10ʡmph","0ʡmph","29.90ʡin","0.0ʡin","Mostly Cloudy"
"5:41 AM","56ʡF","54ʡF","93ʡ%","WSW","14ʡmph","0ʡmph","29.90ʡin","0.0ʡin","Partly Cloudy"
"5:53 AM","56ʡF","55ʡF","97ʡ%","WSW","14ʡmph","0ʡmph","29.90ʡin","0.0ʡin","Partly Cloudy"
"6:38 AM","57ʡF","55ʡF","93ʡ%","W","16ʡmph","0ʡmph","29.92ʡin","0.0ʡin","Light Rain"
"6:53 AM","56ʡF","54ʡF","93ʡ%","W","18ʡmph","0ʡmph","29.93ʡin","0.0ʡin","Mostly Cloudy"
"7:17 AM","55ʡF","52ʡF","89ʡ%","WSW","14ʡmph","0ʡmph","29.93ʡin","0.0ʡin","Mostly Cloudy"
"7:53 AM","56ʡF","52ʡF","87ʡ%","W","16ʡmph","0ʡmph","29.95ʡin","0.0ʡin","Mostly Cloudy"
"8:53 AM","57ʡF","53ʡF","87ʡ%","W","13ʡmph","0ʡmph","29.98ʡin","0.0ʡin","Partly Cloudy"
"9:53 AM","58ʡF","53ʡF","84ʡ%","WSW","17ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Partly Cloudy"
"10:53 AM","59ʡF","53ʡF","81ʡ%","W","20ʡmph","0ʡmph","30.00ʡin","0.0ʡin","Mostly Cloudy"
"11:53 AM","60ʡF","53ʡF","78ʡ%","WSW","18ʡmph","0ʡmph","30.01ʡin","0.0ʡin","Partly Cloudy"
"12:53 PM","61ʡF","52ʡF","72ʡ%","W","25ʡmph","31ʡmph","30.00ʡin","0.0ʡin","Mostly Cloudy / Windy"
"1:53 PM","60ʡF","52ʡF","75ʡ%","WSW","24ʡmph","0ʡmph","29.97ʡin","0.0ʡin","Partly Cloudy / Windy"
"2:53 PM","61ʡF","51ʡF","70ʡ%","WSW","22ʡmph","0ʡmph","29.95ʡin","0.0ʡin","Partly Cloudy / Windy"
"3:53 PM","60ʡF","51ʡF","72ʡ%","W","23ʡmph","30ʡmph","29.95ʡin","0.0ʡin","Partly Cloudy / Windy"
"4:53 PM","60ʡF","50ʡF","69ʡ%","W","22ʡmph","30ʡmph","29.94ʡin","0.0ʡin","Partly Cloudy / Windy"
"5:53 PM","58ʡF","48ʡF","70ʡ%","W","24ʡmph","0ʡmph","29.95ʡin","0.0ʡin","Mostly Cloudy / Windy"
"6:53 PM","56ʡF","49ʡF","77ʡ%","W","21ʡmph","0ʡmph","29.96ʡin","0.0ʡin","Mostly Cloudy / Windy"
"7:53 PM","57ʡF","49ʡF","74ʡ%","W","12ʡmph","0ʡmph","29.96ʡin","0.0ʡin","Partly Cloudy"
"8:53 PM","56ʡF","51ʡF","84ʡ%","SSW","6ʡmph","0ʡmph","29.98ʡin","0.0ʡin","Partly Cloudy"
"9:53 PM","58ʡF","48ʡF","70ʡ%","W","8ʡmph","0ʡmph","29.99ʡin","0.0ʡin","Fair"
"10:53 PM","54ʡF","49ʡF","83ʡ%","CALM","0ʡmph","0ʡmph","30.01ʡin","0.0ʡin","Fair"
"11:53 PM","53ʡF","48ʡF","83ʡ%","E","7ʡmph","0ʡmph","30.03ʡin","0.0ʡin","Fair"
"12:53 AM","58ʡF","39ʡF","49ʡ%","NNW","13ʡmph","16ʡmph","30.02ʡin","0.0ʡin","Fair"
