"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KLAX","2019-04-02T00:00","61","61","0","0","0","0","CALM","0.0","56","83","29.78","Fair"
"KLAX","2019-04-02T00:15","61","61","0","0","0","0","CALM","0.0","56","83","29.78","Fair"
"KLAX","2019-04-02T00:30","61","61","0","0","0","0","CALM","0.0","56","83","29.78","Fair"
"KLAX","2019-04-02T00:45","61","61","0","0","0","0","CALM","0.0","56","83","29.78","Fair"
"KLAX","2019-04-02T02:00","61","61","0","0","0","0","CALM","0.0","56","83","29.79","Patches of Fog"
"KLAX","2019-04-02T02:15","61","61","0","0","0","0","CALM","0.0","56","83","29.79","Patches of Fog"
"KLAX","2019-04-02T02:30","61","61","0","0","0","0","CALM","0.0","56","83","29.79","Patches of Fog"
"KLAX","2019-04-02T02:45","61","61","0","0","0","0","CALM","0.0","56","83","29.79","Patches of Fog"
"KLAX","2019-04-02T03:00","60","60","0","0","0","0","CALM","0.0","56","86","29.78","Mist"
"KLAX","2019-04-02T03:15","60","60","0","0","0","0","CALM","0.0","56","86","29.78","Mist"
"KLAX","2019-04-02T03:30","60","60","0","0","0","0","CALM","0.0","56","86","29.78","Mist"
"KLAX","2019-04-02T03:45","60","60","0","0","0","0","CALM","0.0","56","86","29.78","Mist"
"KLAX","2019-04-02T04:00","59","59","6","6","0","0","E","0.0","55","87","29.76","Mostly Cloudy"
"KLAX","2019-04-02T04:15","59","59","6","6","0","0","E","0.0","55","87","29.76","Mostly Cloudy"
"KLAX","2019-04-02T04:30","59","59","6","6","0","0","E","0.0","55","87","29.76","Mostly Cloudy"
"KLAX","2019-04-02T04:45","59","59","6","6","0","0","E","0.0","55","87","29.76","Mostly Cloudy"
"KLAX","2019-04-02T05:00","59","59","12","12","0","0","E","0.0","55","87","29.75","Partly Cloudy"
"KLAX","2019-04-02T05:15","59","59","12","12","0","0","E","0.0","55","87","29.75","Partly Cloudy"
"KLAX","2019-04-02T05:30","59","59","12","12","0","0","E","0.0","55","87","29.75","Partly Cloudy"
"KLAX","2019-04-02T05:45","59","59","12","12","0","0","E","0.0","55","87","29.75","Partly Cloudy"
"KLAX","2019-04-02T06:00","59","59","8","8","0","0","E","0.0","55","87","29.76","Mostly Cloudy"
"KLAX","2019-04-02T06:15","59","59","8","8","0","0","E","0.0","55","87","29.76","Mostly Cloudy"
"KLAX","2019-04-02T06:30","59","59","8","8","0","0","E","0.0","55","87","29.76","Mostly Cloudy"
"KLAX","2019-04-02T06:45","59","59","8","8","0","0","E","0.0","55","87","29.76","Mostly Cloudy"
"KLAX","2019-04-02T07:00","59","59","8","8","0","0","ESE","0.0","55","87","29.78","Mostly Cloudy"
"KLAX","2019-04-02T07:15","60","60","8","8","0","0","SE","0.0","55","83","29.79","Mostly Cloudy"
"KLAX","2019-04-02T07:30","59","59","8","8","0","0","ESE","0.0","55","87","29.78","Mostly Cloudy"
"KLAX","2019-04-02T07:45","59","59","8","8","0","0","ESE","0.0","55","87","29.78","Mostly Cloudy"
"KLAX","2019-04-02T08:00","61","61","9","9","0","0","ESE","0.0","55","81","29.80","Mostly Cloudy"
"KLAX","2019-04-02T08:15","61","61","9","9","0","0","ESE","0.0","55","81","29.80","Mostly Cloudy"
"KLAX","2019-04-02T08:30","61","61","9","9","0","0","ESE","0.0","55","81","29.80","Mostly Cloudy"
"KLAX","2019-04-02T08:45","61","61","9","9","0","0","ESE","0.0","55","81","29.80","Mostly Cloudy"
"KLAX","2019-04-02T09:00","63","63","8","8","0","0","ESE","0.0","54","72","29.81","Mostly Cloudy"
"KLAX","2019-04-02T09:15","63","63","8","8","0","0","ESE","0.0","54","72","29.81","Mostly Cloudy"
"KLAX","2019-04-02T09:30","63","63","8","8","0","0","ESE","0.0","54","72","29.81","Mostly Cloudy"
"KLAX","2019-04-02T09:45","63","63","8","8","0","0","ESE","0.0","54","72","29.81","Mostly Cloudy"
"KLAX","2019-04-02T10:00","63","63","8","8","0","0","SSE","0.0","53","70","29.82","Cloudy"
"KLAX","2019-04-02T10:15","63","63","8","8","0","0","SSE","0.0","53","70","29.82","Cloudy"
"KLAX","2019-04-02T10:30","63","63","8","8","0","0","SSE","0.0","53","70","29.82","Cloudy"
"KLAX","2019-04-02T10:45","63","63","8","8","0","0","SSE","0.0","53","70","29.82","Cloudy"
"KLAX","2019-04-02T11:00","66","66","9","9","20","20","SSE","0.0","53","63","29.82","Mostly Cloudy"
"KLAX","2019-04-02T11:15","66","66","9","9","20","20","SSE","0.0","53","63","29.82","Mostly Cloudy"
"KLAX","2019-04-02T11:30","66","66","9","9","20","20","SSE","0.0","53","63","29.82","Mostly Cloudy"
"KLAX","2019-04-02T11:45","66","66","9","9","20","20","SSE","0.0","53","63","29.82","Mostly Cloudy"
"KLAX","2019-04-02T12:00","68","68","8","8","0","0","ESE","0.0","53","59","29.82","Mostly Cloudy"
"KLAX","2019-04-02T12:15","68","68","8","8","0","0","ESE","0.0","53","59","29.82","Mostly Cloudy"
"KLAX","2019-04-02T12:30","68","68","8","8","0","0","ESE","0.0","53","59","29.82","Mostly Cloudy"
"KLAX","2019-04-02T12:45","68","68","8","8","0","0","ESE","0.0","53","59","29.82","Mostly Cloudy"
"KLAX","2019-04-02T13:00","68","68","12","12","0","0","SW","0.0","54","61","29.81","Mostly Cloudy"
"KLAX","2019-04-02T13:15","68","68","12","12","0","0","SW","0.0","54","61","29.81","Mostly Cloudy"
"KLAX","2019-04-02T13:30","68","68","12","12","0","0","SW","0.0","54","61","29.81","Mostly Cloudy"
"KLAX","2019-04-02T13:45","68","68","12","12","0","0","SW","0.0","54","61","29.81","Mostly Cloudy"
"KLAX","2019-04-02T14:00","66","66","14","14","0","0","SW","0.0","55","68","29.81","Partly Cloudy"
"KLAX","2019-04-02T14:15","66","66","14","14","0","0","SW","0.0","55","68","29.81","Partly Cloudy"
"KLAX","2019-04-02T14:30","66","66","14","14","0","0","SW","0.0","55","68","29.81","Partly Cloudy"
"KLAX","2019-04-02T14:45","66","66","14","14","0","0","SW","0.0","55","68","29.81","Partly Cloudy"
"KLAX","2019-04-02T15:00","65","65","17","17","0","0","WSW","0.0","53","65","29.81","Partly Cloudy"
"KLAX","2019-04-02T15:15","65","65","17","17","0","0","WSW","0.0","53","65","29.81","Partly Cloudy"
"KLAX","2019-04-02T15:30","64","64","15","15","0","0","WSW","0.0","54","70","29.80","Mostly Cloudy"
"KLAX","2019-04-02T15:45","65","65","17","17","0","0","WSW","0.0","53","65","29.81","Partly Cloudy"
"KLAX","2019-04-02T16:00","65","65","16","16","0","0","W","0.0","54","68","29.80","Partly Cloudy"
"KLAX","2019-04-02T16:15","65","65","16","16","0","0","W","0.0","54","68","29.80","Partly Cloudy"
"KLAX","2019-04-02T16:30","65","65","16","16","0","0","W","0.0","54","68","29.80","Partly Cloudy"
"KLAX","2019-04-02T16:45","65","65","16","16","0","0","W","0.0","54","68","29.80","Partly Cloudy"
"KLAX","2019-04-02T17:00","63","63","12","12","0","0","WSW","0.0","52","67","29.80","Fair"
"KLAX","2019-04-02T17:15","63","63","12","12","0","0","WSW","0.0","52","67","29.80","Fair"
"KLAX","2019-04-02T17:30","63","63","12","12","0","0","WSW","0.0","52","67","29.80","Fair"
"KLAX","2019-04-02T17:45","63","63","12","12","0","0","WSW","0.0","52","67","29.80","Fair"
"KLAX","2019-04-02T18:00","62","62","12","12","0","0","WSW","0.0","52","70","29.80","Fair"
"KLAX","2019-04-02T18:15","62","62","12","12","0","0","WSW","0.0","52","70","29.80","Fair"
"KLAX","2019-04-02T18:30","62","62","12","12","0","0","WSW","0.0","52","70","29.80","Fair"
"KLAX","2019-04-02T18:45","62","62","12","12","0","0","WSW","0.0","52","70","29.80","Fair"
"KLAX","2019-04-02T19:00","60","60","10","10","0","0","WSW","0.0","50","69","29.81","Fair"
"KLAX","2019-04-02T19:15","60","60","10","10","0","0","WSW","0.0","50","69","29.81","Fair"
