"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCALOSAN958","2024-12-03T00:00",50.7,50.5,0,0,0,0,344,0,49.2,95,29.93,"none"
"KCALOSAN958","2024-12-03T00:15",50.7,50.5,0,0,0,0,339,0,49.2,95.2,29.92,"none"
"KCALOSAN958","2024-12-03T00:30",50.5,50.2,0,0,0,0,339,0,49.2,95.9,29.92,"none"
"KCALOSAN958","2024-12-03T00:45",50.2,49.8,0,0,0,0,338,0,49,96,29.92,"none"
"KCALOSAN958","2024-12-03T01:00",50,48.7,0,0,0,0,331,0,48.1,96,29.91,"none"
"KCALOSAN958","2024-12-03T01:15",48.9,48,0,0,0,0,337,0,47.1,96,29.91,"none"
"KCALOSAN958","2024-12-03T01:30",49.3,48.2,0,0,0,0,338,0,47.8,96.2,29.91,"none"
"KCALOSAN958","2024-12-03T01:45",49.1,48.4,0,0,0,0,336,0,47.9,96.9,29.92,"none"
"KCALOSAN958","2024-12-03T02:00",48.6,48,0,0,0,0,339,0,47.3,97,29.92,"none"
"KCALOSAN958","2024-12-03T02:15",49.1,48.2,0,0,0,0,347,0,47.8,97,29.92,"none"
"KCALOSAN958","2024-12-03T02:30",49.8,49.1,0,0,0,0,335,0,48.8,97,29.92,"none"
"KCALOSAN958","2024-12-03T02:45",49.5,48.2,0,0,0,0,338,0,47.6,97,29.92,"none"
"KCALOSAN958","2024-12-03T03:00",48.4,47.5,0,0,0,0,338,0,46.9,97,29.92,"none"
"KCALOSAN958","2024-12-03T03:15",48.4,47.5,0,0,0,0,339,0,47.6,97.9,29.92,"none"
"KCALOSAN958","2024-12-03T03:30",48.4,48.2,0,0,0,0,338,0,47.7,98,29.91,"none"
"KCALOSAN958","2024-12-03T03:45",48.9,48.2,0,0,0,0,331,0,47.8,98,29.91,"none"
"KCALOSAN958","2024-12-03T04:00",48.7,48.4,0,0,0,0,338,0,47.9,98,29.91,"none"
"KCALOSAN958","2024-12-03T04:15",48.9,48.6,0,0,0,0,341,0,48,98,29.91,"none"
"KCALOSAN958","2024-12-03T04:30",49.5,48.6,0,0,0,0,337,0,48.4,98,29.91,"none"
"KCALOSAN958","2024-12-03T04:45",48.6,47.8,0,0,0,0,337,0,47.5,98,29.91,"none"
"KCALOSAN958","2024-12-03T05:00",48.6,47.8,0,0,0,0,334,0,47.6,98,29.92,"none"
"KCALOSAN958","2024-12-03T05:15",47.8,47.1,0,0,0,0,332,0,46.6,98,29.92,"none"
"KCALOSAN958","2024-12-03T05:30",47.7,46.8,0,0,0,0,335,0,46.3,98,29.92,"none"
"KCALOSAN958","2024-12-03T05:45",47.3,45.9,0,0,0,0,337,0,45.5,98,29.93,"none"
"KCALOSAN958","2024-12-03T06:00",46.8,46,0,0,0,0,338,0,45.9,98,29.93,"none"
"KCALOSAN958","2024-12-03T06:15",46.8,46.2,0,0,0,0,340,0,45.8,98,29.93,"none"
"KCALOSAN958","2024-12-03T06:30",46.8,46.6,0,0,0,0,341,0,46,98,29.94,"none"
"KCALOSAN958","2024-12-03T06:45",46.6,46,0,0,0,0,338,0,45.6,98,29.94,"none"
"KCALOSAN958","2024-12-03T07:00",47.1,46.6,0,0,0,0,338,0,46,98,29.94,"none"
"KCALOSAN958","2024-12-03T07:15",47.1,46.8,0,0,0,0,339,0,46.2,98,29.94,"none"
"KCALOSAN958","2024-12-03T07:30",47.3,46.8,0,0,0,0,338,0,46.4,98,29.95,"none"
"KCALOSAN958","2024-12-03T07:45",48.2,47.3,0,0,0,0,338,0,46.9,98,29.95,"none"
"KCALOSAN958","2024-12-03T08:00",49.3,48.2,0,0,0,0,338,0,47.8,98,29.96,"none"
"KCALOSAN958","2024-12-03T08:15",51.4,49.3,0,0,0,0,338,0,48.9,98,29.96,"none"
"KCALOSAN958","2024-12-03T08:30",52.2,50.9,0,0,0,0,0,0,50.5,97,29.97,"none"
"KCALOSAN958","2024-12-03T08:45",57.2,52.2,0,0,0,0,34,0,51.7,84.5,29.97,"none"
"KCALOSAN958","2024-12-03T09:00",61.2,57.2,0,0,0,0,308,0,49.8,70,29.98,"none"
"KCALOSAN958","2024-12-03T09:15",62.4,60.6,0,0,0,0,272,0,51.1,68.3,29.98,"none"
"KCALOSAN958","2024-12-03T09:30",63,62.2,0.7,0,1.1,0,32,0,52.6,69.6,29.98,"none"
"KCALOSAN958","2024-12-03T09:45",63.9,63.1,1.6,0,2.2,0,229,0,52.8,67.7,29.98,"none"
"KCALOSAN958","2024-12-03T10:00",64.2,62.8,0,0,0,0,272,0,52.8,67.4,29.98,"none"
