"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCAMALIB62","2019-07-21T00:00",63.7,63.7,0.7,0,1.1,0,292,0,60.7,90,29.99,"none"
"KCAMALIB62","2019-07-21T00:15",63.9,63.7,3.4,0,4.5,0,28,0,60.7,90,29.99,"none"
"KCAMALIB62","2019-07-21T00:30",63.7,63.5,2.5,0.2,4.5,1.1,332,0,60.8,91,29.99,"none"
"KCAMALIB62","2019-07-21T00:45",63.5,63.1,2.7,0,3.4,0,21,0,60.5,91,29.99,"none"
"KCAMALIB62","2019-07-21T01:00",63.1,63,3.1,0,4.5,0,9,0,60.4,91,29.99,"none"
"KCAMALIB62","2019-07-21T01:15",63.1,63,2.2,0,3.4,0,274,0,60.4,91,29.99,"none"
"KCAMALIB62","2019-07-21T01:30",63.1,62.6,2.5,0,4.5,0,9,0,60.4,92,29.99,"none"
"KCAMALIB62","2019-07-21T01:45",62.6,62.6,3.4,0,4.5,0,45,0,60.2,92,29.99,"none"
"KCAMALIB62","2019-07-21T02:00",62.6,62.2,3.6,0,5.8,0,25,0,60,92,30,"none"
"KCAMALIB62","2019-07-21T02:15",62.2,62.2,1.8,0,3.4,0,31,0,60.1,92.8,30,"none"
"KCAMALIB62","2019-07-21T02:30",62.1,61.9,1.6,0,3.4,0,243,0,60,93,29.99,"none"
"KCAMALIB62","2019-07-21T02:45",62.1,61.9,2.2,0,3.4,0,5,0,59.9,93,30,"none"
"KCAMALIB62","2019-07-21T03:00",61.7,61.5,2.9,0,3.4,0,345,0,59.5,93,29.99,"none"
"KCAMALIB62","2019-07-21T03:15",61.5,60.4,0.9,0,2.2,0,309,0,58.6,93,29.99,"none"
"KCAMALIB62","2019-07-21T03:30",61.2,60.4,0.7,0,1.1,0,301,0,58.5,93,29.99,"none"
"KCAMALIB62","2019-07-21T03:45",61.2,60.8,1.1,0,2.2,0,308,0,59,93.3,29.99,"none"
"KCAMALIB62","2019-07-21T04:00",60.8,60.1,0.7,0,1.1,0,282,0,58.5,94,29.98,"none"
"KCAMALIB62","2019-07-21T04:15",60.1,59.4,0,0,0,0,292,0,57.7,94,29.98,"none"
"KCAMALIB62","2019-07-21T04:30",59.5,59.2,0,0,0,0,294,0,57.5,94,29.98,"none"
"KCAMALIB62","2019-07-21T04:45",59.4,59.2,0,0,0,0,294,0,57.6,94.5,29.99,"none"
"KCAMALIB62","2019-07-21T05:00",59.2,59,0.4,0,1.1,0,297,0,57.6,95,29.99,"none"
"KCAMALIB62","2019-07-21T05:15",59.2,59,0,0,0,0,298,0,57.6,95,29.99,"none"
"KCAMALIB62","2019-07-21T05:30",59,58.8,0,0,0,0,298,0,57.4,95,29.99,"none"
"KCAMALIB62","2019-07-21T05:45",59,59,0,0,0,0,299,0,57.6,95,29.99,"none"
"KCAMALIB62","2019-07-21T06:00",59,58.8,0,0,0,0,300,0,57.7,96,29.99,"none"
"KCAMALIB62","2019-07-21T06:15",59,58.8,0,0,0,0,300,0,57.7,96,30,"none"
"KCAMALIB62","2019-07-21T06:30",59.4,59,0,0,0,0,300,0,57.9,96,30,"none"
"KCAMALIB62","2019-07-21T06:45",62.1,59.4,0,0,0,0,300,0,58.5,94.8,30,"none"
"KCAMALIB62","2019-07-21T07:00",63.9,62.2,0,0,0,0,300,0,60.7,91,30.01,"none"
"KCAMALIB62","2019-07-21T07:15",64,63.5,1.1,0,1.1,0,244,0,60.8,90.8,30.01,"none"
"KCAMALIB62","2019-07-21T07:30",65.3,64,0.7,0,1.1,0,239,0,61.2,88.4,30.01,"none"
"KCAMALIB62","2019-07-21T07:45",65.5,65.1,1.3,0,2.2,0,210,0,61.5,87.6,30.02,"none"
"KCAMALIB62","2019-07-21T08:00",66,65.1,0.9,0,1.1,0,214,0,61.4,86.6,30.02,"none"
"KCAMALIB62","2019-07-21T08:15",67.3,66,1.3,0,2.2,0,152,0,61.6,84.4,30.02,"none"
"KCAMALIB62","2019-07-21T08:30",68.4,67.1,2.5,0,3.4,0,193,0,62.4,82,30.02,"none"
"KCAMALIB62","2019-07-21T08:45",68.4,67.6,2.2,0,3.4,0,230,0,62.3,82,30.02,"none"
"KCAMALIB62","2019-07-21T09:00",68.4,67.5,2.2,0.2,3.4,1.1,205,0,62.2,81.7,30.03,"none"
"KCAMALIB62","2019-07-21T09:15",69.6,68.5,2.2,0,4.5,0,217,0,62.5,79.6,30.02,"none"
"KCAMALIB62","2019-07-21T09:30",69.8,69.1,2.2,0,3.4,0,228,0,62.7,79,30.02,"none"
"KCAMALIB62","2019-07-21T09:45",70.7,69.1,3.4,0.2,4.5,1.1,251,0,62.5,77.6,30.02,"none"
"KCAMALIB62","2019-07-21T10:00",69.8,68.5,3.8,0.4,5.8,1.1,245,0,62.5,78.4,30.02,"none"
"KCAMALIB62","2019-07-21T10:15",70.7,68.5,4.7,0,5.8,0,251,0,62.2,76.3,30.03,"none"
"KCAMALIB62","2019-07-21T10:30",70.5,70.2,3.6,0,4.5,0,252,0,62.6,76.2,30.02,"none"
"KCAMALIB62","2019-07-21T10:45",70.9,68.7,4,0.9,5.8,1.1,236,0,62,77.3,30.03,"none"
