"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCAPACIF208","2022-05-16T00:00",54.9,54.8,0,0,0,0,77,0,49.4,82.1,29.16,"none"
"KCAPACIF208","2022-05-16T00:15",54.9,54.6,1,0,1,0,54,0,49.5,82.9,29.16,"none"
"KCAPACIF208","2022-05-16T00:30",54.7,54.4,0,0,0,0,36,0,49.4,83,29.16,"none"
"KCAPACIF208","2022-05-16T00:45",54.5,54.2,0,0,0,0,67,0,49,82.4,29.16,"none"
"KCAPACIF208","2022-05-16T01:00",54.2,53.8,0,0,0,0,49,0,48.7,82.3,29.16,"none"
"KCAPACIF208","2022-05-16T01:15",54,53.7,0,0,0,0,57,0,48.7,82.8,29.16,"none"
"KCAPACIF208","2022-05-16T01:30",53.9,53.6,0,0,0,0,71,0,48.8,83,29.16,"none"
"KCAPACIF208","2022-05-16T01:45",53.7,53.5,0,0,0,0,80,0,48.9,84,29.16,"none"
"KCAPACIF208","2022-05-16T02:00",53.6,53.4,0,0,0,0,64,0,49.1,85,29.16,"none"
"KCAPACIF208","2022-05-16T02:15",53.5,53,0,0,0,0,51,0,48.9,85.4,29.16,"none"
"KCAPACIF208","2022-05-16T02:30",53.2,53,0,0,0,0,68,0,49.2,86.6,29.16,"none"
"KCAPACIF208","2022-05-16T02:45",53,52.6,0,0,0,0,36,0,48.9,87,29.16,"none"
"KCAPACIF208","2022-05-16T03:00",52.7,52.3,0,0,0,0,58,0,48.8,87.1,29.16,"none"
"KCAPACIF208","2022-05-16T03:15",52.4,52.1,0,0,0,0,16,0,48.8,88,29.15,"none"
"KCAPACIF208","2022-05-16T03:30",52.2,52,0,0,0,0,55,0,48.7,88,29.15,"none"
"KCAPACIF208","2022-05-16T03:45",52,51.8,0,0,0,0,56,0,48.8,89,29.15,"none"
"KCAPACIF208","2022-05-16T04:00",51.9,51.7,0,0,0,0,46,0,48.7,89,29.15,"none"
"KCAPACIF208","2022-05-16T04:15",51.8,51.5,0,0,0,0,46,0,48.5,89,29.16,"none"
"KCAPACIF208","2022-05-16T04:30",51.6,51.5,0,0,0,0,91,0,48.7,89.8,29.15,"none"
