"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KTOA","2025-01-07T02:00","55","55","0","0","0","0","CALM","0.0","53","93","29.86","Fair"
"KTOA","2025-01-07T02:15","55","55","0","0","0","0","CALM","0.0","53","93","29.86","Fair"
"KTOA","2025-01-07T02:30","55","55","0","0","0","0","CALM","0.0","53","93","29.86","Fair"
"KTOA","2025-01-07T02:45","55","55","0","0","0","0","CALM","0.0","53","93","29.86","Fair"
"KTOA","2025-01-07T03:00","54","54","0","0","0","0","CALM","0.0","52","93","29.86","Fair"
"KTOA","2025-01-07T03:15","54","54","0","0","0","0","CALM","0.0","52","93","29.86","Fair"
"KTOA","2025-01-07T03:30","54","54","0","0","0","0","CALM","0.0","52","93","29.86","Fair"
"KTOA","2025-01-07T03:45","54","54","0","0","0","0","CALM","0.0","52","93","29.86","Fair"
"KTOA","2025-01-07T04:00","52","52","0","0","0","0","CALM","0.0","50","93","29.86","Fair"
"KTOA","2025-01-07T04:15","52","52","0","0","0","0","CALM","0.0","50","93","29.86","Fair"
"KTOA","2025-01-07T04:30","52","52","0","0","0","0","CALM","0.0","50","93","29.86","Fair"
"KTOA","2025-01-07T04:45","52","52","0","0","0","0","CALM","0.0","50","93","29.86","Fair"
"KTOA","2025-01-07T05:00","51","51","0","0","0","0","CALM","0.0","49","92","29.85","Fair"
"KTOA","2025-01-07T05:15","51","51","0","0","0","0","CALM","0.0","49","92","29.85","Fair"
"KTOA","2025-01-07T05:30","51","51","0","0","0","0","CALM","0.0","49","92","29.85","Fair"
"KTOA","2025-01-07T05:45","51","51","0","0","0","0","CALM","0.0","49","92","29.85","Fair"
"KTOA","2025-01-07T06:00","50","50","0","0","0","0","CALM","0.0","48","93","29.86","Fair"
"KTOA","2025-01-07T06:15","50","50","0","0","0","0","CALM","0.0","48","93","29.86","Fair"
"KTOA","2025-01-07T06:30","50","50","0","0","0","0","CALM","0.0","48","93","29.86","Fair"
"KTOA","2025-01-07T06:45","50","50","0","0","0","0","CALM","0.0","48","93","29.86","Fair"
"KTOA","2025-01-07T07:00","51","51","0","0","0","0","CALM","0.0","48","89","29.86","Fair"
"KTOA","2025-01-07T07:15","51","51","0","0","0","0","CALM","0.0","48","89","29.86","Fair"
"KTOA","2025-01-07T07:30","51","51","0","0","0","0","CALM","0.0","48","89","29.86","Fair"
"KTOA","2025-01-07T07:45","51","51","0","0","0","0","CALM","0.0","48","89","29.86","Fair"
"KTOA","2025-01-07T08:00","51","51","0","0","0","0","CALM","0.0","48","89","29.89","Fair"
"KTOA","2025-01-07T08:15","51","51","0","0","0","0","CALM","0.0","48","89","29.89","Fair"
"KTOA","2025-01-07T08:30","51","51","0","0","0","0","CALM","0.0","48","89","29.89","Fair"
"KTOA","2025-01-07T08:45","51","51","0","0","0","0","CALM","0.0","48","89","29.89","Fair"
"KTOA","2025-01-07T09:00","52","52","0","0","0","0","CALM","0.0","49","89","29.89","Fair"
