"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCALOSAN1246","2025-01-07T00:00",50,49.7,0.6,0,0.8,0,279,0,42.8,76.8,29.82,"none"
"KCALOSAN1246","2025-01-07T00:15",49.5,49.2,0.6,0,0.8,0,280,0,41.1,73.6,29.82,"none"
"KCALOSAN1246","2025-01-07T00:30",49.5,49,1.1,0,1.1,0,288,0,40.1,71.3,29.82,"none"
"KCALOSAN1246","2025-01-07T00:45",49.4,48.9,1.1,0,1.6,0,286,0,40.9,73.8,29.81,"none"
"KCALOSAN1246","2025-01-07T01:00",49.5,49.2,0.9,0,1.1,0,301,0,42.1,75.8,29.81,"none"
"KCALOSAN1246","2025-01-07T01:15",49.7,49.4,0.6,0,1.1,0,312,0,40.4,70.6,29.81,"none"
"KCALOSAN1246","2025-01-07T01:30",49.7,48.9,0.8,0,1.1,0.3,309,0,39.2,69,29.81,"none"
"KCALOSAN1246","2025-01-07T01:45",48.9,48.7,0.9,0,1.1,0,314,0,39,69,29.81,"none"
"KCALOSAN1246","2025-01-07T02:00",50,48.7,0.6,0,1.1,0,315,0,40,69.8,29.8,"none"
"KCALOSAN1246","2025-01-07T02:15",51.7,50.2,0.8,0,0.8,0,251,0,40.6,68,29.8,"none"
"KCALOSAN1246","2025-01-07T02:30",52.5,51.4,0.4,0,0.8,0,243,0,41.7,67.2,29.8,"none"
"KCALOSAN1246","2025-01-07T02:45",52.7,52.2,0.8,0,1.1,0,226,0,41.6,65.8,29.8,"none"
"KCALOSAN1246","2025-01-07T03:00",53.2,52.7,1.6,0,1.6,0,221,0,40.7,63.2,29.8,"none"
"KCALOSAN1246","2025-01-07T03:15",53.5,53,0.8,0,1.6,0,191,0,40.3,61.8,29.79,"none"
"KCALOSAN1246","2025-01-07T03:30",54.7,53,0.9,0,1.6,0,203,0,37.9,53.6,29.79,"none"
"KCALOSAN1246","2025-01-07T03:45",55.2,54.5,0.6,0,1.1,0,203,0,36.2,49.4,29.79,"none"
"KCALOSAN1246","2025-01-07T04:00",55.5,55,0.6,0,0.8,0,205,0,35.1,46.6,29.8,"none"
"KCALOSAN1246","2025-01-07T04:15",55.9,55.4,0.5,0,1.6,0,224,0,34.9,45.4,29.8,"none"
"KCALOSAN1246","2025-01-07T04:30",57.5,56.4,4.9,0,5.3,0,109,0,34.2,42.3,29.8,"none"
"KCALOSAN1246","2025-01-07T04:45",58.2,57.5,2.7,0,4.5,0,221,0,34.8,42.4,29.8,"none"
"KCALOSAN1246","2025-01-07T05:00",58.5,58,2.9,0,4.5,0,245,0,36.3,44.2,29.8,"none"
"KCALOSAN1246","2025-01-07T05:15",58.4,58,0.7,0,2,0,228,0,37.5,46,29.81,"none"
"KCALOSAN1246","2025-01-07T05:30",58.2,57.9,2,0,3.2,0,240,0,37.7,46.5,29.81,"none"
"KCALOSAN1246","2025-01-07T05:45",58.4,57.9,2.5,0,2.7,0,48,0,37.5,46,29.81,"none"
"KCALOSAN1246","2025-01-07T06:00",58.5,58,0.9,0,4.5,0,208,0,37.8,46.4,29.81,"none"
"KCALOSAN1246","2025-01-07T06:15",58.4,57.7,2.5,0,6,0.3,223,0,37.9,46.8,29.81,"none"
"KCALOSAN1246","2025-01-07T06:30",58.4,57.7,2.5,0,2.5,0,1,0,38.1,47.2,29.82,"none"
