"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCAPACIF287","2025-01-07T00:00",55,55,0,0,3,3,0,0,50,85,29.95,"none"
"KCAPACIF287","2025-01-07T00:15",55,55,1,1,5,5,170,0,51,87,29.95,"none"
"KCAPACIF287","2025-01-07T00:30",55,55,2,2,8,8,212,0,51,89,29.94,"none"
"KCAPACIF287","2025-01-07T00:45",54.7,54.7,1,1,5,5,217,0,51,90,29.93,"none"
"KCAPACIF287","2025-01-07T01:00",54.2,54.2,3,3,3,3,195,0,51,89,29.94,"none"
"KCAPACIF287","2025-01-07T01:15",54.3,54.3,4,4,5,5,227,0,51,89,29.94,"none"
"KCAPACIF287","2025-01-07T01:30",54.8,54.8,3,3,6,6,220,0,51,88,29.93,"none"
"KCAPACIF287","2025-01-07T01:45",54.6,54.6,2,2,6,6,203,0,49,84,29.92,"none"
"KCAPACIF287","2025-01-07T02:00",55.3,55.3,3,3,7,7,203,0,48,76,29.92,"none"
"KCAPACIF287","2025-01-07T02:15",55.6,55.6,2,2,5,5,205,0,46,71,29.93,"none"
"KCAPACIF287","2025-01-07T02:30",55.6,55.6,2,2,5,5,237,0,45,68,29.92,"none"
"KCAPACIF287","2025-01-07T02:45",55.4,55.4,0,0,2,2,0,0,43,64,29.92,"none"
"KCAPACIF287","2025-01-07T03:00",55.7,55.7,0,0,0,0,0,0,42,61,29.92,"none"
"KCAPACIF287","2025-01-07T03:15",55.9,55.9,0,0,3,3,0,0,42,60,29.91,"none"
"KCAPACIF287","2025-01-07T03:30",54.7,54.7,1,1,4,4,108,0,44,67,29.91,"none"
"KCAPACIF287","2025-01-07T03:45",54.3,54.3,1,1,6,6,105,0,45,71,29.91,"none"
"KCAPACIF287","2025-01-07T04:00",54.6,54.6,0,0,2,2,0,0,44,67,29.91,"none"
"KCAPACIF287","2025-01-07T04:15",58.3,58.3,3,3,16,16,150,0,39,50,29.91,"none"
"KCAPACIF287","2025-01-07T04:30",62,62,5,5,20,20,264,0,39,42,29.9,"none"
"KCAPACIF287","2025-01-07T04:45",63.4,63.4,28,28,28,28,240,0,39,41,29.91,"none"
"KCAPACIF287","2025-01-07T05:00",63.2,63.2,10,10,26,26,163,0,40,43,29.91,"none"
"KCAPACIF287","2025-01-07T05:15",62.6,62.6,3,3,19,19,166,0,41,45,29.92,"none"
"KCAPACIF287","2025-01-07T05:30",62.3,62.3,5,5,17,17,252,0,41,46,29.93,"none"
"KCAPACIF287","2025-01-07T05:45",62.4,62.4,20,20,18,18,222,0,41,46,29.91,"none"
"KCAPACIF287","2025-01-07T06:00",62.7,62.7,12,12,23,23,200,0,41,46,29.92,"none"
"KCAPACIF287","2025-01-07T06:15",62.3,62.3,5,5,19,19,145,0,41,47,29.92,"none"
"KCAPACIF287","2025-01-07T06:30",61.9,61.9,6,6,23,23,249,0,42,48,29.93,"none"
"KCAPACIF287","2025-01-07T06:45",61.7,61.7,8,8,24,24,198,0,42,48,29.93,"none"
"KCAPACIF287","2025-01-07T07:00",61.6,61.6,23,23,26,26,237,0,42,48,29.93,"none"
"KCAPACIF287","2025-01-07T07:15",61.7,61.7,18,18,26,26,223,0,41,47,29.93,"none"
"KCAPACIF287","2025-01-07T07:30",62.1,62.1,13,13,26,26,188,0,41,46,29.93,"none"
"KCAPACIF287","2025-01-07T07:45",62.5,62.5,25,25,21,21,243,0,40,44,29.94,"none"
"KCAPACIF287","2025-01-07T08:00",63.4,63.4,2,2,27,27,125,0,40,42,29.95,"none"
"KCAPACIF287","2025-01-07T08:15",63.7,63.7,18,18,28,28,224,0,40,41,29.96,"none"
"KCAPACIF287","2025-01-07T08:30",62.9,62.9,5,5,35,35,249,0,39,42,29.97,"none"
"KCAPACIF287","2025-01-07T08:45",62.6,62.6,10,10,32,32,160,0,39,42,29.98,"none"
"KCAPACIF287","2025-01-07T09:00",62.3,62.3,26,26,36,36,229,0,39,43,29.98,"none"
"KCAPACIF287","2025-01-07T09:15",62.2,62.2,14,14,40,40,189,0,39,43,29.99,"none"
"KCAPACIF287","2025-01-07T09:30",61.8,61.8,23,23,39,39,238,0,40,45,29.99,"none"
"KCAPACIF287","2025-01-07T09:45",60.9,60.9,15,15,37,37,212,0,40,47,29.99,"none"
"KCAPACIF287","2025-01-07T10:00",61.3,61.3,11,11,29,29,236,0,40,46,30,"none"
"KCAPACIF287","2025-01-07T10:15",62.5,62.5,4,4,27,27,264,0,40,44,30,"none"
"KCAPACIF287","2025-01-07T10:30",63.5,63.5,8,8,26,26,141,0,40,42,29.99,"none"
"KCAPACIF287","2025-01-07T10:45",64,64,14,14,30,30,221,0,39,41,29.98,"none"
"KCAPACIF287","2025-01-07T11:00",64.4,64.4,7,7,25,25,174,0,38,38,29.98,"none"
"KCAPACIF287","2025-01-07T11:15",65.4,65.4,22,22,36,36,226,0,37,36,29.97,"none"
"KCAPACIF287","2025-01-07T11:30",65.8,65.8,14,14,27,27,216,0,38,36,29.97,"none"
"KCAPACIF287","2025-01-07T11:45",66.3,66.3,15,15,25,25,236,0,37,34,29.96,"none"
"KCAPACIF287","2025-01-07T12:00",66.6,66.6,23,23,33,33,197,0,36,32,29.95,"none"
"KCAPACIF287","2025-01-07T12:15",66.9,66.9,8,8,40,40,219,0,36,32,29.95,"none"
"KCAPACIF287","2025-01-07T12:30",67.4,67.4,1,1,29,29,267,0,36,31,29.94,"none"
"KCAPACIF287","2025-01-07T12:45",67.9,67.9,8,8,27,27,236,0,34,29,29.93,"none"
"KCAPACIF287","2025-01-07T13:00",68.4,68.4,6,6,30,30,172,0,34,28,29.93,"none"
"KCAPACIF287","2025-01-07T13:15",68.4,68.4,7,7,35,35,241,0,33,27,29.94,"none"
"KCAPACIF287","2025-01-07T13:30",68.8,68.8,3,3,29,29,100,0,33,27,29.94,"none"
"KCAPACIF287","2025-01-07T13:45",68.1,68.1,2,2,40,40,310,0,33,27,29.94,"none"
"KCAPACIF287","2025-01-07T14:00",68.3,68.3,13,13,31,31,161,0,31,25,29.93,"none"
"KCAPACIF287","2025-01-07T14:15",68,68,16,16,32,32,243,0,30,25,29.93,"none"
"KCAPACIF287","2025-01-07T14:30",67.7,67.7,10,10,32,32,252,0,30,25,29.94,"none"
"KCAPACIF287","2025-01-07T14:45",67.8,67.8,27,27,27,27,246,0,28,23,29.93,"none"
"KCAPACIF287","2025-01-07T15:00",67.2,67.2,6,6,27,27,265,0,27,22,29.93,"none"
"KCAPACIF287","2025-01-07T15:15",67.4,67.4,3,3,29,29,293,0,26,20,29.93,"none"
"KCAPACIF287","2025-01-07T15:30",67.1,67.1,15,15,31,31,249,0,25,20,29.93,"none"
"KCAPACIF287","2025-01-07T15:45",66.8,66.8,15,15,22,22,216,0,25,20,29.93,"none"
"KCAPACIF287","2025-01-07T16:00",66.8,66.8,10,10,32,32,239,0,24,19,29.92,"none"
"KCAPACIF287","2025-01-07T16:15",66.3,66.3,8,8,27,27,172,0,24,20,29.93,"none"
"KCAPACIF287","2025-01-07T16:30",66.1,66.1,11,11,33,33,225,0,23,20,29.93,"none"
"KCAPACIF287","2025-01-07T16:45",65.9,65.9,25,25,34,34,200,0,23,20,29.93,"none"
"KCAPACIF287","2025-01-07T17:00",65.8,65.8,24,24,36,36,206,0,23,20,29.93,"none"
"KCAPACIF287","2025-01-07T17:15",69.3,69.3,16,16,60,60,100,0,25,19,29.94,"none"
"KCAPACIF287","2025-01-07T17:30",101.7,101.7,29,29,56,56,271,0,53,20,29.91,"none"
"KCAPACIF287","2025-01-07T17:45",65.8,65.8,24,24,36,36,206,0,23,20,29.93,"none"
