"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCASANTA630","2025-01-07T00:00",50.1,50.1,0,0,,,189,0,45,82,29.83,"none"
"KCASANTA630","2025-01-07T00:15",50,50,0,0,,,189,0,46,86,29.82,"none"
"KCASANTA630","2025-01-07T00:30",50,50,0,0,,,189,0,47,88,29.82,"none"
"KCASANTA630","2025-01-07T00:45",49.8,49.8,0,0,,,189,0,47,89,29.82,"none"
"KCASANTA630","2025-01-07T01:00",49.8,49.8,0,0,,,345,0,47,91,29.8,"none"
"KCASANTA630","2025-01-07T01:15",50,50,0,0,,,345,0,48,91,29.82,"none"
"KCASANTA630","2025-01-07T01:30",49.4,49.4,0,0,,,10,0,47,91,29.82,"none"
"KCASANTA630","2025-01-07T01:45",49.2,49.2,0,0,,,10,0,47,91,29.8,"none"
"KCASANTA630","2025-01-07T02:00",49.1,49.1,0,0,,,10,0,47,92,29.8,"none"
"KCASANTA630","2025-01-07T02:15",48.8,48.8,0,0,,,10,0,47,92,29.8,"none"
"KCASANTA630","2025-01-07T02:30",48.3,48.3,0,0,,,10,0,46,92,29.8,"none"
"KCASANTA630","2025-01-07T02:45",47.9,47.9,0,0,,,10,0,46,92,29.8,"none"
"KCASANTA630","2025-01-07T03:00",47.5,47.5,0,0,,,10,0,45,92,29.8,"none"
"KCASANTA630","2025-01-07T03:15",47.1,47.1,0,0,,,10,0,45,92,29.8,"none"
"KCASANTA630","2025-01-07T03:30",46.7,46.7,0,0,,,10,0,45,92,29.79,"none"
"KCASANTA630","2025-01-07T03:45",46.6,46.6,0,0,,,348,0,44,92,29.79,"none"
"KCASANTA630","2025-01-07T04:00",46.8,46.8,0,0,,,140,0,44,91,29.79,"none"
"KCASANTA630","2025-01-07T04:15",46.9,46.9,0,0,,,340,0,44,90,29.79,"none"
"KCASANTA630","2025-01-07T04:30",49,49,0,0,,,351,0,45,85,29.8,"none"
"KCASANTA630","2025-01-07T04:45",57.1,57.1,0,0,,,261,0,41,55,29.8,"none"
