"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCATOPAN55","2025-01-07T00:00",55.9,55.8,6.5,2.7,11.4,8.9,13,0,35.8,47,29.95,"none"
"KCATOPAN55","2025-01-07T00:15",55.8,55.6,5.4,3.8,11.6,6.9,11,0,40.6,57,29.94,"none"
"KCATOPAN55","2025-01-07T00:30",55.6,55.4,6.3,2.9,9.6,5.4,27,0,40.5,57,29.93,"none"
"KCATOPAN55","2025-01-07T00:45",55.4,55,6.7,4.3,9.6,6.7,31,0,40.8,58,29.93,"none"
"KCATOPAN55","2025-01-07T01:00",54.9,54.7,7.2,4.7,11.4,7.6,26,0,40.3,58,29.93,"none"
"KCATOPAN55","2025-01-07T01:15",54.5,54.3,5.8,1.1,9.8,2.2,29,0,40.3,59,29.93,"none"
"KCATOPAN55","2025-01-07T01:30",54.5,54.3,6.3,4.3,11.6,6.5,27,0,40.1,58,29.92,"none"
"KCATOPAN55","2025-01-07T01:45",54.5,54.3,6.9,3.4,10.1,5.8,24,0,39.6,57,29.92,"none"
"KCATOPAN55","2025-01-07T02:00",54.7,54.5,8.1,5.4,14.5,11,22,0,39.6,57,29.92,"none"
"KCATOPAN55","2025-01-07T02:15",54.3,54,8.5,6.5,13.6,10.1,10,0,39.6,58,29.91,"none"
"KCATOPAN55","2025-01-07T02:30",53.8,53.8,10.3,5.1,15,9.2,5,0,39.4,58,29.92,"none"
"KCATOPAN55","2025-01-07T02:45",54,54,9.4,6.7,13.6,9.8,18,0,38.7,56,29.92,"none"
"KCATOPAN55","2025-01-07T03:00",54,53.8,6.9,6.5,12.1,10.5,19,0,37.9,55,29.91,"none"
"KCATOPAN55","2025-01-07T03:15",54,53.8,7.2,6.7,10.7,9.6,0,0,37.6,54,29.91,"none"
"KCATOPAN55","2025-01-07T03:30",54.9,54.1,13.6,9.4,19.5,13.4,25,0,36.7,51,29.91,"none"
"KCATOPAN55","2025-01-07T03:45",55,55,15.9,11.2,22.6,16.3,31,0,37.2,51,29.91,"none"
"KCATOPAN55","2025-01-07T04:00",55,55,12.1,9.2,17.9,15,31,0,37.2,51,29.91,"none"
"KCATOPAN55","2025-01-07T04:15",55.4,55,17.7,14.1,25.1,21.9,22,0,36.5,49,29.91,"none"
"KCATOPAN55","2025-01-07T04:30",55.8,55.6,15.4,14.1,22.4,19.5,27,0,37.4,50,29.91,"none"
"KCATOPAN55","2025-01-07T04:45",55.6,55.6,17.4,12.5,27.1,19.9,26,0,38.7,53,29.91,"none"
"KCATOPAN55","2025-01-07T05:00",55.8,55.6,16.8,11.6,23.9,17.4,26,0,39.2,54,29.91,"none"
"KCATOPAN55","2025-01-07T05:15",55.4,55.4,18.1,13.9,24.4,20.1,26,0,39.6,55,29.91,"none"
"KCATOPAN55","2025-01-07T05:30",55.4,55.4,17,14.1,24.4,17.9,28,0,39.6,55,29.92,"none"
"KCATOPAN55","2025-01-07T05:45",55.6,55.4,17.2,12.8,22.6,19.7,28,0,39.6,55,29.91,"none"
"KCATOPAN55","2025-01-07T06:00",55.4,55.2,19.7,13.4,26.4,18.6,24,0,39.6,55,29.91,"none"
"KCATOPAN55","2025-01-07T06:15",55,54.9,17.9,13.9,26.2,21.9,24,0,40.1,57,29.92,"none"
"KCATOPAN55","2025-01-07T06:30",54.9,54.5,17.2,13.9,25.5,19,19,0,40.5,59,29.92,"none"
"KCATOPAN55","2025-01-07T06:45",54.3,54.1,13.9,10.7,21.7,15,14,0,40.6,60,29.93,"none"
"KCATOPAN55","2025-01-07T07:00",54.1,54.1,15,12.1,22.4,21.5,14,0,40.6,60,29.93,"none"
"KCATOPAN55","2025-01-07T07:15",54.3,54.1,21.7,11.9,25.7,16.6,22,0,39.9,58,29.93,"none"
"KCATOPAN55","2025-01-07T07:30",55.2,54.7,18.3,14.1,26.2,19.7,31,0,39.2,55,29.92,"none"
"KCATOPAN55","2025-01-07T07:45",55.8,55.4,21.5,17,29.1,24.2,28,0,38.7,53,29.92,"none"
"KCATOPAN55","2025-01-07T08:00",56.1,55.9,21,19,28,27.7,19,0,38.7,52,29.92,"none"
"KCATOPAN55","2025-01-07T08:15",56.1,56.1,26.8,20.4,44.5,31.5,26,0,38.3,51,29.93,"none"
"KCATOPAN55","2025-01-07T08:30",56.1,55.9,25.5,17,43.8,26.4,29,0,38.5,52,29.93,"none"
"KCATOPAN55","2025-01-07T08:45",55.8,55.6,21.3,15.7,34,23.5,27,0,38.7,53,29.95,"none"
"KCATOPAN55","2025-01-07T09:00",55.8,55.8,20.6,18.1,28.6,25.7,20,0,38.8,53,29.94,"none"
"KCATOPAN55","2025-01-07T09:15",55.8,55.6,24.6,17.7,50.6,24.2,10,0,38.7,53,29.97,"none"
"KCATOPAN55","2025-01-07T09:30",55.6,55.2,24.2,12.8,36,19.7,25,0,38.7,53,29.95,"none"
"KCATOPAN55","2025-01-07T09:45",55,54.7,17.4,16.8,38.5,30.4,32,0,39.2,56,29.95,"none"
"KCATOPAN55","2025-01-07T10:00",54.9,54.5,19.9,14.3,32,23.7,21,0,38.5,54,29.96,"none"
"KCATOPAN55","2025-01-07T10:15",55.8,55.4,20.8,15.9,33.6,26.2,30,0,38.5,52,29.98,"none"
"KCATOPAN55","2025-01-07T10:30",56.3,55.9,15.9,14.3,24.6,22.8,32,0,37.9,50,29.96,"none"
"KCATOPAN55","2025-01-07T10:45",57.6,56.7,13.6,8.9,19,16.3,43,0,37.4,47,29.97,"none"
"KCATOPAN55","2025-01-07T11:00",58.1,57.7,12.8,8.1,16.8,16.3,24,0,36.7,45,29.97,"none"
"KCATOPAN55","2025-01-07T11:15",58.8,58.8,10.5,6.7,19.2,11.6,23,0,36.3,43,29.97,"none"
"KCATOPAN55","2025-01-07T11:30",59.7,59.2,10.3,5.8,13.4,9.4,24,0,35.4,40,29.95,"none"
"KCATOPAN55","2025-01-07T11:45",60.1,59.5,11.9,5.1,21.7,13,15,0,35.1,39,29.96,"none"
