"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCALOSAN1231","2025-01-07T00:00",55.6,55.6,4.3,4.3,6.9,6.9,335,0,37.8,51,28.54,"none"
"KCALOSAN1231","2025-01-07T00:15",55.9,55.6,4.9,2.7,8.1,5.8,294,0,38.3,52,28.53,"none"
"KCALOSAN1231","2025-01-07T00:30",55.8,55.2,3.4,1.3,5.8,3.4,16,0,37.9,51.7,28.54,"none"
"KCALOSAN1231","2025-01-07T00:45",55.2,55,3.1,1.1,3.4,2.2,13,0,37.7,52,28.52,"none"
"KCALOSAN1231","2025-01-07T01:00",54.9,54.1,4,2,6.9,3.4,314,0,37.8,53.3,28.53,"none"
"KCALOSAN1231","2025-01-07T01:15",53.8,53.8,4,4,5.8,5.8,343,0,38.9,57,28.53,"none"
"KCALOSAN1231","2025-01-07T01:30",53.4,53.2,4.9,3.4,8.1,5.8,341,0,38.8,57.5,28.52,"none"
"KCALOSAN1231","2025-01-07T01:45",53.2,53.1,6,2.5,8.1,4.5,1,0,39.2,59,28.52,"none"
"KCALOSAN1231","2025-01-07T02:00",53.4,53.2,6.7,2.9,9.2,5.8,304,0,38.9,58,28.52,"none"
"KCALOSAN1231","2025-01-07T02:15",53.4,53.1,6.5,4.5,8.1,6.9,312,0,39.5,59.3,28.53,"none"
"KCALOSAN1231","2025-01-07T02:30",53.2,53.1,7.8,5.4,9.2,6.9,309,0,40.1,61,28.52,"none"
"KCALOSAN1231","2025-01-07T02:45",53.6,53.2,6.9,3.1,10.3,6.9,324,0,38.7,57,28.52,"none"
"KCALOSAN1231","2025-01-07T03:00",54.5,53.8,7.4,4.3,11.4,8.1,293,0,37.7,53.3,28.52,"none"
"KCALOSAN1231","2025-01-07T03:15",54.5,54.1,7.8,3.4,11.4,8.1,321,0,36.3,50.5,28.51,"none"
"KCALOSAN1231","2025-01-07T03:30",56.3,55.6,9,4.7,12.5,9.2,6,0,34.5,44.5,28.51,"none"
"KCALOSAN1231","2025-01-07T03:45",55.9,55.6,8.5,5.1,12.5,9.2,307,0,33.1,42,28.52,"none"
"KCALOSAN1231","2025-01-07T04:00",56.3,55.9,8.5,5.1,13.7,9.2,323,0,32.5,41,28.52,"none"
"KCALOSAN1231","2025-01-07T04:15",55.9,55.9,8.7,8.7,10.3,10.3,295,0,32.5,41,28.53,"none"
"KCALOSAN1231","2025-01-07T04:30",57.9,56.5,10.5,4.9,14.8,10.3,24,0,31.9,39,28.53,"none"
"KCALOSAN1231","2025-01-07T04:45",58.1,57.9,8.3,4.9,14.8,10.3,298,0,33.8,40,28.53,"none"
"KCALOSAN1231","2025-01-07T05:00",57.9,57.6,11.2,3.4,15.9,9.2,292,0,34.9,42,28.54,"none"
"KCALOSAN1231","2025-01-07T05:15",58.1,57.7,6,2.2,9.2,5.8,13,0,36,43.8,28.54,"none"
"KCALOSAN1231","2025-01-07T05:30",57.9,57.9,3.4,3.4,5.8,5.8,38,0,36.1,44,28.54,"none"
