"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCASANTA4210","2025-01-07T00:00",53.1,52.7,0.7,0,1.1,0,116,0,47.9,83.3,29.73,"none"
"KCASANTA4210","2025-01-07T00:15",52.7,52.2,1.1,0,1.1,0,115,0,47.9,84,29.73,"none"
"KCASANTA4210","2025-01-07T00:30",53.1,52.2,1.8,0,2.2,0,115,0,48.6,86.9,29.73,"none"
"KCASANTA4210","2025-01-07T00:45",52.5,52.3,0.9,0,1.1,0,115,0,49.6,90,29.72,"none"
"KCASANTA4210","2025-01-07T01:00",52.3,52,2.5,0,3.4,0,111,0,50,92.4,29.71,"none"
"KCASANTA4210","2025-01-07T01:15",52.5,52.2,2,0,2.2,0,50,0,50.6,93.7,29.73,"none"
"KCASANTA4210","2025-01-07T01:30",53.1,52.2,2.5,0,3.4,0,31,0,51,94.9,29.72,"none"
"KCASANTA4210","2025-01-07T01:45",52.2,51.6,1.1,0,1.1,0,27,0,50.6,95.4,29.72,"none"
"KCASANTA4210","2025-01-07T02:00",52,51.4,1.3,0,2.2,0,11,0,50.4,96,29.71,"none"
"KCASANTA4210","2025-01-07T02:15",51.6,51.3,1.3,0,2.2,0,11,0,50.6,96.8,29.72,"none"
"KCASANTA4210","2025-01-07T02:30",51.6,50.5,0.9,0,1.1,0,18,0,50.1,97,29.71,"none"
"KCASANTA4210","2025-01-07T02:45",50.7,50.4,0,0,0,0,18,0,49.7,97,29.71,"none"
"KCASANTA4210","2025-01-07T03:00",50.4,50,0.2,0,1.1,0,17,0,49.5,97,29.7,"none"
"KCASANTA4210","2025-01-07T03:15",50.2,49.5,1.3,0,2.2,0,5,0,48.8,97,29.7,"none"
"KCASANTA4210","2025-01-07T03:30",50.4,49.3,1.1,0,1.1,0,337,0,48.7,97,29.7,"none"
"KCASANTA4210","2025-01-07T03:45",49.3,49.1,1.3,0,2.2,0,335,0,48.2,96,29.7,"none"
"KCASANTA4210","2025-01-07T04:00",49.5,48.9,1.1,0,1.1,0,333,0,48.1,96,29.7,"none"
"KCASANTA4210","2025-01-07T04:15",49.3,48.9,1.1,0,1.1,0,331,0,47.4,94.8,29.7,"none"
"KCASANTA4210","2025-01-07T04:30",49.3,48.7,2,0,2.2,0,15,0,47.2,94,29.71,"none"
"KCASANTA4210","2025-01-07T04:45",48.7,48.2,1.1,0,1.1,0,14,0,46.6,94,29.71,"none"
"KCASANTA4210","2025-01-07T05:00",48.7,48.2,2.2,0,2.2,0,4,0,46.7,94.1,29.71,"none"
"KCASANTA4210","2025-01-07T05:15",48.6,48.2,2,0,2.2,0,3,0,46.7,94,29.72,"none"
"KCASANTA4210","2025-01-07T05:30",48.6,48.2,0,0,0,0,356,0,46.6,94.1,29.72,"none"
"KCASANTA4210","2025-01-07T05:45",48.2,47.5,0.9,0,1.1,0,356,0,46.2,94.6,29.71,"none"
"KCASANTA4210","2025-01-07T06:00",48.4,47.8,1.1,0,1.1,0,1,0,46.6,95,29.71,"none"
"KCASANTA4210","2025-01-07T06:15",48.6,47.8,2.2,0,2.2,0,5,0,46.4,93.7,29.71,"none"
"KCASANTA4210","2025-01-07T06:30",59.9,48.4,6.9,0,9.2,0,9,0,43.8,61,29.72,"none"
"KCASANTA4210","2025-01-07T06:45",60.8,59.9,9.2,2.5,12.5,3.4,17,0,43.9,54,29.72,"none"
"KCASANTA4210","2025-01-07T07:00",61,60.4,8.1,1.3,11.4,2.2,19,0,44,53.7,29.73,"none"
"KCASANTA4210","2025-01-07T07:15",61.2,60.4,8.3,0.9,10.3,1.1,25,0,43.8,53.5,29.73,"none"
"KCASANTA4210","2025-01-07T07:30",61.5,60.4,9.4,1.1,12.5,1.1,17,0,43.1,51.4,29.73,"none"
"KCASANTA4210","2025-01-07T07:45",63.3,61.5,14.5,4.5,18.3,5.8,22,0,42.3,46.8,29.73,"none"
"KCASANTA4210","2025-01-07T08:00",64.2,63.5,17.9,4.5,26.2,5.8,12,0,41.9,44.2,29.73,"none"
"KCASANTA4210","2025-01-07T08:15",64.8,64.2,16.3,4,22.8,5.8,21,0,41.5,42.5,29.74,"none"
"KCASANTA4210","2025-01-07T08:30",64.8,63.9,17,2.9,21.7,4.5,15,0,40.9,42.4,29.74,"none"
"KCASANTA4210","2025-01-07T08:45",64,63.9,15.9,4.7,20.6,5.8,21,0,41,43,29.75,"none"
"KCASANTA4210","2025-01-07T09:00",64.6,64,16.8,4,23.9,6.9,23,0,40.9,42.1,29.76,"none"
"KCASANTA4210","2025-01-07T09:15",65.3,64.6,13.7,3.1,22.8,4.5,8,0,40.8,41,29.76,"none"
