"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCATOPAN28","2025-01-07T00:00",45.1,45.1,1.1,0,1.1,0,7,0,36.7,72,29.92,"none"
"KCATOPAN28","2025-01-07T00:15",45.1,44.8,2.2,0,2.2,0,9,0,36.7,72.9,29.92,"none"
"KCATOPAN28","2025-01-07T00:30",45,44.2,1.1,0,1.1,0,17,0,36.7,73.5,29.92,"none"
"KCATOPAN28","2025-01-07T00:45",44.2,43.3,1.3,0,2.2,0,9,0,36.5,75,29.91,"none"
"KCATOPAN28","2025-01-07T01:00",43.3,43.2,1.8,0,2.2,0,1,0,36.4,76.2,29.92,"none"
"KCATOPAN28","2025-01-07T01:15",43.5,43.2,2.2,0,3.4,0,344,0,36.4,76.3,29.92,"none"
"KCATOPAN28","2025-01-07T01:30",43.3,42.4,1.8,0,2.2,0,349,0,36,77,29.91,"none"
"KCATOPAN28","2025-01-07T01:45",42.4,41.7,1.3,0,2.2,0,348,0,35.7,78,29.91,"none"
"KCATOPAN28","2025-01-07T02:00",41.7,41.5,1.8,0,2.2,0,349,0,35.4,79,29.91,"none"
"KCATOPAN28","2025-01-07T02:15",41.5,41.4,2,0,2.2,0,346,0,35.4,79,29.91,"none"
"KCATOPAN28","2025-01-07T02:30",41.5,41.4,2.2,0,2.2,0,4,0,35.3,79,29.92,"none"
"KCATOPAN28","2025-01-07T02:45",41.5,41.2,2.9,0,3.4,0,4,0,35.2,79,29.91,"none"
"KCATOPAN28","2025-01-07T03:00",43.5,41.5,2.5,0,3.4,0,1,0,35.5,77,29.91,"none"
"KCATOPAN28","2025-01-07T03:15",48,43.5,3.6,0.7,4.5,1.1,15,0,37,66.9,29.9,"none"
"KCATOPAN28","2025-01-07T03:30",53.8,49.6,5.8,0,6.9,0,8,0,37.3,54.5,29.9,"none"
"KCATOPAN28","2025-01-07T03:45",55.9,53.4,4,0.2,6.9,1.1,83,0,37.2,50.7,29.91,"none"
"KCATOPAN28","2025-01-07T04:00",57.9,55.9,5.8,0.2,6.9,1.1,231,0,37.2,47.1,29.91,"none"
"KCATOPAN28","2025-01-07T04:15",58.3,57.2,6.9,0,9.2,0,225,0,37.3,46.2,29.91,"none"
"KCATOPAN28","2025-01-07T04:30",57.6,57,5.4,0,6.9,0,86,0,37.6,47.3,29.91,"none"
"KCATOPAN28","2025-01-07T04:45",57.9,56.8,5.8,0,9.2,0,59,0,38.1,48.7,29.92,"none"
"KCATOPAN28","2025-01-07T05:00",58.8,57.6,7.6,0,10.3,0,142,0,38.6,47.8,29.92,"none"
"KCATOPAN28","2025-01-07T05:15",58.8,58.1,4.7,0,8.1,0,332,0,39.2,48.4,29.92,"none"
"KCATOPAN28","2025-01-07T05:30",58.5,56.8,4.9,0,6.9,0,9,0,39,49.5,29.92,"none"
"KCATOPAN28","2025-01-07T05:45",57.6,57,4,0,8.1,0,290,0,39,50,29.93,"none"
"KCATOPAN28","2025-01-07T06:00",58.5,56.5,4.9,0,6.9,0,261,0,39,48.7,29.93,"none"
"KCATOPAN28","2025-01-07T06:15",56.7,54.9,2.2,0,2.2,0,0,0,38.9,52.3,29.94,"none"
"KCATOPAN28","2025-01-07T06:30",54.7,53.4,2.9,0,3.4,0,5,0,38.7,55.7,29.93,"none"
"KCATOPAN28","2025-01-07T06:45",54,53.1,3.6,0,4.5,0,7,0,38.8,57.4,29.94,"none"
"KCATOPAN28","2025-01-07T07:00",54.7,53.6,4,0,4.5,0,40,0,39.1,57.1,29.94,"none"
"KCATOPAN28","2025-01-07T07:15",57.9,54.9,7.8,0,11.4,0,1,0,39.3,50.8,29.94,"none"
"KCATOPAN28","2025-01-07T07:30",58.1,57.6,7.4,0,8.1,0,73,0,39.2,49.9,29.95,"none"
"KCATOPAN28","2025-01-07T07:45",58.6,57.9,6.7,0,10.3,0,139,0,39,48.4,29.95,"none"
"KCATOPAN28","2025-01-07T08:00",59.5,58.5,7.2,0.9,12.5,1.1,226,0,38.7,46.1,29.96,"none"
"KCATOPAN28","2025-01-07T08:15",60.1,59.4,6.7,0.7,9.2,1.1,186,0,38.3,45.1,29.97,"none"
"KCATOPAN28","2025-01-07T08:30",61,60.3,8.9,1.1,11.4,1.1,207,0,38.4,43.3,29.98,"none"
"KCATOPAN28","2025-01-07T08:45",61,60.3,8.5,0.7,11.4,1.1,205,0,38.4,43.8,29.98,"none"
"KCATOPAN28","2025-01-07T09:00",61.9,60.4,10.3,0.2,14.8,1.1,183,0,38.7,43.1,29.99,"none"
"KCATOPAN28","2025-01-07T09:15",61.5,60.6,14.3,1.3,17.2,2.2,97,0,38.7,43.3,30,"none"
"KCATOPAN28","2025-01-07T09:30",61.5,61.2,8.3,0.9,12.5,1.1,176,0,38.8,43.3,30,"none"
"KCATOPAN28","2025-01-07T09:45",61.2,60.4,9.6,0.7,17.2,2.2,219,0,39.2,44.6,30.01,"none"
"KCATOPAN28","2025-01-07T10:00",61.7,60.4,12.3,0.9,14.8,1.1,197,0,39,43.5,30.02,"none"
"KCATOPAN28","2025-01-07T10:15",61.9,60.8,11.9,0.9,18.3,2.2,190,0,38.8,43,30.02,"none"
"KCATOPAN28","2025-01-07T10:30",62.6,61.3,8.1,0.4,12.5,1.1,144,0,38.4,41,30,"none"
"KCATOPAN28","2025-01-07T10:45",63.9,62.6,10.7,0.9,15.9,1.1,208,0,37.6,38.1,29.99,"none"
"KCATOPAN28","2025-01-07T11:00",64,63.1,10.1,0.7,13.6,1.1,6,0,37.1,37,29.99,"none"
"KCATOPAN28","2025-01-07T11:15",65.3,63.9,7.4,0.7,11.4,1.1,204,0,37.2,35.5,29.97,"none"
"KCATOPAN28","2025-01-07T11:30",65.5,64.8,11.6,1.6,17.2,2.2,111,0,36,34.3,29.97,"none"
"KCATOPAN28","2025-01-07T11:45",66,64.9,8.9,0.2,15.9,1.1,172,0,35.9,33,29.96,"none"
"KCATOPAN28","2025-01-07T12:00",66.2,65.1,8.1,0.7,10.3,1.1,206,0,35.5,32.5,29.95,"none"
"KCATOPAN28","2025-01-07T12:15",66.4,65.8,7.8,0.9,11.4,1.1,210,0,34,30,29.95,"none"
"KCATOPAN28","2025-01-07T12:30",67.6,66.4,11.4,0.2,18.3,1.1,191,0,33.4,28.3,29.95,"none"
"KCATOPAN28","2025-01-07T12:45",68,66.9,12.1,0.9,14.8,1.1,219,0,32.9,27.9,29.94,"none"
"KCATOPAN28","2025-01-07T13:00",67.8,66.7,9.6,0.9,12.5,1.1,208,0,32.5,27.2,29.93,"none"
"KCATOPAN28","2025-01-07T13:15",67.8,67.1,8.9,0.2,12.5,1.1,205,0,32.3,27,29.93,"none"
"KCATOPAN28","2025-01-07T13:30",68.2,67.3,10.1,0.7,14.8,1.1,200,0,32.3,27,29.94,"none"
"KCATOPAN28","2025-01-07T13:45",69.3,67.6,8.1,0.2,10.3,1.1,195,0,31.9,26.1,29.94,"none"
"KCATOPAN28","2025-01-07T14:00",68.5,67.5,8.3,0,14.8,0,205,0,30.5,24.7,29.93,"none"
"KCATOPAN28","2025-01-07T14:15",68,67.3,8.9,0.2,13.6,1.1,213,0,29.4,23.6,29.94,"none"
"KCATOPAN28","2025-01-07T14:30",68.4,67.3,7.6,0.2,9.2,1.1,154,0,29.2,23.2,29.94,"none"
"KCATOPAN28","2025-01-07T14:45",68.2,66.6,8.9,0.2,13.6,1.1,187,0,27.5,22.5,29.93,"none"
"KCATOPAN28","2025-01-07T15:00",67.1,66.6,12.8,0.7,17.2,2.2,212,0,25.9,21.1,29.94,"none"
"KCATOPAN28","2025-01-07T15:15",66.4,65.1,8.1,0.4,10.3,1.1,202,0,24,20.3,29.94,"none"
"KCATOPAN28","2025-01-07T15:30",65.3,64.9,9.2,0.7,11.4,1.1,113,0,23.2,20,29.94,"none"
"KCATOPAN28","2025-01-07T15:45",65.1,64.6,6.9,0,11.4,0,196,0,22.5,19.8,29.94,"none"
"KCATOPAN28","2025-01-07T16:00",64.8,64.2,7.2,0.7,11.4,1.1,239,0,22.3,19.7,29.94,"none"
"KCATOPAN28","2025-01-07T16:15",64.2,63.9,7.8,0.2,11.4,1.1,205,0,22.2,20.1,29.94,"none"
"KCATOPAN28","2025-01-07T16:30",63.9,63.3,6,0,9.2,0,218,0,21.9,20.2,29.94,"none"
"KCATOPAN28","2025-01-07T16:45",63.3,62.8,7.2,0,10.3,0,115,0,22,20.6,29.95,"none"
"KCATOPAN28","2025-01-07T17:00",62.8,61.5,6,0,9.2,0,69,0,22.2,21.1,29.96,"none"
"KCATOPAN28","2025-01-07T17:15",61.7,61.3,5.1,0,6.9,0,104,0,22.3,22,29.96,"none"
"KCATOPAN28","2025-01-07T17:30",61.9,61.2,5.1,0,5.8,0,204,0,21.6,21.2,29.97,"none"
"KCATOPAN28","2025-01-07T17:45",61.7,61,5.4,0,6.9,0,116,0,21.5,21.5,29.98,"none"
"KCATOPAN28","2025-01-07T18:00",61.5,60.3,5.4,0,6.9,0,133,0,21,21.4,29.99,"none"
"KCATOPAN28","2025-01-07T18:15",61.5,61,5.6,0,6.9,0,193,0,21,21,29.99,"none"
"KCATOPAN28","2025-01-07T18:30",61.5,60.4,11,0,13.6,0,213,0,20,20.2,29.99,"none"
"KCATOPAN28","2025-01-07T18:45",62.1,61.5,7.4,0.7,12.5,1.1,152,0,20.3,20,30,"none"
"KCATOPAN28","2025-01-07T19:00",62.1,61.5,8.5,0,12.5,0,39,0,21,20.6,30,"none"
"KCATOPAN28","2025-01-07T19:15",61.7,61.3,12.8,0.2,17.2,1.1,191,0,21.8,21.5,30.03,"none"
"KCATOPAN28","2025-01-07T19:30",61.5,61.3,10.5,1.1,15.9,2.2,207,0,22.3,22,30.04,"none"
"KCATOPAN28","2025-01-07T19:45",61.3,60.8,10.1,0.9,14.8,1.1,215,0,22.4,22.5,30.05,"none"
"KCATOPAN28","2025-01-07T20:00",61,60.4,14.3,1.1,22.8,1.1,220,0,22.4,22.5,30.04,"none"
"KCATOPAN28","2025-01-07T20:15",60.4,60.3,8.5,0.2,11.4,1.1,69,0,22.2,22.8,30.04,"none"
"KCATOPAN28","2025-01-07T20:30",60.3,59.9,12.1,0.2,13.6,1.1,172,0,22,22.8,30.05,"none"
"KCATOPAN28","2025-01-07T20:45",60.3,59.7,6.3,0.9,9.2,1.1,150,0,22,22.9,30.06,"none"
"KCATOPAN28","2025-01-07T21:00",60.1,59,10.3,0,13.6,0,142,0,22,23.1,30.07,"none"
"KCATOPAN28","2025-01-07T21:15",59.7,59,13.6,0.7,21.7,1.1,175,0,22.3,23.6,30.08,"none"
"KCATOPAN28","2025-01-07T21:30",59.5,59.2,10.1,1.3,13.6,2.2,31,0,22.3,23.7,30.06,"none"
"KCATOPAN28","2025-01-07T21:45",59.4,58.8,13.2,0.4,17.2,1.1,203,0,21.9,23.6,30.06,"none"
"KCATOPAN28","2025-01-07T22:00",59.5,58.8,12.3,0.9,14.8,1.1,187,0,21.5,23,30.07,"none"
"KCATOPAN28","2025-01-07T22:15",59,58.8,13.2,0.9,18.3,1.1,58,0,21.6,23.2,30.08,"none"
"KCATOPAN28","2025-01-07T22:30",59,58.5,12.3,0.9,17.2,2.2,196,0,21.7,23.7,30.08,"none"
"KCATOPAN28","2025-01-07T22:45",58.6,58.3,13.4,0.7,18.3,1.1,139,0,21.8,24,30.07,"none"
"KCATOPAN28","2025-01-07T23:00",58.5,58.1,7.8,0.9,10.3,1.1,103,0,21.9,24,30.08,"none"
"KCATOPAN28","2025-01-07T23:15",58.5,57.9,8.5,0.9,12.5,1.1,195,0,22.2,24.7,30.07,"none"
"KCATOPAN28","2025-01-07T23:30",58.1,57.7,9.6,0.9,13.6,1.1,184,0,22.2,24.9,30.08,"none"
"KCATOPAN28","2025-01-07T23:45",57.9,57.4,8.9,0.7,14.8,1.1,8,0,22,24.9,30.08,"none"
"KCATOPAN28","2025-01-08T00:00",57.6,57.4,9.2,1.6,12.5,2.2,209,0,21.9,25,30.08,"none"
"KCATOPAN28","2025-01-08T00:15",57.6,57.4,9.2,1.6,12.5,2.2,209,0,21.9,25,30.08,"none"
"KCATOPAN28","2025-01-08T00:30",57.6,57.4,9.2,1.6,12.5,2.2,209,0,21.9,25,30.08,"none"
"KCATOPAN28","2025-01-08T00:45",57.6,57.4,9.2,1.6,12.5,2.2,209,0,21.9,25,30.08,"none"
