Station,DateTime,Temperature Max,Temperature Min,Wind Speed Max,Wind Speed Min,Dew Point Max,Dew Point Min,Humidity Max,Humidity Min,Pressure Max,Pressure Min,Precipitation
KLAX,1994-12-01T00:00,73,0,10,3,56,0,100,0,29.9,29.8,0.00
KLAX,1994-12-02T00:00,63,0,10,0,55,0,100,0,29.9,29.8,0.00
KLAX,1994-12-03T00:00,62,0,8,0,53,0,100,0,29.9,29.8,0.00
KLAX,1994-12-04T00:00,61,0,7,0,52,0,93,0,29.9,29.8,0.00
KLAX,1994-12-05T00:00,67,52,18,0,55,46,93,47,29.8,29.7,0.00
KLAX,1994-12-06T00:00,61,0,8,0,53,0,97,0,30.1,29.8,0.00
KLAX,1994-12-07T00:00,64,0,16,5,53,0,93,0,30.1,30.0,0.00
KLAX,1994-12-08T00:00,69,44,15,0,33,-1,49,9,30.1,30.0,0.00
KLAX,1994-12-09T00:00,68,47,10,3,46,5,75,10,30.1,30.0,0.00
KLAX,1994-12-10T00:00,67,49,10,3,47,5,77,11,30.1,29.9,0.00
KLAX,1994-12-11T00:00,61,45,9,0,49,0,74,39,30.0,29.9,0.00
KLAX,1994-12-12T00:00,60,0,9,2,52,0,96,0,30.0,29.9,0.00
KLAX,1994-12-13T00:00,59,0,15,0,53,0,100,0,30.0,30.0,0.00
KLAX,1994-12-14T00:00,60,47,10,0,49,42,90,58,30.1,30.0,0.00
KLAX,1994-12-15T00:00,63,49,9,0,50,44,90,56,30.1,30.0,0.00
KLAX,1994-12-16T00:00,71,50,10,3,47,0,77,23,30.1,29.9,0.00
KLAX,1994-12-17T00:00,73,51,8,3,52,0,84,19,30.0,29.9,0.00
KLAX,1994-12-18T00:00,62,0,8,0,54,0,100,0,30.0,29.9,0.00
KLAX,1994-12-19T00:00,64,0,7,0,55,0,100,0,30.0,29.9,0.00
KLAX,1994-12-20T00:00,75,0,9,3,55,0,97,0,30.0,29.9,0.00
KLAX,1994-12-21T00:00,73,0,9,0,56,0,100,0,29.9,29.9,0.00
KLAX,1994-12-22T00:00,70,55,7,0,54,35,87,28,29.9,29.8,0.00
KLAX,1994-12-23T00:00,74,60,10,0,53,42,75,32,29.8,29.7,0.00
KLAX,1994-12-24T00:00,63,0,10,3,56,0,97,0,29.9,29.8,0.00
KLAX,1994-12-25T00:00,61,0,9,0,50,0,89,0,29.8,29.7,0.00
KLAX,1994-12-26T00:00,70,46,10,0,51,41,89,35,29.9,29.8,0.00
KLAX,1994-12-27T00:00,65,0,12,0,55,0,96,0,30.0,29.9,0.00
KLAX,1994-12-28T00:00,61,0,17,3,54,0,93,0,30.0,29.9,0.00
KLAX,1994-12-29T00:00,62,46,12,0,45,0,74,39,29.9,29.8,0.00
KLAX,1994-12-30T00:00,58,0,7,0,47,0,85,0,30.0,29.9,0.00
KLAX,1994-12-31T00:00,61,0,10,0,49,0,90,0,30.1,29.9,0.00
