"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"12:53 AM","57ʡF","45ʡF","64ʡ%","WNW","8ʡmph","0ʡmph","29.73ʡin","0.0ʡin","Partly Cloudy"
"1:53 AM","58ʡF","26ʡF","30ʡ%","N","13ʡmph","25ʡmph","29.73ʡin","0.0ʡin","Mostly Cloudy"
"2:53 AM","57ʡF","26ʡF","30ʡ%","N","17ʡmph","26ʡmph","29.74ʡin","0.0ʡin","Mostly Cloudy"
"3:53 AM","56ʡF","25ʡF","30ʡ%","N","16ʡmph","25ʡmph","29.76ʡin","0.0ʡin","Partly Cloudy"
"4:53 AM","54ʡF","26ʡF","34ʡ%","N","18ʡmph","31ʡmph","29.78ʡin","0.0ʡin","Fair"
"5:53 AM","53ʡF","25ʡF","34ʡ%","N","17ʡmph","26ʡmph","29.81ʡin","0.0ʡin","Fair"
"6:53 AM","53ʡF","25ʡF","34ʡ%","NNW","21ʡmph","32ʡmph","29.84ʡin","0.0ʡin","Fair / Windy"
"7:53 AM","54ʡF","25ʡF","33ʡ%","N","17ʡmph","26ʡmph","29.87ʡin","0.0ʡin","Fair"
"8:53 AM","56ʡF","25ʡF","30ʡ%","NNW","25ʡmph","36ʡmph","29.87ʡin","0.0ʡin","Fair / Windy"
"9:53 AM","59ʡF","23ʡF","25ʡ%","NNW","28ʡmph","36ʡmph","29.87ʡin","0.0ʡin","Fair / Windy"
"10:53 AM","62ʡF","21ʡF","21ʡ%","N","13ʡmph","31ʡmph","29.90ʡin","0.0ʡin","Fair"
"11:53 AM","65ʡF","15ʡF","15ʡ%","NNW","14ʡmph","38ʡmph","29.89ʡin","0.0ʡin","Fair"
"12:53 PM","67ʡF","14ʡF","13ʡ%","NNW","23ʡmph","35ʡmph","29.89ʡin","0.0ʡin","Fair / Windy"
"1:30 PM","63ʡF","33ʡF","33ʡ%","W","25ʡmph","30ʡmph","29.90ʡin","0.0ʡin","Fair / Windy"
"1:53 PM","63ʡF","33ʡF","33ʡ%","W","28ʡmph","33ʡmph","29.90ʡin","0.0ʡin","Fair / Windy"
"2:53 PM","64ʡF","34ʡF","33ʡ%","W","28ʡmph","0ʡmph","29.89ʡin","0.0ʡin","Fair / Windy"
"3:53 PM","65ʡF","36ʡF","34ʡ%","W","24ʡmph","0ʡmph","29.88ʡin","0.0ʡin","Fair / Windy"
"4:53 PM","63ʡF","43ʡF","48ʡ%","W","23ʡmph","0ʡmph","29.88ʡin","0.0ʡin","Fair / Windy"
"5:53 PM","60ʡF","45ʡF","57ʡ%","W","20ʡmph","0ʡmph","29.88ʡin","0.0ʡin","Fair"
"6:53 PM","59ʡF","47ʡF","64ʡ%","W","21ʡmph","0ʡmph","29.88ʡin","0.0ʡin","Fair / Windy"
"7:53 PM","61ʡF","35ʡF","38ʡ%","WNW","10ʡmph","20ʡmph","29.90ʡin","0.0ʡin","Fair"
"8:53 PM","62ʡF","11ʡF","13ʡ%","NNW","7ʡmph","0ʡmph","29.91ʡin","0.0ʡin","Fair"
"9:53 PM","61ʡF","11ʡF","14ʡ%","N","13ʡmph","21ʡmph","29.92ʡin","0.0ʡin","Fair"
"10:53 PM","60ʡF","13ʡF","16ʡ%","N","13ʡmph","23ʡmph","29.94ʡin","0.0ʡin","Fair"
"11:53 PM","60ʡF","13ʡF","16ʡ%","N","15ʡmph","28ʡmph","29.93ʡin","0.0ʡin","Fair"
