"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCALOSAN958","2022-02-05T00:00",46,45.9,1.1,0,1.1,1.1,339,0,32.3,58.4,30.11,"none"
"KCALOSAN958","2022-02-05T00:15",45.9,45.3,0.9,0,1.1,0,339,0,32.2,59,30.11,"none"
"KCALOSAN958","2022-02-05T00:30",45.3,43.5,0,0,0,0,338,0,32,61.3,30.1,"none"
"KCALOSAN958","2022-02-05T00:45",44.6,43.3,0,0,0,0,338,0,31.8,61,30.1,"none"
"KCALOSAN958","2022-02-05T01:00",44.4,43.5,0,0,0,0,338,0,31.6,61,30.1,"none"
"KCALOSAN958","2022-02-05T01:15",44.1,43.7,0,0,0,0,338,0,31.1,60,30.1,"none"
"KCALOSAN958","2022-02-05T01:30",43.7,43.3,0,0,0,0,339,0,31.1,61.6,30.09,"none"
"KCALOSAN958","2022-02-05T01:45",43.3,42.6,0,0,0,0,339,0,30.1,59.8,30.09,"none"
"KCALOSAN958","2022-02-05T02:00",43,42.3,0,0,0,0,339,0,29.9,60.1,30.09,"none"
"KCALOSAN958","2022-02-05T02:15",42.3,41,0,0,0,0,339,0,29.3,62.4,30.09,"none"
"KCALOSAN958","2022-02-05T02:30",42.3,41.2,0.2,0,1.1,0,339,0,29.2,60.7,30.08,"none"
"KCALOSAN958","2022-02-05T02:45",42.3,40.8,0,0,0,0,339,0,29.3,61.6,30.07,"none"
"KCALOSAN958","2022-02-05T03:00",40.8,40.1,0,0,0,0,338,0,28.5,62.6,30.07,"none"
"KCALOSAN958","2022-02-05T03:15",41.9,40.1,0,0,0,0,339,0,27.6,58.5,30.07,"none"
"KCALOSAN958","2022-02-05T03:30",41.7,41.4,0,0,0,0,339,0,27.9,58.1,30.07,"none"
"KCALOSAN958","2022-02-05T03:45",41.2,40.3,0,0,0,0,339,0,27.6,59.4,30.06,"none"
"KCALOSAN958","2022-02-05T04:00",40.8,40.1,0.7,0,1.1,0,339,0,26.7,57.8,30.06,"none"
"KCALOSAN958","2022-02-05T04:15",43.9,41,2.2,0,3.4,0,339,0,26.1,51.4,30.06,"none"
"KCALOSAN958","2022-02-05T04:30",44.2,42.4,1.1,0,2.2,0,352,0,26.5,49.6,30.06,"none"
"KCALOSAN958","2022-02-05T04:45",42.6,40.6,0.7,0,1.1,0,352,0,26.8,53.4,30.05,"none"
"KCALOSAN958","2022-02-05T05:00",40.6,39.4,0,0,0,0,352,0,26.3,58.1,30.05,"none"
"KCALOSAN958","2022-02-05T05:15",41,39.7,0.4,0,1.1,0,352,0,27,58.3,30.05,"none"
"KCALOSAN958","2022-02-05T05:30",40.3,39.4,0,0,0,0,352,0,26.5,59,30.05,"none"
"KCALOSAN958","2022-02-05T05:45",40.3,39.6,1.1,0,1.1,0,352,0,27.1,60.2,30.05,"none"
"KCALOSAN958","2022-02-05T06:00",40.6,39.9,0.9,0,1.1,0,353,0,27.2,58.8,30.05,"none"
"KCALOSAN958","2022-02-05T06:15",41.5,40.5,0.7,0,1.1,0,353,0,25.6,53.5,30.06,"none"
"KCALOSAN958","2022-02-05T06:30",41.9,41.5,0.7,0,1.1,0,353,0,25.8,52.6,30.06,"none"
"KCALOSAN958","2022-02-05T06:45",42.3,41.7,0.2,0,1.1,0,353,0,25,50.6,30.06,"none"
"KCALOSAN958","2022-02-05T07:00",42.4,40.8,1.3,0,2.2,0,353,0,24.8,50.8,30.06,"none"
"KCALOSAN958","2022-02-05T07:15",42.1,40.5,0,0,1.1,0,354,0,25.7,53.8,30.06,"none"
"KCALOSAN958","2022-02-05T07:30",42.4,40.6,0.2,0,1.1,0,354,0,26.2,54,30.06,"none"
"KCALOSAN958","2022-02-05T07:45",48,42.6,0.7,0,1.1,0,353,0,24.5,40.9,30.07,"none"
"KCALOSAN958","2022-02-05T08:00",51.3,48,1.1,0,1.1,1.1,6,0,24.2,35.3,30.07,"none"
"KCALOSAN958","2022-02-05T08:15",54.1,51.3,2,0,2.2,1.1,8,0,24.2,32.3,30.07,"none"
"KCALOSAN958","2022-02-05T08:30",57.7,54.1,1.6,0,2.2,1.1,11,0,25.2,29.8,30.07,"none"
"KCALOSAN958","2022-02-05T08:45",58.3,56.5,1.3,0,2.2,1.1,7,0,27.3,30.9,30.07,"none"
"KCALOSAN958","2022-02-05T09:00",59.9,58.3,1.6,0,2.2,1.1,16,0,25.2,26.3,30.07,"none"
"KCALOSAN958","2022-02-05T09:15",63.5,59.9,2.2,0,3.4,1.1,22,0,24.5,22.7,30.07,"none"
"KCALOSAN958","2022-02-05T09:30",65.8,63.9,1.6,0,2.2,0,250,0,22.3,19.2,30.07,"none"
"KCALOSAN958","2022-02-05T09:45",67.1,64.4,1.3,0,2.2,0,253,0,20.8,18.3,30.07,"none"
"KCALOSAN958","2022-02-05T10:00",69.4,67.1,1.1,0,1.1,1.1,306,0,22.6,17.4,30.06,"none"
"KCALOSAN958","2022-02-05T10:15",70,67.6,2,0,2.2,1.1,240,0,21.7,16.8,30.06,"none"
"KCALOSAN958","2022-02-05T10:30",72,69.4,3.1,0,4.5,0,237,0,22.8,16.8,30.05,"none"
"KCALOSAN958","2022-02-05T10:45",69.1,68.4,5.4,0.2,5.8,1.1,209,0,22.7,17.3,30.04,"none"
