"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCAMALIB62","2023-12-07T00:00",55.4,55.2,0,0,0,0,305,0,51.3,86.4,29.94,"none"
"KCAMALIB62","2023-12-07T00:15",57,55.2,1.1,0,1.1,0,82,0,51.4,84.2,29.94,"none"
"KCAMALIB62","2023-12-07T00:30",57,54.9,0.7,0,1.1,0,285,0,50.8,84,29.94,"none"
"KCAMALIB62","2023-12-07T00:45",54.7,53.8,0,0,0,0,297,0,49.7,85,29.93,"none"
"KCAMALIB62","2023-12-07T01:00",53.8,53.2,0.2,0,1.1,0,301,0,49.5,86.5,29.93,"none"
"KCAMALIB62","2023-12-07T01:15",53.8,53.1,0.2,0,1.1,0,301,0,49.7,88,29.93,"none"
"KCAMALIB62","2023-12-07T01:30",55.4,53.8,0.7,0,1.1,0,301,0,50.9,89.3,29.93,"none"
"KCAMALIB62","2023-12-07T01:45",54.7,53.8,0.2,0,1.1,0,299,0,51.3,90,29.93,"none"
"KCAMALIB62","2023-12-07T02:00",54.1,53.8,0.7,0,1.1,0,302,0,51.5,91,29.93,"none"
"KCAMALIB62","2023-12-07T02:15",54,53.1,0.7,0,1.1,0,299,0,51,92,29.93,"none"
"KCAMALIB62","2023-12-07T02:30",53.1,52.7,0.4,0,1.1,0,301,0,50.6,92,29.93,"none"
"KCAMALIB62","2023-12-07T02:45",53.1,52.5,0.2,0,1.1,0,303,0,50.5,92.8,29.92,"none"
"KCAMALIB62","2023-12-07T03:00",52.5,52.2,0.7,0,1.1,0,300,0,50.3,93,29.93,"none"
"KCAMALIB62","2023-12-07T03:15",52.5,52,0.4,0,1.1,0,300,0,50.1,93,29.93,"none"
"KCAMALIB62","2023-12-07T03:30",52.2,51.8,0.7,0,1.1,0,293,0,50,93,29.92,"none"
"KCAMALIB62","2023-12-07T03:45",54.3,52.3,1.8,0,3.4,0,306,0,50.8,93,29.92,"none"
"KCAMALIB62","2023-12-07T04:00",55,54,3.1,0,4.5,0,3,0,52.2,92,29.91,"none"
"KCAMALIB62","2023-12-07T04:15",55.6,55,2.5,0,3.4,0,335,0,52.6,90,29.91,"none"
"KCAMALIB62","2023-12-07T04:30",55.6,55.2,2.2,0,3.4,0,329,0,51.8,88,29.91,"none"
"KCAMALIB62","2023-12-07T04:45",55.8,55.2,2.9,0.7,4.5,1.1,2,0,51.2,86,29.9,"none"
"KCAMALIB62","2023-12-07T05:00",56.3,54.5,1.8,0,2.2,0,9,0,50.3,84.2,29.91,"none"
"KCAMALIB62","2023-12-07T05:15",55.2,54.1,1.3,0,2.2,0,317,0,49.9,85.2,29.91,"none"
"KCAMALIB62","2023-12-07T05:30",55.6,54.7,1.1,0,2.2,0,322,0,51.2,86.4,29.92,"none"
"KCAMALIB62","2023-12-07T05:45",54.9,53.4,1.1,0,1.1,0,318,0,49.9,86,29.93,"none"
