"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCAPACIF287","2024-08-21T00:00",66.4,66.4,0,0,3,3,0,0,55,68,29.96,"none"
"KCAPACIF287","2024-08-21T00:15",66.7,66.7,0,0,1,1,0,0,56,68,29.96,"none"
"KCAPACIF287","2024-08-21T00:30",66.1,66.1,0,0,2,2,0,0,57,74,29.96,"none"
"KCAPACIF287","2024-08-21T00:45",66,66,3,3,3,3,212,0,56,72,29.96,"none"
"KCAPACIF287","2024-08-21T01:00",68.6,68.6,0,0,3,3,0,0,56,65,29.95,"none"
"KCAPACIF287","2024-08-21T01:15",68.6,68.6,0,0,1,1,0,0,57,68,29.95,"none"
"KCAPACIF287","2024-08-21T01:30",69.1,69.1,0,0,3,3,0,0,58,67,29.94,"none"
"KCAPACIF287","2024-08-21T01:45",68.7,68.7,0,0,4,4,122,0,54,60,29.94,"none"
"KCAPACIF287","2024-08-21T02:00",68.6,68.6,0,0,2,2,0,0,52,56,29.93,"none"
"KCAPACIF287","2024-08-21T02:15",68.2,68.2,0,0,1,1,167,0,51,54,29.94,"none"
"KCAPACIF287","2024-08-21T02:30",71.5,71.5,1,1,4,4,172,0,53,52,29.94,"none"
"KCAPACIF287","2024-08-21T02:45",72.3,72.3,2,2,5,5,217,0,54,52,29.94,"none"
"KCAPACIF287","2024-08-21T03:00",72.7,72.7,3,3,8,8,207,0,56,55,29.95,"none"
"KCAPACIF287","2024-08-21T03:15",72.1,72.1,1,1,4,4,252,0,54,54,29.95,"none"
"KCAPACIF287","2024-08-21T03:30",70.4,70.4,2,2,4,4,264,0,54,56,29.95,"none"
"KCAPACIF287","2024-08-21T03:45",71.1,71.1,4,4,5,5,219,0,55,57,29.95,"none"
"KCAPACIF287","2024-08-21T04:00",71.2,71.2,7,7,9,9,240,0,55,57,29.95,"none"
"KCAPACIF287","2024-08-21T04:15",70.8,70.8,4,4,9,9,240,0,56,60,29.95,"none"
"KCAPACIF287","2024-08-21T04:30",70.3,70.3,5,5,10,10,219,0,58,65,29.95,"none"
"KCAPACIF287","2024-08-21T04:45",70.3,70.3,5,5,7,7,207,0,58,65,29.95,"none"
"KCAPACIF287","2024-08-21T05:00",70.1,70.1,4,4,5,5,210,0,58,65,29.95,"none"
"KCAPACIF287","2024-08-21T05:15",70.1,70.1,1,1,5,5,164,0,57,63,29.95,"none"
"KCAPACIF287","2024-08-21T05:30",70.7,70.7,1,1,5,5,207,0,56,61,29.95,"none"
"KCAPACIF287","2024-08-21T05:45",70.6,70.6,3,3,6,6,199,0,58,65,29.95,"none"
"KCAPACIF287","2024-08-21T06:00",70.4,70.4,4,4,7,7,204,0,56,61,29.95,"none"
"KCAPACIF287","2024-08-21T06:15",70.6,70.6,2,2,3,3,190,0,58,64,29.96,"none"
"KCAPACIF287","2024-08-21T06:30",69.7,69.7,2,2,4,4,219,0,57,65,29.96,"none"
"KCAPACIF287","2024-08-21T06:45",70,70,3,3,6,6,229,0,58,65,29.97,"none"
"KCAPACIF287","2024-08-21T07:00",70.4,70.4,1,1,8,8,192,0,58,66,29.97,"none"
"KCAPACIF287","2024-08-21T07:15",71.7,71.7,0,0,3,3,0,0,59,64,29.97,"none"
"KCAPACIF287","2024-08-21T07:30",71.8,71.8,3,3,5,5,293,0,56,59,29.98,"none"
"KCAPACIF287","2024-08-21T07:45",70.9,70.9,6,6,8,8,247,0,60,68,29.99,"none"
"KCAPACIF287","2024-08-21T08:00",70.7,70.7,3,3,8,8,293,0,61,72,29.98,"none"
"KCAPACIF287","2024-08-21T08:15",71.7,71.7,3,3,7,7,253,0,62,71,29.99,"none"
"KCAPACIF287","2024-08-21T08:30",73.5,73.5,3,3,7,7,272,0,63,69,30,"none"
"KCAPACIF287","2024-08-21T08:45",74.3,74.3,3,3,10,10,288,0,63,69,30,"none"
