"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCACALAB70","2025-01-07T00:00",56.1,55.9,3.3,1.3,3.5,1.3,34,0,37.2,49.3,29.81,"none"
"KCACALAB70","2025-01-07T00:15",56.1,55.4,4.4,0,4.6,0,139,0,37,49.1,29.81,"none"
"KCACALAB70","2025-01-07T00:30",55.7,54.6,2.6,0,2.6,0,217,0,36.8,49.9,29.81,"none"
"KCACALAB70","2025-01-07T00:45",55.7,54.5,5.3,0,5.8,0,132,0,36.4,49.4,29.8,"none"
"KCACALAB70","2025-01-07T01:00",55.7,53.9,1.5,0,1.5,0,186,0,37,50.5,29.79,"none"
"KCACALAB70","2025-01-07T01:15",53.9,53.7,2.6,0,2.6,0,256,0,36.9,52.7,29.81,"none"
"KCACALAB70","2025-01-07T01:30",55.4,53.9,4.4,0,4.6,0,326,0,36.3,49.8,29.8,"none"
"KCACALAB70","2025-01-07T01:45",55.5,54.8,6.4,0,6.7,0,17,0,36.3,48.8,29.79,"none"
"KCACALAB70","2025-01-07T02:00",55.4,54.3,4.4,0,4.6,0,36,0,36.1,49.8,29.79,"none"
"KCACALAB70","2025-01-07T02:15",55.4,54.6,5.8,1.3,6,1.3,5,0,35.7,48,29.8,"none"
"KCACALAB70","2025-01-07T02:30",55.4,54.3,8.5,0,10,0,19,0,35.5,48.7,29.79,"none"
"KCACALAB70","2025-01-07T02:45",54.8,54.3,6,0,6.4,0,46,0,35.1,48.2,29.8,"none"
"KCACALAB70","2025-01-07T03:00",55,54.5,7.6,1.3,9.6,1.3,24,0,35.2,47.8,29.81,"none"
"KCACALAB70","2025-01-07T03:15",54.8,54.5,6.7,1.5,7.3,1.5,24,0,33.9,45.6,29.8,"none"
"KCACALAB70","2025-01-07T03:30",55.9,54.8,10.2,2.6,10.7,2.6,37,0,33.8,43.6,29.79,"none"
"KCACALAB70","2025-01-07T03:45",56.3,55.9,10.9,2.4,12.3,2.4,14,0,33.7,42.8,29.79,"none"
"KCACALAB70","2025-01-07T04:00",56.8,56.3,11.1,2.4,12.9,2.4,1,0,33.6,42,29.8,"none"
"KCACALAB70","2025-01-07T04:15",57,56.6,11.1,3.1,13.6,3.3,18,0,33.7,42,29.81,"none"
"KCACALAB70","2025-01-07T04:30",57.5,56.8,16.1,3.8,19.9,3.8,27,0,34.7,42.9,29.81,"none"
"KCACALAB70","2025-01-07T04:45",57.9,57.3,15.8,3.3,19.9,3.8,36,0,34.9,43,29.81,"none"
"KCACALAB70","2025-01-07T05:00",57.7,57.2,12,3.5,15.2,4,39,0,35.6,43.9,29.81,"none"
"KCACALAB70","2025-01-07T05:15",57.5,57,9.3,2.4,11.1,2.4,27,0,36.1,45,29.82,"none"
"KCACALAB70","2025-01-07T05:30",57.2,56.6,12.7,3.1,13.1,3.3,34,0,35.8,45.3,29.82,"none"
"KCACALAB70","2025-01-07T05:45",57,56.6,10.2,2.4,12.9,2.4,38,0,35.7,45.7,29.82,"none"
"KCACALAB70","2025-01-07T06:00",57,56.3,12.3,1.5,13.1,1.5,29,0,35.7,46,29.81,"none"
"KCACALAB70","2025-01-07T06:15",56.6,56.1,10,2.9,11.4,2.9,17,0,35.6,46,29.82,"none"
"KCACALAB70","2025-01-07T06:30",56.1,55.9,9.8,2.4,12.3,2.4,19,0,36.3,47.9,29.83,"none"
"KCACALAB70","2025-01-07T06:45",56.3,55.9,11.4,3.3,13.4,3.5,33,0,36.1,47,29.82,"none"
"KCACALAB70","2025-01-07T07:00",56.4,56.3,11.8,2.2,12.9,2.2,41,0,36.3,47,29.83,"none"
"KCACALAB70","2025-01-07T07:15",56.3,56.1,11.4,2.6,12.9,2.6,35,0,35.8,46.6,29.82,"none"
"KCACALAB70","2025-01-07T07:30",56.8,56.3,11.4,2.2,13.4,2.2,47,0,34.8,44.2,29.83,"none"
"KCACALAB70","2025-01-07T07:45",57.2,56.8,15.4,2.6,19.6,2.6,33,0,35,43.8,29.83,"none"
"KCACALAB70","2025-01-07T08:00",57.5,57,14.9,3.1,17,3.3,52,0,34.8,43,29.83,"none"
"KCACALAB70","2025-01-07T08:15",57.5,57.3,13.6,4.2,16.1,4.4,53,0,34.6,42.5,29.85,"none"
"KCACALAB70","2025-01-07T08:30",57.5,57.3,13.1,3.1,15.4,3.5,38,0,34.3,42,29.85,"none"
"KCACALAB70","2025-01-07T08:45",57.5,57.3,19.6,4.2,23,4.4,34,0,34.3,42,29.86,"none"
