"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCALOSAN872","2025-01-07T00:00",53.9,53.9,4,2,4,3,112,0,50,88,29.95,"none"
"KCALOSAN872","2025-01-07T00:15",53.9,53.2,4,2,4,4,79,0,50,88,29.94,"none"
"KCALOSAN872","2025-01-07T00:30",53.1,52.9,4,0,4,4,95,0,50,89,29.94,"none"
"KCALOSAN872","2025-01-07T00:45",52.8,52.3,2,0,4,2,0,0,49,89.6,29.93,"none"
"KCALOSAN872","2025-01-07T01:00",52.4,51.6,3,1,4,2,244,0,49,90.4,29.93,"none"
"KCALOSAN872","2025-01-07T01:15",51.9,51.5,3,1,4,3,306,0,49,91.2,29.94,"none"
"KCALOSAN872","2025-01-07T01:30",51.9,51.7,3,0,3,2,1,0,49,92,29.93,"none"
"KCALOSAN872","2025-01-07T01:45",51.8,51.2,2,0,3,2,132,0,49,92,29.92,"none"
"KCALOSAN872","2025-01-07T02:00",51.2,50.6,3,1,3,3,112,0,48,92.4,29.92,"none"
"KCALOSAN872","2025-01-07T02:15",50.9,50.6,3,0,3,3,92,0,48.4,93,29.92,"none"
"KCALOSAN872","2025-01-07T02:30",50.6,50.2,3,1,3,3,110,0,48,93,29.92,"none"
"KCALOSAN872","2025-01-07T02:45",50.2,50,2,0,3,2,212,0,48,93,29.92,"none"
"KCALOSAN872","2025-01-07T03:00",50,49.5,2,0,2,2,0,0,47,93.2,29.92,"none"
"KCALOSAN872","2025-01-07T03:15",49.5,48.7,2,0,3,2,124,0,47,93,29.91,"none"
"KCALOSAN872","2025-01-07T03:30",48.7,48.3,2,0,3,2,97,0,46,93,29.91,"none"
"KCALOSAN872","2025-01-07T03:45",48.2,47.8,2,0,2,2,117,0,46,93.6,29.91,"none"
"KCALOSAN872","2025-01-07T04:00",47.8,47.6,2,0,2,2,61,0,46,94,29.91,"none"
"KCALOSAN872","2025-01-07T04:15",47.9,47.5,4,0,5,2,301,0,46,94,29.91,"none"
"KCALOSAN872","2025-01-07T04:30",47.5,47,2,0,5,2,6,0,45,94,29.92,"none"
"KCALOSAN872","2025-01-07T04:45",47,46.7,6,0,7,2,22,0,45,94,29.92,"none"
"KCALOSAN872","2025-01-07T05:00",47,46.7,9,0,11,7,27,0,45,94,29.91,"none"
"KCALOSAN872","2025-01-07T05:15",47.3,47,6,0,11,7,69,0,45,94.2,29.92,"none"
"KCALOSAN872","2025-01-07T05:30",47.2,46.6,3,0,7,2,35,0,45,94,29.92,"none"
"KCALOSAN872","2025-01-07T05:45",46.6,46.3,2,0,4,3,237,0,44.2,94,29.92,"none"
"KCALOSAN872","2025-01-07T06:00",46.6,46.3,6,0,6,3,165,0,44.8,94,29.91,"none"
"KCALOSAN872","2025-01-07T06:15",46.8,46.6,5,0,8,5,205,0,45,94,29.91,"none"
"KCALOSAN872","2025-01-07T06:30",47.2,46.7,4,1,6,5,140,0,45,94,29.92,"none"
"KCALOSAN872","2025-01-07T06:45",47.6,47.1,5,0,7,4,92,0,45.2,94,29.93,"none"
"KCALOSAN872","2025-01-07T07:00",47.7,47.4,4,0,7,5,132,0,45,93.6,29.93,"none"
"KCALOSAN872","2025-01-07T07:15",47.9,47.3,3,1,7,3,251,0,45,94,29.94,"none"
"KCALOSAN872","2025-01-07T07:30",48.5,47.9,4,1,5,4,314,0,46,93,29.94,"none"
"KCALOSAN872","2025-01-07T07:45",51,48.6,3,0,4,3,7,0,46.2,91.8,29.94,"none"
"KCALOSAN872","2025-01-07T08:00",52.8,51.2,4,0,6,4,65,0,48,85.4,29.94,"none"
"KCALOSAN872","2025-01-07T08:15",57.5,52.9,5,0,12,4,50,0,47.8,73.4,29.95,"none"
"KCALOSAN872","2025-01-07T08:30",62.2,57.5,9,2,13,10,10,0,45.4,55.2,29.95,"none"
"KCALOSAN872","2025-01-07T08:45",63.5,62.3,10,3,17,13,32,0,44,49,29.95,"none"
