"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCATOPAN47","2025-01-07T00:00",47.6,47.1,0.9,0,1.6,0,55,0,37.9,69.6,29.91,"none"
"KCATOPAN47","2025-01-07T00:15",47.6,46.2,2,0,2.2,0,74,0,37.1,68,29.91,"none"
"KCATOPAN47","2025-01-07T00:30",46.6,44.5,1.8,0,2.2,0,91,0,36.2,70.4,29.91,"none"
"KCATOPAN47","2025-01-07T00:45",44.8,43.2,0.4,0,0.7,0,27,0,35.8,73,29.9,"none"
"KCATOPAN47","2025-01-07T01:00",43.7,42.2,1.6,0,1.6,0,32,0,34.9,74,29.91,"none"
"KCATOPAN47","2025-01-07T01:15",43.1,42.5,1.3,0,1.6,0,63,0,35.5,75.2,29.91,"none"
"KCATOPAN47","2025-01-07T01:30",42.2,41.2,0.2,0,0.7,0,62,0,34.6,75.6,29.9,"none"
"KCATOPAN47","2025-01-07T01:45",42.6,41.1,0.4,0,0.7,0,69,0,35.5,78,29.9,"none"
"KCATOPAN47","2025-01-07T02:00",43.7,42.2,1.8,0,2.2,0,29,0,36.2,76.6,29.9,"none"
"KCATOPAN47","2025-01-07T02:15",44.2,43.1,0.4,0,0.7,0,5,0,36.2,75.6,29.91,"none"
"KCATOPAN47","2025-01-07T02:30",44.4,43.2,0.9,0,1.6,0,8,0,36.1,74.4,29.91,"none"
"KCATOPAN47","2025-01-07T02:45",44.7,43.6,1.1,0,1.6,0,54,0,36.3,74,29.91,"none"
"KCATOPAN47","2025-01-07T03:00",49.7,44.8,0.4,0,0.7,0,7,0,37.4,63.6,29.9,"none"
"KCATOPAN47","2025-01-07T03:15",51.1,49.6,0.9,0,2.2,0,61,0,36.6,58.8,29.9,"none"
"KCATOPAN47","2025-01-07T03:30",53.4,51,1.3,0,2.2,0,41,0,36.2,53,29.89,"none"
"KCATOPAN47","2025-01-07T03:45",54.8,53.1,5.4,0,8.1,0,42,0,35.8,49.2,29.89,"none"
"KCATOPAN47","2025-01-07T04:00",56.8,55.1,4.9,0.2,5.8,0.7,38,0,36,46,29.9,"none"
"KCATOPAN47","2025-01-07T04:15",56.9,55.9,4.5,0.2,5.8,0.7,11,0,35.6,45.4,29.9,"none"
"KCATOPAN47","2025-01-07T04:30",56.6,56.1,5.6,0,8.9,0,22,0,36,46,29.91,"none"
"KCATOPAN47","2025-01-07T04:45",57,56.2,3.8,0.2,5.1,0.7,1,0,36.4,47,29.91,"none"
"KCATOPAN47","2025-01-07T05:00",57.5,56.9,5.1,0.2,10.3,0.7,7,0,37,47,29.91,"none"
"KCATOPAN47","2025-01-07T05:15",57.4,56.9,3.4,0,5.8,0.7,50,0,37.8,48,29.91,"none"
"KCATOPAN47","2025-01-07T05:30",57,56.5,2.7,0,4.5,0.7,4,0,37.9,49,29.91,"none"
"KCATOPAN47","2025-01-07T05:45",57.8,56.8,7.8,0.4,11.2,0.7,21,0,37.9,48,29.92,"none"
"KCATOPAN47","2025-01-07T06:00",58.1,56.9,4.3,0.2,7.4,0.7,13,0,37.9,48.2,29.92,"none"
"KCATOPAN47","2025-01-07T06:15",58.5,58.1,5.1,1.6,5.8,3.8,5,0,38.7,48,29.93,"none"
"KCATOPAN47","2025-01-07T06:30",58.3,57.3,5.4,0.9,6.7,1.6,8,0,38.9,49,29.92,"none"
"KCATOPAN47","2025-01-07T06:45",57.5,57.1,5.4,0.4,8.9,0.7,6,0,38.9,50,29.92,"none"
"KCATOPAN47","2025-01-07T07:00",57.5,56.9,6.9,0,8.9,0,6,0,38.6,49.8,29.93,"none"
"KCATOPAN47","2025-01-07T07:15",58.1,56.9,6,0.4,9.6,0.7,281,0,38.2,47.8,29.94,"none"
"KCATOPAN47","2025-01-07T07:30",59,58.3,9.2,1.1,13.2,2.2,40,0,37.7,45,29.94,"none"
"KCATOPAN47","2025-01-07T07:45",59.2,58.8,9.2,1.8,11.9,2.9,1,0,37.2,44,29.94,"none"
"KCATOPAN47","2025-01-07T08:00",59.2,58.9,6.9,1.1,8.1,1.6,18,0,37.1,44,29.95,"none"
"KCATOPAN47","2025-01-07T08:15",59.3,58.8,6.3,0.4,8.9,0.7,20,0,36.8,43.2,29.97,"none"
"KCATOPAN47","2025-01-07T08:30",59.7,59.3,11.2,1.3,14.8,2.2,22,0,36.9,43,29.97,"none"
"KCATOPAN47","2025-01-07T08:45",59.1,58.7,7.8,0.4,13.2,0.7,155,0,36.7,43.4,29.98,"none"
"KCATOPAN47","2025-01-07T09:00",59.4,58.7,7.4,2,11.9,2.9,8,0,36.8,43.2,29.98,"none"
"KCATOPAN47","2025-01-07T09:15",60.1,59.4,10.5,2.5,13.2,4.5,12,0,37,43,29.98,"none"
"KCATOPAN47","2025-01-07T09:30",60,59,5.8,1.3,8.9,1.6,44,0,37.2,43,29.99,"none"
"KCATOPAN47","2025-01-07T09:45",60.6,59.1,8.9,1.8,13.2,2.2,19,0,37.9,44,30.01,"none"
"KCATOPAN47","2025-01-07T10:00",61.6,60.6,7.6,1.6,10.3,2.2,17,0,37.9,41.8,30,"none"
"KCATOPAN47","2025-01-07T10:15",62.3,61.6,8.9,0.9,11.9,2.2,2,0,37.5,40.4,30,"none"
"KCATOPAN47","2025-01-07T10:30",63.1,62,14.8,2.2,22.8,3.8,326,0,36.7,38,29.99,"none"
"KCATOPAN47","2025-01-07T10:45",64.2,63.2,8.9,0.9,14.8,1.6,349,0,36.6,36,29.98,"none"
"KCATOPAN47","2025-01-07T11:00",64.5,63.4,13.4,1.6,22.1,2.9,16,0,35.8,34.8,29.97,"none"
"KCATOPAN47","2025-01-07T11:15",65.2,64.2,13.6,2,19.9,2.9,1,0,35.4,33.4,29.96,"none"
"KCATOPAN47","2025-01-07T11:30",65.8,65.2,8.5,1.3,15.4,2.2,16,0,34.7,31.6,29.94,"none"
"KCATOPAN47","2025-01-07T11:45",66.4,65.3,9.4,1.6,14.1,2.2,6,0,34.2,30.6,29.94,"none"
"KCATOPAN47","2025-01-07T12:00",67.1,66,9.4,1.8,14.8,4.5,46,0,34,29.8,29.93,"none"
"KCATOPAN47","2025-01-07T12:15",68.3,66.7,9.8,1.1,12.5,1.6,274,0,32.9,27.6,29.93,"none"
"KCATOPAN47","2025-01-07T12:30",67.9,66.6,6.7,1.6,9.6,2.9,29,0,31.9,27,29.93,"none"
"KCATOPAN47","2025-01-07T12:45",68.2,67.3,9.2,1.8,14.1,2.9,309,0,31.5,26,29.93,"none"
"KCATOPAN47","2025-01-07T13:00",67.9,67.4,5.8,2.5,9.6,2.9,1,0,31.5,26,29.92,"none"
"KCATOPAN47","2025-01-07T13:15",67.8,66.7,9.4,1.8,14.1,4.5,42,0,31,25.6,29.93,"none"
"KCATOPAN47","2025-01-07T13:30",68.2,67.5,6.3,1.3,9.6,2.2,9,0,30.8,25.2,29.93,"none"
"KCATOPAN47","2025-01-07T13:45",68.9,68,6.3,2,8.9,2.9,6,0,30.6,24.4,29.92,"none"
"KCATOPAN47","2025-01-07T14:00",68.4,67.4,8.9,2,12.5,3.8,182,0,28.8,23.4,29.92,"none"
"KCATOPAN47","2025-01-07T14:15",68.2,67,12.1,2,14.8,2.9,59,0,28.1,23,29.93,"none"
"KCATOPAN47","2025-01-07T14:30",68.4,67.4,10.1,1.6,16.3,2.2,315,0,28.1,22.4,29.92,"none"
"KCATOPAN47","2025-01-07T14:45",68.3,66.9,16.1,0.4,19.2,0.7,293,0,26.9,21.8,29.91,"none"
