"Station","DateTime","Temperature High","Temperature Low","Wind Speed High","Wind Speed Low","Wind Gust High","Wind Gust Low","Wind Direction","Precipitation","Dew Point","Humidity","Pressure","Condition"
"KCAVENIC20","2025-01-07T00:00",50.4,49.8,0,0,0,0,354,0,47.3,91,29.98,"none"
"KCAVENIC20","2025-01-07T00:15",50.4,49.8,0,0,0,0,354,0,47.3,91,29.98,"none"
"KCAVENIC20","2025-01-07T00:30",49.5,49.3,0,0,0,0,354,0,47.2,92,29.98,"none"
"KCAVENIC20","2025-01-07T00:45",49.1,48.6,0,0,0,0,354,0,46.8,93,29.97,"none"
"KCAVENIC20","2025-01-07T01:00",49.6,49.1,1.1,0,1.1,0,335,0,47.6,94,29.97,"none"
"KCAVENIC20","2025-01-07T01:15",49.6,49.1,1.1,0,1.1,0,335,0,47.6,94,29.97,"none"
"KCAVENIC20","2025-01-07T01:30",49.8,49.3,0,0,0,0,346,0,48.2,95,29.96,"none"
"KCAVENIC20","2025-01-07T01:45",48.9,48.7,0,0,0,0,346,0,47.6,96,29.96,"none"
"KCAVENIC20","2025-01-07T02:00",48.9,48.6,0,0,0,0,346,0,47.5,96,29.96,"none"
"KCAVENIC20","2025-01-07T02:15",48.4,47.8,0,0,0,0,346,0,46.8,96,29.97,"none"
"KCAVENIC20","2025-01-07T02:30",48,47.7,0.9,0,1.1,0,20,0,46.9,97,29.97,"none"
"KCAVENIC20","2025-01-07T02:45",47.7,47.3,0,0,0,0,21,0,46.5,97,29.96,"none"
"KCAVENIC20","2025-01-07T03:00",47.7,47.3,0,0,0,0,20,0,46.5,97,29.95,"none"
"KCAVENIC20","2025-01-07T03:15",46.9,46.2,0,0,0,0,20,0,45.7,97,29.94,"none"
"KCAVENIC20","2025-01-07T03:30",46.2,46.2,0,0,0,0,20,0,45.7,98,29.95,"none"
"KCAVENIC20","2025-01-07T03:45",46.8,46.4,0,0,0,0,17,0,46,98,29.95,"none"
"KCAVENIC20","2025-01-07T04:00",46.4,46.4,0,0,0,0,17,0,45.9,98,29.95,"none"
"KCAVENIC20","2025-01-07T04:15",46,46,0,0,0,0,17,0,45.5,98,29.95,"none"
"KCAVENIC20","2025-01-07T04:30",46.2,45.7,0.7,0,1.1,0,49,0,45.2,98,29.95,"none"
"KCAVENIC20","2025-01-07T04:45",45.5,45.3,0.7,0,1.1,0,99,0,44.8,98,29.96,"none"
"KCAVENIC20","2025-01-07T05:00",45.5,45.3,0.9,0,1.1,0,99,0,44.8,98,29.96,"none"
"KCAVENIC20","2025-01-07T05:15",45.5,45.1,0.7,0,1.1,0,87,0,44.6,98,29.96,"none"
"KCAVENIC20","2025-01-07T05:30",44.6,44.6,0.7,0.7,1.1,1.1,88,0,44.3,99,29.96,"none"
"KCAVENIC20","2025-01-07T05:45",44.6,44.4,0,0,0,0,88,0,43.9,98,29.96,"none"
"KCAVENIC20","2025-01-07T06:00",44.6,44.2,1.1,0,1.1,0,88,0,44,99,29.96,"none"
"KCAVENIC20","2025-01-07T06:15",44.6,44.2,1.1,0,1.1,0,88,0,44,99,29.96,"none"
"KCAVENIC20","2025-01-07T06:30",44.8,44.6,1.1,0,1.1,0,89,0,44.3,99,29.96,"none"
"KCAVENIC20","2025-01-07T06:45",45.1,45.1,0,0,0,0,85,0,44.8,99,29.97,"none"
"KCAVENIC20","2025-01-07T07:00",46.4,45.7,0.2,0,1.1,0,30,0,45.4,99,29.98,"none"
"KCAVENIC20","2025-01-07T07:15",46.4,45.7,0.2,0,1.1,0,30,0,45.4,99,29.98,"none"
"KCAVENIC20","2025-01-07T07:30",46.9,46.4,0.7,0,1.1,0,17,0,46.2,99,29.98,"none"
"KCAVENIC20","2025-01-07T07:45",48.7,47.3,0,0,0,0,29,0,47.3,98,29.98,"none"
"KCAVENIC20","2025-01-07T08:00",56.3,48.6,1.8,0,3.4,0,23,0,46.9,76,29.98,"none"
"KCAVENIC20","2025-01-07T08:15",62.2,57.2,4.5,0.4,10.3,1.1,31,0,42.2,48,29.98,"none"
"KCAVENIC20","2025-01-07T08:30",62.6,62.6,3.8,1.6,4.5,2.2,300,0,41.5,46,29.99,"none"
"KCAVENIC20","2025-01-07T08:45",56.3,48.6,1.8,0,3.4,0,23,0,46.9,76,29.98,"none"
"KCAVENIC20","2025-01-07T09:00",64.2,63.7,5.8,1.1,10.3,2.2,2,0,39.8,40.8,30,"none"
"KCAVENIC20","2025-01-07T09:15",65.3,64.2,4.5,0.9,6.9,1.1,29,0,39.5,39,30.01,"none"
"KCAVENIC20","2025-01-07T09:30",65.7,65.5,6.5,2,12.5,4.5,36,0,39.9,39,30.01,"none"
"KCAVENIC20","2025-01-07T09:45",66.2,65.7,4.7,2.2,6.9,3.4,263,0,40.1,39,30.01,"none"
"KCAVENIC20","2025-01-07T10:00",67.5,66.2,6.5,1.3,10.3,2.2,27,0,40.4,37.3,30.02,"none"
"KCAVENIC20","2025-01-07T10:15",66.6,65.3,4.9,0.9,9.2,1.1,12,0,39.7,38.5,30.03,"none"
"KCAVENIC20","2025-01-07T10:30",67.3,65.7,4.5,0.9,8.1,2.2,43,0,39.3,36,30.03,"none"
"KCAVENIC20","2025-01-07T10:45",66.9,66.2,2.2,1.1,3.4,1.1,95,0,38.5,36,30.02,"none"
"KCAVENIC20","2025-01-07T11:00",67.6,67.6,3.4,3.4,5.8,5.8,66,0,37.5,33,30.02,"none"
"KCAVENIC20","2025-01-07T11:15",68.9,68.4,6.3,0.9,9.2,1.1,30,0,37.5,32,30.01,"none"
"KCAVENIC20","2025-01-07T11:30",69.3,69.1,7.6,0.4,12.5,1.1,31,0,36.5,30,30,"none"
"KCAVENIC20","2025-01-07T11:45",70.2,69.4,6,1.8,10.3,2.2,21,0,36.6,30,29.99,"none"
"KCAVENIC20","2025-01-07T12:00",71.4,70,4.9,0.4,8.1,1.1,4,0,35.8,28,29.98,"none"
"KCAVENIC20","2025-01-07T12:15",70.3,70.2,4.3,2.5,6.9,3.4,12,0,35.6,28,29.98,"none"
"KCAVENIC20","2025-01-07T12:30",71.1,70.2,5.6,1.1,11.4,1.1,46,0,35.4,27.5,29.97,"none"
"KCAVENIC20","2025-01-07T12:45",71.1,70.5,4.5,1.3,6.9,2.2,10,0,35.2,27,29.97,"none"
"KCAVENIC20","2025-01-07T13:00",71.4,70.7,3.1,1.1,5.8,1.1,10,0,34.7,26,29.96,"none"
"KCAVENIC20","2025-01-07T13:15",72.1,71.2,6.7,0.7,10.3,1.1,10,0,33.8,24.5,29.96,"none"
"KCAVENIC20","2025-01-07T13:30",72.3,72,4.5,2,11.4,2.2,11,0,31.2,22,29.96,"none"
"KCAVENIC20","2025-01-07T13:45",72,71.8,7.4,1.8,11.4,3.4,34,0,30.9,22,29.95,"none"
"KCAVENIC20","2025-01-07T14:00",71.8,71.4,4.7,2.5,8.1,3.4,310,0,30.9,22,29.96,"none"
"KCAVENIC20","2025-01-07T14:15",71.4,70.9,7.6,2.9,14.8,3.4,38,0,30.6,22,29.96,"none"
"KCAVENIC20","2025-01-07T14:30",71.4,71.1,5.8,1.6,8.1,2.2,24,0,30.5,22,29.97,"none"
"KCAVENIC20","2025-01-07T14:45",71.2,70.9,9.2,2.5,11.4,3.4,3,0,28,20,29.96,"none"
"KCAVENIC20","2025-01-07T15:00",71.4,70.9,9.8,1.8,15.9,3.4,35,0,25,17.5,29.96,"none"
"KCAVENIC20","2025-01-07T15:15",71.1,70.9,6.5,1.1,11.4,2.2,3,0,23.9,17,29.96,"none"
"KCAVENIC20","2025-01-07T15:30",70.9,70.7,10.3,2,20.6,3.4,37,0,23.8,17,29.97,"none"
"KCAVENIC20","2025-01-07T15:45",70.7,70.3,7.6,1.3,14.8,2.2,22,0,23.4,17,29.96,"none"
"KCAVENIC20","2025-01-07T16:00",70.3,69.4,5.8,2,8.1,2.2,24,0,22.8,17,29.96,"none"
