Station,DateTime,Temperature Max,Temperature Min,Wind Speed Max,Wind Speed Min,Dew Point Max,Dew Point Min,Humidity Max,Humidity Min,Pressure Max,Pressure Min,Precipitation
KLAX,1997-05-01T00:00,71,58,22,0,57,49,97,47,29.8,29.6,0.00
KLAX,1997-05-02T00:00,71,55,15,0,59,49,89,49,29.8,29.7,0.00
KLAX,1997-05-03T00:00,72,57,15,0,56,51,87,49,29.9,29.8,0.00
KLAX,1997-05-04T00:00,74,58,13,0,59,53,87,55,29.9,29.8,0.00
KLAX,1997-05-05T00:00,73,60,16,0,61,55,87,55,29.9,29.8,0.00
KLAX,1997-05-06T00:00,74,60,13,0,62,55,93,57,29.8,29.7,0.00
KLAX,1997-05-07T00:00,76,62,14,0,62,51,96,42,29.8,29.7,0.00
KLAX,1997-05-08T00:00,72,61,14,0,61,57,97,68,29.8,29.8,0.00
KLAX,1997-05-09T00:00,70,60,17,0,61,56,96,73,29.9,29.8,0.00
KLAX,1997-05-10T00:00,70,59,14,0,61,56,94,70,29.8,29.7,0.00
KLAX,1997-05-11T00:00,70,60,17,0,61,57,93,73,29.8,29.7,0.00
KLAX,1997-05-12T00:00,71,61,15,0,61,58,90,70,29.8,29.7,0.00
KLAX,1997-05-13T00:00,70,61,14,0,61,59,94,73,29.8,29.7,0.00
KLAX,1997-05-14T00:00,71,61,14,0,61,59,97,68,29.8,29.8,0.00
KLAX,1997-05-15T00:00,73,61,14,0,63,59,100,68,29.9,29.7,0.00
KLAX,1997-05-16T00:00,73,63,14,3,64,61,100,73,29.9,29.8,0.00
KLAX,1997-05-17T00:00,70,63,18,0,63,60,94,73,29.8,29.7,0.00
KLAX,1997-05-18T00:00,68,63,13,0,63,59,94,79,29.8,29.7,0.00
KLAX,1997-05-19T00:00,70,63,13,0,61,57,88,64,29.8,29.7,0.00
KLAX,1997-05-20T00:00,72,62,16,0,61,57,94,68,29.8,29.7,0.00
KLAX,1997-05-21T00:00,70,63,16,0,61,58,94,65,29.8,29.7,0.00
KLAX,1997-05-22T00:00,71,64,15,0,61,57,90,68,29.8,29.8,0.00
KLAX,1997-05-23T00:00,73,62,15,0,64,57,100,64,29.9,29.8,0.00
KLAX,1997-05-24T00:00,74,64,21,3,63,57,94,55,29.8,29.7,0.00
KLAX,1997-05-25T00:00,72,61,16,3,60,54,90,58,29.8,29.7,0.00
KLAX,1997-05-26T00:00,74,60,15,0,61,54,87,57,29.8,29.8,0.00
KLAX,1997-05-27T00:00,78,64,13,0,62,60,90,54,29.8,29.7,0.00
KLAX,1997-05-28T00:00,81,66,16,0,65,60,90,49,29.8,29.7,0.00
KLAX,1997-05-29T00:00,84,67,15,0,67,62,93,53,29.7,29.7,0.00
KLAX,1997-05-30T00:00,75,66,13,0,65,62,94,69,29.8,29.7,0.00
KLAX,1997-05-31T00:00,76,66,17,0,65,62,94,67,29.9,29.8,0.00
