"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"2023-08-05|12:53 AM","66ʡF","62ʡF","87ʡ%","WSW","5ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Fair"
"2023-08-05|1:53 AM","67ʡF","63ʡF","87ʡ%","SSW","5ʡmph","0ʡmph","29.73ʡin","0.0ʡin","Fair"
"2023-08-05|2:53 AM","67ʡF","63ʡF","87ʡ%","CALM","0ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Fair"
"2023-08-05|3:53 AM","66ʡF","62ʡF","87ʡ%","CALM","0ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Fair"
"2023-08-05|4:53 AM","65ʡF","62ʡF","90ʡ%","E","3ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Fair"
"2023-08-05|5:53 AM","64ʡF","62ʡF","93ʡ%","CALM","0ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Fair"
"2023-08-05|6:53 AM","65ʡF","63ʡF","93ʡ%","CALM","0ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Fair"
"2023-08-05|7:53 AM","68ʡF","63ʡF","84ʡ%","CALM","0ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"2023-08-05|8:53 AM","71ʡF","63ʡF","75ʡ%","CALM","0ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"2023-08-05|9:53 AM","74ʡF","63ʡF","68ʡ%","WSW","5ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Fair"
"2023-08-05|10:53 AM","74ʡF","64ʡF","71ʡ%","WSW","9ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"2023-08-05|11:53 AM","74ʡF","64ʡF","71ʡ%","W","13ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Fair"
"2023-08-05|12:53 PM","74ʡF","64ʡF","71ʡ%","WSW","13ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"2023-08-05|1:53 PM","75ʡF","64ʡF","69ʡ%","W","12ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Fair"
"2023-08-05|2:53 PM","75ʡF","64ʡF","69ʡ%","WSW","13ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Fair"
"2023-08-05|3:53 PM","74ʡF","65ʡF","73ʡ%","WSW","16ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Fair"
"2023-08-05|4:53 PM","73ʡF","64ʡF","73ʡ%","WSW","13ʡmph","0ʡmph","29.73ʡin","0.0ʡin","Fair"
"2023-08-05|5:53 PM","73ʡF","64ʡF","73ʡ%","W","13ʡmph","0ʡmph","29.71ʡin","0.0ʡin","Fair"
"2023-08-05|6:53 PM","71ʡF","65ʡF","81ʡ%","SW","10ʡmph","0ʡmph","29.73ʡin","0.0ʡin","Partly Cloudy"
"2023-08-05|7:53 PM","69ʡF","65ʡF","87ʡ%","WSW","8ʡmph","0ʡmph","29.74ʡin","0.0ʡin","Partly Cloudy"
"2023-08-05|8:53 PM","68ʡF","64ʡF","88ʡ%","WSW","5ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Mostly Cloudy"
"2023-08-05|9:53 PM","67ʡF","63ʡF","87ʡ%","SW","5ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Mostly Cloudy"
"2023-08-05|10:53 PM","67ʡF","63ʡF","87ʡ%","W","7ʡmph","0ʡmph","29.75ʡin","0.0ʡin","Fair"
"2023-08-05|11:53 PM","67ʡF","63ʡF","87ʡ%","SSW","3ʡmph","0ʡmph","29.76ʡin","0.0ʡin","Fair"
