Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KCALOSAN1201","2025-01-07T00:00","53.1","53.1","0","0","0","0","249","0","50.2","90","29.96","none","6.88","9.18","7.49","-25.10","-26.00","",""
"KCALOSAN1201","2025-01-07T00:15","53.6","52.9","1.1","0","1.1","0","249","0","50.3","91","29.96","none","6.88","9.18","7.49","-24.00","-26.90","",""
"KCALOSAN1201","2025-01-07T00:30","54","53.2","0","0","0","0","249","0","50.6","91","29.96","none","6.88","9.18","7.49","-25.10","-28.00","",""
"KCALOSAN1201","2025-01-07T00:45","53.6","52.5","0","0","0","0","249","0","50.7","91.7","29.94","none","6.88","9.18","7.49","-23.90","-26.00","",""
"KCALOSAN1201","2025-01-07T01:00","52.2","52","1.6","0","2.2","0","249","0","50","93","29.94","none","6.88","9.18","7.49","-26.40","-27.80","-1.40","2.20"
"KCALOSAN1201","2025-01-07T01:15","52.9","52.9","0","0","0","0","249","0","51.2","94","29.95","none","6.88","9.18","7.49","-27.10","-32.00","-3.00","0.00"
"KCALOSAN1201","2025-01-07T01:30","50.5","50.5","0","0","0","0","249","0","48.8","94","29.94","none","6.88","9.18","7.49","-33.10","-34.00","-3.00","0.00"
"KCALOSAN1201","2025-01-07T01:45","51.1","50","0","0","0","0","249","0","48.5","94","29.94","none","6.88","9.18","7.49","-30.00","-34.00","-3.00","0.00"
"KCALOSAN1201","2025-01-07T02:00","50","48.4","0","0","0","0","249","0","47","94","29.94","none","6.88","9.18","7.49","-34.00","-36.00","0.00","0.00"
"KCALOSAN1201","2025-01-07T02:15","50","49.1","0","0","0","0","249","0","47.9","95","29.94","none","6.88","9.18","7.49","-36.90","-41.00","0.00","0.00"
"KCALOSAN1201","2025-01-07T02:30","48.9","48.4","0","0","0","0","249","0","47.2","95","29.94","none","6.88","9.18","7.49","-36.90","-40.00","0.00","0.00"
"KCALOSAN1201","2025-01-07T02:45","48.9","48.2","0","0","0","0","249","0","47.1","95","29.93","none","6.88","9.18","7.49","-38.90","-41.00","0.00","0.00"
"KCALOSAN1201","2025-01-07T03:00","48","47.5","0","0","0","0","249","0","46.4","96","29.93","none","6.88","9.18","7.49","-40.00","-40.00","0.00","0.00"
"KCALOSAN1201","2025-01-07T03:15","47.8","47.3","0.5","0","1.1","0","249","0","46.4","96","29.93","none","6.88","9.18","7.49","-38.40","-42.90","0.50","1.10"
"KCALOSAN1201","2025-01-07T03:30","47.3","47.1","0","0","0","0","249","0","46","96","29.93","none","6.88","9.18","7.49","-40.90","-45.00","0.00","0.00"
"KCALOSAN1201","2025-01-07T03:45","47.7","46.8","0","0","0","0","249","0","45.8","96","29.92","none","6.88","9.18","7.49","-38.00","-46.00","0.00","0.00"
"KCALOSAN1201","2025-01-07T04:00","46.9","46.8","0","0","0","0","249","0","45.7","96","29.92","none","6.88","9.18","7.49","-38.90","-47.00","-3.00","0.00"
"KCALOSAN1201","2025-01-07T04:15","46.6","46.2","0","0","0","0","249","0","45.3","96","29.93","none","6.88","9.18","7.49","-43.00","-47.00","-3.00","0.00"
"KCALOSAN1201","2025-01-07T04:30","46.4","46","0","0","0","0","249","0","44.9","96","29.93","none","6.88","9.18","7.49","-40.90","-47.00","-3.00","0.00"
"KCALOSAN1201","2025-01-07T04:45","46.2","46","0.5","0","1.1","0","249","0","45","96","29.93","none","6.88","9.18","7.49","-47.60","-49.90","-2.50","1.10"
"KCALOSAN1201","2025-01-07T05:00","46.2","45.9","0.7","0","1.1","0","249","0","44.8","96","29.93","none","6.88","9.18","7.49","-49.40","-49.90","0.70","1.10"
"KCALOSAN1201","2025-01-07T05:15","46.2","46","0","0","0","0","249","0","44.9","96","29.94","none","6.88","9.18","7.49","-44.10","-56.00","0.00","0.00"
"KCALOSAN1201","2025-01-07T05:30","46.2","46.2","0","0","0","0","249","0","45.1","96","29.94","none","6.88","9.18","7.49","-43.00","-47.00","0.00","0.00"
"KCALOSAN1201","2025-01-07T05:45","46","45.9","0","0","0","0","249","0","44.8","96","29.93","none","6.88","9.18","7.49","-47.00","-49.00","0.00","0.00"
"KCALOSAN1201","2025-01-07T06:00","46","45.5","0","0","0","0","249","0","44.4","96","29.93","none","6.88","9.18","7.49","-44.10","-49.00","0.00","0.00"
"KCALOSAN1201","2025-01-07T06:15","46","45.5","0","0","0","0","249","0","44.4","96","29.93","none","6.88","9.18","7.49","-44.10","-50.00","0.00","0.00"
"KCALOSAN1201","2025-01-07T06:30","57.9","57.7","4.7","3.6","5.8","5.8","257","0","43.6","59","29.94","none","6.88","9.18","7.49","-40.30","-44.20","4.70","5.80"
"KCALOSAN1201","2025-01-07T06:45","61","61","6","6","9.2","9.2","330","0","43.2","52","29.95","none","6.88","9.18","7.49","-32.90","-36.80","6.00","9.20"
"KCALOSAN1201","2025-01-07T07:00","61.7","61.2","5.4","3.1","9.2","3.4","260","0","42.9","50","29.95","none","6.88","9.18","7.49","-28.60","-33.80","0.40","9.20"
"KCALOSAN1201","2025-01-07T07:15","60.4","57","2.7","0","3.4","0","235","0","44.1","55.5","29.96","none","6.88","9.18","7.49","-33.30","-45.60","-2.30","3.40"
"KCALOSAN1201","2025-01-07T07:30","60.4","55.2","5.8","0","6.9","0","245","0","43","52.7","29.96","none","6.88","9.18","7.49","-38.30","-46.10","0.80","6.90"
"KCALOSAN1201","2025-01-07T07:45","62.1","61","5.6","2.2","6.9","3.4","244","0","42.2","48","29.96","none","6.88","9.18","7.49","-46.30","-48.10","0.60","6.90"
"KCALOSAN1201","2025-01-07T08:00","64.4","62.8","11","3.8","15.9","5.8","272","0","42","44.3","29.96","none","6.88","9.18","7.49","-42.90","-41.10","11.00","15.90"
"KCALOSAN1201","2025-01-07T08:15","64.6","64","8.1","4.3","12.5","5.8","257","0","41.5","43","29.97","none","6.88","9.18","7.49","-45.80","-49.50","8.10","12.50"
"KCALOSAN1201","2025-01-07T08:30","64.8","64.4","10.7","4.5","12.5","5.8","280","0","40.8","42","29.97","none","6.88","9.18","7.49","-46.30","-54.50","10.70","12.50"
"KCALOSAN1201","2025-01-07T08:45","64.8","64.6","9.6","6.3","11.4","9.2","267","0","41.2","42","29.98","none","6.88","9.18","7.49","-47.40","-54.60","9.60","11.40"
"KCALOSAN1201","2025-01-07T09:00","64.9","64.8","11.2","4","19.5","5.8","265","0","41.2","42","29.99","none","6.88","9.18","7.49","-36.90","-41.50","8.20","19.50"
"KCALOSAN1201","2025-01-07T09:15","65.1","64.9","14.3","4.5","18.3","5.8","248","0","40.8","41","29.99","none","6.88","9.18","7.49","-41.60","-44.70","11.30","18.30"
"KCALOSAN1201","2025-01-07T09:30","65.8","65.7","13.2","8.1","19.5","10.3","2","0","42","42","29.99","none","6.88","9.18","7.49","-41.80","-44.50","10.20","19.50"
"KCALOSAN1201","2025-01-07T09:45","65.7","65.5","7.6","4.5","10.3","8.1","256","0","42.2","42.5","30","none","6.88","9.18","7.49","-58.40","-61.70","4.60","10.30"
