Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KCAMALIB108","2025-01-07T00:00","52.3","52","0.2","0","1.1","0","55","0","39.8","63","29.91","none","13.52","11.39","22.62","-24.90","-24.90","",""
"KCAMALIB108","2025-01-07T00:15","52","51.1","0.4","0","1.1","0","40","0","39.5","63","29.91","none","13.52","11.39","22.62","-24.70","-26.90","",""
"KCAMALIB108","2025-01-07T00:30","52.7","51.4","1.1","0","1.1","0","134","0","39.6","62.3","29.9","none","13.52","11.39","22.62","-24.00","-26.90","",""
"KCAMALIB108","2025-01-07T00:45","52.7","51.4","0.2","0","1.1","0","85","0","40.3","62.8","29.89","none","13.52","11.39","22.62","-23.70","-24.90","",""
"KCAMALIB108","2025-01-07T01:00","52.3","51.3","0.9","0","1.1","0","127","0","40.2","65","29.89","none","13.52","11.39","22.62","-27.10","-28.90","-2.10","1.10"
"KCAMALIB108","2025-01-07T01:15","52.3","51.1","1.3","0","2.2","0","86","0","40.8","65.6","29.9","none","13.52","11.39","22.62","-25.80","-29.80","-1.70","2.20"
"KCAMALIB108","2025-01-07T01:30","52.5","51.1","1.8","0","3.4","0","185","0","41.4","67.8","29.89","none","13.52","11.39","22.62","-31.30","-30.60","-1.20","3.40"
"KCAMALIB108","2025-01-07T01:45","52.7","51.6","0.2","0","1.1","0","63","0","43.1","70.6","29.89","none","13.52","11.39","22.62","-29.80","-32.90","-2.80","1.10"
"KCAMALIB108","2025-01-07T02:00","52.5","51.1","0.4","0","1.1","0","105","0","43.2","71.9","29.89","none","13.52","11.39","22.62","-33.60","-34.90","0.40","1.10"
"KCAMALIB108","2025-01-07T02:15","52.2","51.8","1.1","0","1.1","0","93","0","44.2","75.1","29.89","none","13.52","11.39","22.62","-35.80","-39.90","1.10","1.10"
"KCAMALIB108","2025-01-07T02:30","52.2","51.3","0","0","0","0","69","0","44.4","75.9","29.89","none","13.52","11.39","22.62","-36.90","-40.00","0.00","0.00"
"KCAMALIB108","2025-01-07T02:45","52.2","51.4","0.9","0","1.1","0","9","0","44.4","76.8","29.89","none","13.52","11.39","22.62","-38.00","-39.90","0.90","1.10"
"KCAMALIB108","2025-01-07T03:00","51.6","51.1","0.9","0","1.1","0","156","0","44.4","76.7","29.88","none","13.52","11.39","22.62","-39.10","-38.90","0.90","1.10"
"KCAMALIB108","2025-01-07T03:15","51.6","50.9","1.1","0","1.1","0","145","0","44.1","76.7","29.88","none","13.52","11.39","22.62","-37.80","-42.90","1.10","1.10"
"KCAMALIB108","2025-01-07T03:30","52","50.7","2.2","0","3.4","0","169","0","44","76.7","29.88","none","13.52","11.39","22.62","-38.70","-41.60","2.20","3.40"
