Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KCAPACIF272","2025-01-07T00:00","52.7","52.2","3.4","0.2","3.4","1.1","334","0","43","70","29.97","none","0.84","3.15","12.37","-21.70","-22.60","",""
"KCAPACIF272","2025-01-07T00:15","52.2","50.5","2.2","0","3.4","0","318","0","41.9","70.4","29.97","none","0.84","3.15","12.37","-22.90","-24.60","",""
"KCAPACIF272","2025-01-07T00:30","50.5","50","0.9","0","1.1","0","300","0","41.8","72.3","29.96","none","0.84","3.15","12.37","-24.20","-26.90","",""
"KCAPACIF272","2025-01-07T00:45","50.9","50","2.2","0","2.2","0","303","0","42.9","76.3","29.95","none","0.84","3.15","12.37","-21.70","-23.80","",""
"KCAPACIF272","2025-01-07T01:00","50","49.6","0.9","0","1.1","0","301","0","43.2","77.9","29.96","none","0.84","3.15","12.37","-27.10","-28.90","-2.10","1.10"
"KCAPACIF272","2025-01-07T01:15","50.4","49.8","2.2","0","3.4","0","297","0","44.2","80.9","29.95","none","0.84","3.15","12.37","-24.90","-28.60","-0.80","3.40"
"KCAPACIF272","2025-01-07T01:30","51.3","50","2.5","0","3.4","0","299","0","45.1","83","29.95","none","0.84","3.15","12.37","-30.60","-30.60","-0.50","3.40"
"KCAPACIF272","2025-01-07T01:45","51.4","50.2","3.1","0.2","3.4","1.1","319","0","46","85","29.95","none","0.84","3.15","12.37","-26.90","-30.60","0.10","3.40"
"KCAPACIF272","2025-01-07T02:00","50","49.6","2.5","0","3.4","0","303","0","45.5","85","29.95","none","0.84","3.15","12.37","-31.50","-32.60","2.50","3.40"
"KCAPACIF272","2025-01-07T02:15","49.8","49.5","2.2","0","2.2","0","300","0","45.8","86","29.95","none","0.84","3.15","12.37","-34.70","-38.80","2.20","2.20"
"KCAPACIF272","2025-01-07T02:30","51.3","49.8","2.2","0","2.2","0","286","0","46.2","86.8","29.94","none","0.84","3.15","12.37","-34.70","-37.80","2.20","2.20"
"KCAPACIF272","2025-01-07T02:45","52.2","50.7","2.2","0","2.2","0","266","0","46.8","84.1","29.94","none","0.84","3.15","12.37","-36.70","-38.80","2.20","2.20"
"KCAPACIF272","2025-01-07T03:00","52.7","52.2","4","0","4.5","0","270","0","47","82.5","29.94","none","0.84","3.15","12.37","-36.00","-35.50","4.00","4.50"
"KCAPACIF272","2025-01-07T03:15","53.1","52.7","4.5","0","4.5","0","251","0","47.6","82","29.94","none","0.84","3.15","12.37","-34.40","-39.50","4.50","4.50"
"KCAPACIF272","2025-01-07T03:30","52.7","51.8","3.1","0","3.4","0","255","0","47","82.5","29.93","none","0.84","3.15","12.37","-37.80","-41.60","3.10","3.40"
"KCAPACIF272","2025-01-07T03:45","51.8","51.1","2.2","0","2.2","0","304","0","46.6","84","29.94","none","0.84","3.15","12.37","-35.80","-43.80","2.20","2.20"
"KCAPACIF272","2025-01-07T04:00","51.6","50.7","2.9","0","3.4","0","313","0","46","81.4","29.93","none","0.84","3.15","12.37","-36.00","-43.60","-0.10","3.40"
"KCAPACIF272","2025-01-07T04:15","55.4","51.8","5.1","0","8.1","0","288","0","40.5","59.6","29.93","none","0.84","3.15","12.37","-37.90","-38.90","2.10","8.10"
"KCAPACIF272","2025-01-07T04:30","61.3","55.8","4.9","0","8.1","0","310","0","37.1","41.4","29.93","none","0.84","3.15","12.37","-36.00","-38.90","1.90","8.10"
"KCAPACIF272","2025-01-07T04:45","62.4","61.3","6","0","9.2","0","292","0","37.4","40.1","29.94","none","0.84","3.15","12.37","-42.10","-41.80","3.00","9.20"
"KCAPACIF272","2025-01-07T05:00","62.6","61.9","2.9","0","4.5","0","310","0","38.5","41.1","29.94","none","0.84","3.15","12.37","-47.20","-46.50","2.90","4.50"
"KCAPACIF272","2025-01-07T05:15","62.8","62.2","3.4","0.2","6.9","1.1","13","0","39.7","43","29.94","none","0.84","3.15","12.37","-40.70","-49.10","3.40","6.90"
"KCAPACIF272","2025-01-07T05:30","62.6","62.2","3.4","0","10.3","0","43","0","39.9","43.3","29.94","none","0.84","3.15","12.37","-39.60","-36.70","3.40","10.30"
"KCAPACIF272","2025-01-07T05:45","62.4","62.1","4.3","0","8.1","0","328","0","40","43.8","29.94","none","0.84","3.15","12.37","-42.70","-40.90","4.30","8.10"
"KCAPACIF272","2025-01-07T06:00","62.6","62.2","4","0","8.1","0","320","0","39.7","43.1","29.94","none","0.84","3.15","12.37","-40.10","-40.90","4.00","8.10"
