Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KCASANTA3310","2025-01-07T00:00","54","54","0.7","0","1.1","1.1","196","0","49.7","85.6","29.9","none","6.97","9.02","5.94","-24.40","-24.90","",""
"KCASANTA3310","2025-01-07T00:15","54","53.6","1.1","0","1.1","0","198","0","50.1","87","29.91","none","6.97","9.02","5.94","-24.00","-26.90","",""
"KCASANTA3310","2025-01-07T00:30","53.6","53.2","0.7","0","1.1","0","44","0","50.4","89.4","29.9","none","6.97","9.02","5.94","-24.40","-26.90","",""
"KCASANTA3310","2025-01-07T00:45","53.6","52.5","1.6","0","2.2","0","143","0","50.5","91","29.89","none","6.97","9.02","5.94","-22.30","-23.80","",""
"KCASANTA3310","2025-01-07T01:00","53.1","52","1.8","0","2.2","0","244","0","50.3","92","29.89","none","6.97","9.02","5.94","-26.20","-27.80","-1.20","2.20"
"KCASANTA3310","2025-01-07T01:15","52.5","52","1.8","0","2.2","0","305","0","50.1","92.8","29.9","none","6.97","9.02","5.94","-25.30","-29.80","-1.20","2.20"
"KCASANTA3310","2025-01-07T01:30","52.9","52.5","1.1","0","2.2","0","301","0","50.6","93","29.89","none","6.97","9.02","5.94","-32.00","-31.80","-1.90","2.20"
"KCASANTA3310","2025-01-07T01:45","53.1","52.2","0.7","0","1.1","0","175","0","50.5","93","29.89","none","6.97","9.02","5.94","-29.30","-32.90","-2.30","1.10"
"KCASANTA3310","2025-01-07T02:00","52.5","52.3","0","0","0","0","241","0","50.5","94","29.88","none","6.97","9.02","5.94","-34.00","-36.00","0.00","0.00"
"KCASANTA3310","2025-01-07T02:15","52.5","52.2","1.1","0","2.2","0","262","0","50.5","94","29.89","none","6.97","9.02","5.94","-35.80","-38.80","1.10","2.20"
"KCASANTA3310","2025-01-07T02:30","52.5","52.2","2.2","0","2.2","0","148","0","50.4","94","29.88","none","6.97","9.02","5.94","-34.70","-37.80","2.20","2.20"
"KCASANTA3310","2025-01-07T02:45","52.5","52.2","1.1","0","2.2","0","177","0","50.4","93","29.88","none","6.97","9.02","5.94","-37.80","-38.80","1.10","2.20"
"KCASANTA3310","2025-01-07T03:00","52.3","51.4","1.8","0","2.2","0","156","0","49.5","92.9","29.88","none","6.97","9.02","5.94","-38.20","-37.80","1.80","2.20"
"KCASANTA3310","2025-01-07T03:15","52","51.6","1.3","0","2.2","0","168","0","49.7","93","29.87","none","6.97","9.02","5.94","-37.60","-41.80","1.30","2.20"
"KCASANTA3310","2025-01-07T03:30","52.7","51.8","2.2","0","2.2","0","153","0","49.2","88.7","29.87","none","6.97","9.02","5.94","-38.70","-42.80","2.20","2.20"
"KCASANTA3310","2025-01-07T03:45","51.8","50.5","0","0","0","0","244","0","48","89","29.87","none","6.97","9.02","5.94","-38.00","-46.00","0.00","0.00"
"KCASANTA3310","2025-01-07T04:00","51.8","50.7","1.6","0","2.2","0","251","0","48.4","91.2","29.87","none","6.97","9.02","5.94","-37.30","-44.80","-1.40","2.20"
"KCASANTA3310","2025-01-07T04:15","52","50.9","0","0","0","0","253","0","49.3","92.8","29.87","none","6.97","9.02","5.94","-43.00","-47.00","-3.00","0.00"
"KCASANTA3310","2025-01-07T04:30","51.8","49.3","1.8","0","2.2","0","174","0","47.7","93","29.88","none","6.97","9.02","5.94","-39.10","-44.80","-1.20","2.20"
"KCASANTA3310","2025-01-07T04:45","50.7","49.3","1.8","0","2.2","0","177","0","47.9","94","29.88","none","6.97","9.02","5.94","-46.30","-48.80","-1.20","2.20"
"KCASANTA3310","2025-01-07T05:00","50.2","49.5","1.6","0","2.2","0","175","0","47.8","94","29.88","none","6.97","9.02","5.94","-48.50","-48.80","1.60","2.20"
"KCASANTA3310","2025-01-07T05:15","49.8","48.6","0.7","0","1.1","0","199","0","47.1","94","29.89","none","6.97","9.02","5.94","-43.40","-54.90","0.70","1.10"
"KCASANTA3310","2025-01-07T05:30","49.1","48.4","1.3","0","2.2","0","179","0","46.9","94.1","29.89","none","6.97","9.02","5.94","-41.70","-44.80","1.30","2.20"
"KCASANTA3310","2025-01-07T05:45","48.7","48.4","1.3","0","2.2","0","189","0","47","95","29.89","none","6.97","9.02","5.94","-45.70","-46.80","1.30","2.20"
"KCASANTA3310","2025-01-07T06:00","48.4","48","0","0","0","0","216","0","46.7","95","29.88","none","6.97","9.02","5.94","-44.10","-49.00","0.00","0.00"
