Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KCATOPAN8","2025-01-07T00:00","55.2","55","25.1","17","26","23","342","0","38.1","52.6","29.85","none","2.34","0.00","14.70","","","",""
"KCATOPAN8","2025-01-07T00:15","55.6","55.2","25.1","15","28","24","334","0","37.9","51.6","29.85","none","2.34","0.00","14.70","","","",""
"KCATOPAN8","2025-01-07T00:30","55.6","55.2","25.1","16.1","28","24","347","0","38","51.4","29.84","none","2.34","0.00","14.70","","","",""
"KCATOPAN8","2025-01-07T00:45","55","54.9","23.9","12.1","26","21","349","0","37.7","52.2","29.83","none","2.34","0.00","14.70","","","",""
"KCATOPAN8","2025-01-07T01:00","54.9","54.3","28","19.9","30","25","346","0","37.5","52","29.83","none","2.34","0.00","14.70","","","25.00","30.00"
"KCATOPAN8","2025-01-07T01:15","54.5","54.1","27.1","17.9","32","26","335","0","37.6","53","29.83","none","2.34","0.00","14.70","","","24.10","32.00"
"KCATOPAN8","2025-01-07T01:30","54.7","54.1","33.1","19.9","34","26","333","0","37.2","51.6","29.83","none","2.34","0.00","14.70","","","30.10","34.00"
"KCATOPAN8","2025-01-07T01:45","54.7","54.3","30","21.9","34","29","339","0","36.9","51.6","29.83","none","2.34","0.00","14.70","","","27.00","34.00"
"KCATOPAN8","2025-01-07T02:00","54.3","53.6","34","21","36","30","335","0","36.8","52","29.82","none","2.34","0.00","14.70","","","34.00","36.00"
"KCATOPAN8","2025-01-07T02:15","53.4","53.2","36.9","23.9","41","34","341","0","36.7","53","29.82","none","2.34","0.00","14.70","","","36.90","41.00"
"KCATOPAN8","2025-01-07T02:30","53.2","53.1","36.9","29.1","40","37","0","0","36.4","53","29.82","none","2.34","0.00","14.70","","","36.90","40.00"
"KCATOPAN8","2025-01-07T02:45","53.6","53.2","38.9","23","41","33","349","0","35.9","51.6","29.82","none","2.34","0.00","14.70","","","38.90","41.00"
"KCATOPAN8","2025-01-07T03:00","53.2","53.1","40","21","40","36","2","0","35.4","51","29.82","none","2.34","0.00","14.70","","","40.00","40.00"
"KCATOPAN8","2025-01-07T03:15","53.8","53.1","38.9","25.9","44","35","352","0","34.9","49","29.81","none","2.34","0.00","14.70","","","38.90","44.00"
"KCATOPAN8","2025-01-07T03:30","54.1","54","40.9","31.1","45","40","351","0","34.5","47.4","29.8","none","2.34","0.00","14.70","","","40.90","45.00"
"KCATOPAN8","2025-01-07T03:45","54.1","54.1","38","28","46","40","1","0","34.7","47.6","29.81","none","2.34","0.00","14.70","","","38.00","46.00"
"KCATOPAN8","2025-01-07T04:00","54.1","54","38.9","25.9","47","39","356","0","34.7","48","29.81","none","2.34","0.00","14.70","","","35.90","47.00"
"KCATOPAN8","2025-01-07T04:15","54.1","54","43","25.9","47","42","5","0","34.5","47.4","29.81","none","2.34","0.00","14.70","","","40.00","47.00"
"KCATOPAN8","2025-01-07T04:30","54.3","54.1","40.9","28","47","42","1","0","34.7","47.4","29.81","none","2.34","0.00","14.70","","","37.90","47.00"
"KCATOPAN8","2025-01-07T04:45","54.7","54.1","48.1","31.1","51","43","1","0","36.1","50","29.81","none","2.34","0.00","14.70","","","45.10","51.00"
"KCATOPAN8","2025-01-07T05:00","54.7","54.5","50.1","31.1","51","42","6","0","36.7","51","29.82","none","2.34","0.00","14.70","","","50.10","51.00"
"KCATOPAN8","2025-01-07T05:15","54.5","54.3","44.1","32","56","43","0","0","36.9","51.8","29.82","none","2.34","0.00","14.70","","","44.10","56.00"
"KCATOPAN8","2025-01-07T05:30","54.5","54.1","43","27.1","47","43","0","0","37","52","29.83","none","2.34","0.00","14.70","","","43.00","47.00"
"KCATOPAN8","2025-01-07T05:45","54.3","54.1","47","30","49","40","356","0","36.9","52","29.83","none","2.34","0.00","14.70","","","47.00","49.00"
"KCATOPAN8","2025-01-07T06:00","54.3","54","44.1","27.1","49","38","0","0","36.9","52","29.83","none","2.34","0.00","14.70","","","44.10","49.00"
"KCATOPAN8","2025-01-07T06:15","54","53.4","44.1","25.9","50","39","4","0","37.5","53.6","29.83","none","2.34","0.00","14.70","","","44.10","50.00"
"KCATOPAN8","2025-01-07T06:30","53.4","53.1","45","28","50","41","1","0","37.6","55","29.83","none","2.34","0.00","14.70","","","45.00","50.00"
"KCATOPAN8","2025-01-07T06:45","53.1","52.9","38.9","27.1","46","36","1","0","37.8","56","29.84","none","2.34","0.00","14.70","","","38.90","46.00"
