stationCode,maxWindSpeedHigh,maxWindSpeedTime,maxWindGustHigh,maxWindGustTime,stationName,stationAddress,zipCode,latitude,longitude,fireDistanceMiles
"KCABEVER36","17.9","2025-01-07T19:15","28.6","2025-01-07T19:00","Benedict Canyon/Mulholland","13211 Mulholland Drive, Beverly Hills, CA 90210","90210","34.128809","-118.420488","8.64"
"KCACALAB70","28.1","2025-01-07T09:00","39.3","2025-01-07T09:00","Calabasas Highlands","Calabasas Highlands, Calabasas, CA 91302","91302","34.12295","-118.67193","7.13"
"KCALOSAN1017","16.3","2025-01-07T20:45","22.3","2025-01-07T21:00","Brentwood","Brentwood, Los Angeles, CA 90049","90049","34.08749","-118.48976","4.01"
"KCALOSAN1201","26.8","2025-01-07T21:30","37.6","2025-01-07T21:30","Sawtelle","Sawtelle, Los Angeles, CA 90025","90025","34.04551","-118.44583","6.88"
"KCALOSAN1231","18.8","2025-01-07T19:30","32","2025-01-07T19:45","Bel Air","Bel Air, Los Angeles, CA 90077","90077","34.10536","-118.45591","6.18"
"KCALOSAN1246","11.3","2025-01-07T19:45","14.3","2025-01-07T19:45","Beverly Crest","Beverly Crest, Los Angeles, CA 90210","90210","34.10251","-118.41505","8.4"
"KCALOSAN364","11.2","2025-01-07T21:00","20.6","2025-01-07T15:00","Mar Vista Hill","Mar Vista Hill, Los Angeles, CA 90066","90066","34.00166","-118.43104","9.07"
"KCALOSAN724","38.5","2025-01-07T21:00","48.3","2025-01-07T21:00","Brentwood","Brentwood, Los Angeles, CA 90049","90049","34.08749","-118.48976","4.01"
"KCALOSAN803","15.7","2025-01-07T20:00","33.1","2025-01-07T20:30","Lower Bel Air","Lower Bel Air, Los Angeles, CA 90077","90077","34.10536","-118.45591","6.18"
"KCALOSAN872","37","2025-01-07T21:45","43","2025-01-07T19:45","Del Rey","Del Rey, Los Angeles, CA 90066","90066","34.00166","-118.43104","9.07"
"KCALOSAN895","19.9","2025-01-07T14:15","26.2","2025-01-07T12:00","Brentwood","Brentwood, Los Angeles, CA 90049","90049","34.08749","-118.48976","4.01"
"KCALOSAN902","10.3","2025-01-07T19:30","19.7","2025-01-07T19:45","Bel Air","Bel Air, Los Angeles, CA 90077","90077","34.10536","-118.45591","6.18"
"KCALOSAN938","11.6","2025-01-07T18:15","21.7","2025-01-07T17:15","Brentwood","Brentwood, Los Angeles, CA 90049","90049","34.08749","-118.48976","4.01"
"KCAMALIB108","21.9","2025-01-07T05:45","30.9","2025-01-07T08:45","Malibu","Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAMALIB114","39","2025-01-07T10:00","39","2025-01-07T10:00","Malibu","Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAMALIB151","14.8","2025-01-07T19:30","26.4","2025-01-07T23:15","Point Dume","Point Dume, Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAMALIB158","35.6","2025-01-07T23:15","57.9","2025-01-07T22:30","Santa Monica Mountains","Santa Monica Mountains (Solstice Canyon), Malibu, CA 90265","90265","34.035","-118.7445","11.04"
"KCAMALIB166","23.5","2025-01-07T10:15","36.9","2025-01-07T10:15","Broad Beach","31250 Broad Beach Rd, Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAMALIB52","40.8","2025-01-07T22:45","40","2025-01-07T23:00","Tapia Reclamation Facility","Tapia Water Reclamation Facility, 4232 Las Virgenes Road, Calabasas, CA 91302","91302","34.12295","-118.67193","7.13"
"KCAMALIB61","33.3","2025-01-07T21:30","54.8","2025-01-07T21:30","Malibu Springs - Vedder","Malibu Springs - Vedder, Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAMALIB62","15.4","2025-01-07T21:30","27.3","2025-01-08T00:00","Malibu Country Estates","Malibu Country Estates, Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAMALIB87","26","2025-01-07T18:00","36","2025-01-07T19:30","Malibu","Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAPACIF272","13.6","2025-01-07T18:00","25.1","2025-01-07T17:45","Pacific Palisades","Pacific Palisades, CA 90272","90272","34.08066","-118.54459","0.84"
"KCAPACIF287","29","2025-01-07T17:30","60","2025-01-07T17:15","Alphabet Streets","Alphabet Streets, Pacific Palisades, CA 90272","90272","34.08066","-118.54459","0.84"
"KCASANTA2881","32.9","2025-01-07T18:30","48.8","2025-01-07T22:00","Wilshire/Montana","Wilshire/Montana, Santa Monica, CA 90403","90403","34.023935","-118.493419","5.35"
"KCASANTA3310","19.9","2025-01-07T20:15","33.1","2025-01-07T20:15","Ocean Park","Ocean Park, Santa Monica, CA 90405","90405","34.01208","-118.4679","6.97"
"KCASANTA4210","28.4","2025-01-07T21:15","38.7","2025-01-07T21:15","Pico","Pico, Santa Monica, CA 90404","90404","34.03","-118.47","6.12"
"KCASANTA4447","18.1","2025-01-07T18:30","27.3","2025-01-07T18:30","Rustic Canyon","Rustic Canyon Park","90402","34.035","-118.504","4.38"
"KCASANTA4632","19.5","2025-01-07T21:45","37.6","2025-01-07T22:45","Wilshire","Wilshire, Santa Monica, CA 90403","90403","34.03164","-118.48975","5.15"
"KCASANTA4711","25","2025-01-07T22:30","25","2025-01-07T22:30","The Palisades","The Palisades, Santa Monica, CA 90402","90402","34.03598","-118.50391","4.34"
"KCATOPAN28","14.3","2025-01-07T09:15","22.8","2025-01-07T20:00","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN32","37.8","2025-01-07T18:45","49","2025-01-07T18:45","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN40","21.5","2025-01-07T21:45","36.5","2025-01-07T22:30","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN43","14.3","2025-01-07T17:00","27.3","2025-01-07T16:00","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN47","16.1","2025-01-07T14:45","23.7","2025-01-07T16:00","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN52","14.1","2025-01-07T19:45","25.1","2025-01-07T23:15","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN55","26.8","2025-01-07T08:15","52.8","2025-01-07T20:45","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN62","6.9","2025-01-07T11:15","9.8","2025-01-07T11:15","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN68","10.5","2025-01-07T09:30","19.5","2025-01-07T18:45","Fernwood","913 Fernwood Pacific Drive, Topanga, CA 90290","90290","34.0812","-118.60405","2.58"
"KCATOPAN8","89","2025-01-07T22:30","98","2025-01-07T21:30","L.A.Co.F.D. Helistop 69Bravo","401 S. Topanga Cyn Blvd, Topanga, CA 90290","90290","34.0837306","-118.5995221","2.34"
"KCAVENIC20","13.6","2025-01-07T21:30","21.7","2025-01-07T21:30","Oakwood Pentagon","2009 Oakwood Ave, Venice, CA 90291","90291","33.9972","-118.4639","7.85"
"KCAWOODL8","36","2025-01-07T18:30","36","2025-01-07T18:30","Mulholland Dr. and Canoga Ave.","21329 Mulholland Drive, Woodland Hills, CA 91364","91364","34.144699","-118.597554","5.04"
"KLAX","29","2025-01-07T20:00","43","2025-01-07T20:00","Los Angeles International Airport","1 World Way, Los Angeles, CA 90045","90045","33.942387","-118.416062","12.5"
"KSMO","29","2025-01-07T20:00","43","2025-01-07T20:00","Santa Monica Muni","Santa Monica Municipal Airport, 3223 Donald Douglas Loop S, Santa Monica, CA 90405","90405","34.0158219","-118.4513061","7.56"
"KTOA","16","2025-01-07T22:00","35","2025-01-07T22:00","Zamperini Fld","Zamperini Field, 3301 Airport Drive, Torrance, CA 90505","90505","33.80338","-118.33961","22.82"
