"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCALOSAN1201","2025-01-07T00:00",53.1,0,0,53.1,0,0
"KCALOSAN1201","2025-01-07T00:15",53.6,1.1,1.1,52.9,0,0
"KCALOSAN1201","2025-01-07T00:30",54,0,0,53.2,0,0
"KCALOSAN1201","2025-01-07T00:45",53.6,0,0,52.5,0,0
"KCALOSAN1201","2025-01-07T01:00",52.2,1.6,2.2,52,0,0
"KCALOSAN1201","2025-01-07T01:15",52.9,0,0,52.9,0,0
"KCALOSAN1201","2025-01-07T01:30",50.5,0,0,50.5,0,0
"KCALOSAN1201","2025-01-07T01:45",51.1,0,0,50,0,0
"KCALOSAN1201","2025-01-07T02:00",50,0,0,48.4,0,0
"KCALOSAN1201","2025-01-07T02:15",50,0,0,49.1,0,0
"KCALOSAN1201","2025-01-07T02:30",48.9,0,0,48.4,0,0
"KCALOSAN1201","2025-01-07T02:45",48.9,0,0,48.2,0,0
"KCALOSAN1201","2025-01-07T03:00",48,0,0,47.5,0,0
"KCALOSAN1201","2025-01-07T03:15",47.8,0.5,1.1,47.3,0,0
"KCALOSAN1201","2025-01-07T03:30",47.3,0,0,47.1,0,0
"KCALOSAN1201","2025-01-07T03:45",47.7,0,0,46.8,0,0
"KCALOSAN1201","2025-01-07T04:00",46.9,0,0,46.8,0,0
"KCALOSAN1201","2025-01-07T04:15",46.6,0,0,46.2,0,0
"KCALOSAN1201","2025-01-07T04:30",46.4,0,0,46,0,0
"KCALOSAN1201","2025-01-07T04:45",46.2,0.5,1.1,46,0,0
"KCALOSAN1201","2025-01-07T05:00",46.2,0.7,1.1,45.9,0,0
"KCALOSAN1201","2025-01-07T05:15",46.2,0,0,46,0,0
"KCALOSAN1201","2025-01-07T05:30",46.2,0,0,46.2,0,0
"KCALOSAN1201","2025-01-07T05:45",46,0,0,45.9,0,0
"KCALOSAN1201","2025-01-07T06:00",46,0,0,45.5,0,0
"KCALOSAN1201","2025-01-07T06:15",46,0,0,45.5,0,0
"KCALOSAN1201","2025-01-07T06:30",57.9,4.7,5.8,57.7,3.6,5.8
"KCALOSAN1201","2025-01-07T06:45",61,6,9.2,61,6,9.2
"KCALOSAN1201","2025-01-07T07:00",61.7,5.4,9.2,61.2,3.1,3.4
"KCALOSAN1201","2025-01-07T07:15",60.4,2.7,3.4,57,0,0
"KCALOSAN1201","2025-01-07T07:30",60.4,5.8,6.9,55.2,0,0
"KCALOSAN1201","2025-01-07T07:45",62.1,5.6,6.9,61,2.2,3.4
"KCALOSAN1201","2025-01-07T08:00",64.4,11,15.9,62.8,3.8,5.8
"KCALOSAN1201","2025-01-07T08:15",64.6,8.1,12.5,64,4.3,5.8
"KCALOSAN1201","2025-01-07T08:30",64.8,10.7,12.5,64.4,4.5,5.8
"KCALOSAN1201","2025-01-07T08:45",64.8,9.6,11.4,64.6,6.3,9.2
"KCALOSAN1201","2025-01-07T09:00",64.9,11.2,19.5,64.8,4,5.8
"KCALOSAN1201","2025-01-07T09:15",65.1,14.3,18.3,64.9,4.5,5.8
"KCALOSAN1201","2025-01-07T09:30",65.8,13.2,19.5,65.7,8.1,10.3
"KCALOSAN1201","2025-01-07T09:45",65.7,7.6,10.3,65.5,4.5,8.1
"KCALOSAN1201","2025-01-07T10:00",65.8,17.7,22.8,65.5,8.1,10.3
"KCALOSAN1201","2025-01-07T10:15",65.8,20.6,26.2,65.5,6.5,9.2
"KCALOSAN1201","2025-01-07T10:30",66.2,14.3,15.9,65.7,6.5,8.1
"KCALOSAN1201","2025-01-07T10:45",66.2,12.8,15.9,65.7,6.3,8.1
"KCALOSAN1201","2025-01-07T11:00",68.2,15,21.7,67.5,6.7,11.4
"KCALOSAN1201","2025-01-07T11:15",68.2,15,21.7,67.5,6.7,11.4
"KCALOSAN1201","2025-01-07T11:30",67.8,11,17.2,67.5,2.7,3.4
"KCALOSAN1201","2025-01-07T11:45",69.4,9.8,12.5,68,4.5,5.8
"KCALOSAN1201","2025-01-07T12:00",69.4,10.5,15.9,69.1,3.6,5.8
"KCALOSAN1201","2025-01-07T12:15",70,17.5,25.1,69.8,6,6.9
"KCALOSAN1201","2025-01-07T12:30",70.9,11.4,18.3,70.9,6.5,8.1
"KCALOSAN1201","2025-01-07T12:45",71.1,13.7,17.2,70.3,4.7,5.8
"KCALOSAN1201","2025-01-07T13:00",71.8,7.4,9.2,71.6,3.8,4.5
"KCALOSAN1201","2025-01-07T13:15",72.1,6.7,8.1,72,3.8,5.8
"KCALOSAN1201","2025-01-07T13:30",72.7,10.1,12.5,72.1,3.8,5.8
"KCALOSAN1201","2025-01-07T13:45",72.7,13.2,17.2,72.1,3.8,5.8
"KCALOSAN1201","2025-01-07T14:00",73,15.2,22.8,71.6,3.8,5.8
"KCALOSAN1201","2025-01-07T14:15",71.8,9.6,13.7,71.2,5.4,5.8
"KCALOSAN1201","2025-01-07T14:30",72,9.6,14.8,71.6,3.4,4.5
"KCALOSAN1201","2025-01-07T14:45",72,15.7,20.6,71.2,6.5,9.2
"KCALOSAN1201","2025-01-07T15:00",71.8,14.8,20.6,71.2,5.8,10.3
