"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCASANTA4210","2025-01-07T00:00",53.1,0.7,1.1,52.7,0,0
"KCASANTA4210","2025-01-07T00:15",52.7,1.1,1.1,52.2,0,0
"KCASANTA4210","2025-01-07T00:30",53.1,1.8,2.2,52.2,0,0
"KCASANTA4210","2025-01-07T00:45",52.5,0.9,1.1,52.3,0,0
"KCASANTA4210","2025-01-07T01:00",52.3,2.5,3.4,52,0,0
"KCASANTA4210","2025-01-07T01:15",52.5,2,2.2,52.2,0,0
"KCASANTA4210","2025-01-07T01:30",53.1,2.5,3.4,52.2,0,0
"KCASANTA4210","2025-01-07T01:45",52.2,1.1,1.1,51.6,0,0
"KCASANTA4210","2025-01-07T02:00",52,1.3,2.2,51.4,0,0
"KCASANTA4210","2025-01-07T02:15",51.6,1.3,2.2,51.3,0,0
"KCASANTA4210","2025-01-07T02:30",51.6,0.9,1.1,50.5,0,0
"KCASANTA4210","2025-01-07T02:45",50.7,0,0,50.4,0,0
"KCASANTA4210","2025-01-07T03:00",50.4,0.2,1.1,50,0,0
"KCASANTA4210","2025-01-07T03:15",50.2,1.3,2.2,49.5,0,0
"KCASANTA4210","2025-01-07T03:30",50.4,1.1,1.1,49.3,0,0
"KCASANTA4210","2025-01-07T03:45",49.3,1.3,2.2,49.1,0,0
"KCASANTA4210","2025-01-07T04:00",49.5,1.1,1.1,48.9,0,0
"KCASANTA4210","2025-01-07T04:15",49.3,1.1,1.1,48.9,0,0
"KCASANTA4210","2025-01-07T04:30",49.3,2,2.2,48.7,0,0
"KCASANTA4210","2025-01-07T04:45",48.7,1.1,1.1,48.2,0,0
"KCASANTA4210","2025-01-07T05:00",48.7,2.2,2.2,48.2,0,0
"KCASANTA4210","2025-01-07T05:15",48.6,2,2.2,48.2,0,0
"KCASANTA4210","2025-01-07T05:30",48.6,0,0,48.2,0,0
"KCASANTA4210","2025-01-07T05:45",48.2,0.9,1.1,47.5,0,0
"KCASANTA4210","2025-01-07T06:00",48.4,1.1,1.1,47.8,0,0
"KCASANTA4210","2025-01-07T06:15",48.6,2.2,2.2,47.8,0,0
"KCASANTA4210","2025-01-07T06:30",59.9,6.9,9.2,48.4,0,0
"KCASANTA4210","2025-01-07T06:45",60.8,9.2,12.5,59.9,2.5,3.4
"KCASANTA4210","2025-01-07T07:00",61,8.1,11.4,60.4,1.3,2.2
"KCASANTA4210","2025-01-07T07:15",61.2,8.3,10.3,60.4,0.9,1.1
"KCASANTA4210","2025-01-07T07:30",61.5,9.4,12.5,60.4,1.1,1.1
"KCASANTA4210","2025-01-07T07:45",63.3,14.5,18.3,61.5,4.5,5.8
"KCASANTA4210","2025-01-07T08:00",64.2,17.9,26.2,63.5,4.5,5.8
"KCASANTA4210","2025-01-07T08:15",64.8,16.3,22.8,64.2,4,5.8
"KCASANTA4210","2025-01-07T08:30",64.8,17,21.7,63.9,2.9,4.5
"KCASANTA4210","2025-01-07T08:45",64,15.9,20.6,63.9,4.7,5.8
"KCASANTA4210","2025-01-07T09:00",64.6,16.8,23.9,64,4,6.9
"KCASANTA4210","2025-01-07T09:15",65.3,13.7,22.8,64.6,3.1,4.5
"KCASANTA4210","2025-01-07T09:30",65.3,16.6,21.7,64.9,5.8,6.9
"KCASANTA4210","2025-01-07T09:45",65.3,20.6,32,64.2,5.1,9.2
"KCASANTA4210","2025-01-07T10:00",64.6,24.2,32,64,7.6,10.3
"KCASANTA4210","2025-01-07T10:15",64.4,18.8,27.3,64,2.9,3.4
"KCASANTA4210","2025-01-07T10:30",65.8,17.5,20.6,64,3.4,4.5
"KCASANTA4210","2025-01-07T10:45",65.7,16.1,18.3,64.9,2.9,4.5
"KCASANTA4210","2025-01-07T11:00",66.6,12.3,17.2,65.3,1.1,2.2
