"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCASANTA4733","2025-01-07T00:00",54.3,,,54.3,,
"KCASANTA4733","2025-01-07T00:15",54.3,0,0,54.1,0,0
"KCASANTA4733","2025-01-07T00:30",54.1,0,0,53.7,0,0
"KCASANTA4733","2025-01-07T00:45",53.7,0,0,53.4,0,0
"KCASANTA4733","2025-01-07T01:00",53.4,0,0,53,0,0
"KCASANTA4733","2025-01-07T01:15",53,0,0,52.8,0,0
"KCASANTA4733","2025-01-07T01:30",52.8,0,0,52.5,0,0
"KCASANTA4733","2025-01-07T01:45",52.7,0,0,52.5,0,0
"KCASANTA4733","2025-01-07T02:00",52.7,0,0,52.1,0,0
"KCASANTA4733","2025-01-07T02:15",52.1,0,0,51.9,0,0
"KCASANTA4733","2025-01-07T02:30",52.3,0,0,51.9,0,0
"KCASANTA4733","2025-01-07T02:45",52.5,0,0,52.3,0,0
"KCASANTA4733","2025-01-07T03:00",52.3,0,0,52.1,0,0
"KCASANTA4733","2025-01-07T03:15",52.1,0,0,51.8,0,0
"KCASANTA4733","2025-01-07T03:30",51.9,0,0,50.9,0,0
"KCASANTA4733","2025-01-07T03:45",50.9,0,0,50.5,0,0
"KCASANTA4733","2025-01-07T04:00",50.5,0,0,50.1,0,0
"KCASANTA4733","2025-01-07T04:15",50.1,0,0,50,0,0
"KCASANTA4733","2025-01-07T04:30",50,0,0,49.6,0,0
"KCASANTA4733","2025-01-07T04:45",49.6,0,0,49.4,0,0
"KCASANTA4733","2025-01-07T05:00",49.8,0,0,49.4,0,0
"KCASANTA4733","2025-01-07T05:15",49.4,0,0,49.2,0,0
"KCASANTA4733","2025-01-07T05:30",49.2,0,0,49.2,0,0
"KCASANTA4733","2025-01-07T05:45",49.2,0,0,49.2,0,0
"KCASANTA4733","2025-01-07T06:00",49.2,0,0,48.7,0,0
"KCASANTA4733","2025-01-07T06:15",50,0,0,48.9,0,0
"KCASANTA4733","2025-01-07T06:30",52.5,0,0,50,0,0
"KCASANTA4733","2025-01-07T06:45",56.6,0,0,52.5,0,0
"KCASANTA4733","2025-01-07T07:00",57.7,0,0,56.8,0,0
"KCASANTA4733","2025-01-07T07:15",58.4,0,0,57.7,0,0
"KCASANTA4733","2025-01-07T07:30",59,0,0,58.4,0,0
"KCASANTA4733","2025-01-07T07:45",61.1,0,0,59,0,0
"KCASANTA4733","2025-01-07T08:00",62.2,0,0,61.1,0,0
"KCASANTA4733","2025-01-07T08:15",62.7,0,0,62.2,0,0
"KCASANTA4733","2025-01-07T08:30",63.1,0,0,62.7,0,0
"KCASANTA4733","2025-01-07T08:45",63.1,0,0,62.9,0,0
"KCASANTA4733","2025-01-07T09:00",63.6,0,0,63.1,0,0
"KCASANTA4733","2025-01-07T09:15",65.4,0,0,63.6,0,0
"KCASANTA4733","2025-01-07T09:30",67.4,0,0,65.4,0,0
"KCASANTA4733","2025-01-07T09:45",67.6,0,0,65.1,0,0
"KCASANTA4733","2025-01-07T10:00",66.5,0,0,64.5,0,0
"KCASANTA4733","2025-01-07T10:15",64.5,0,0,63.8,0,0
"KCASANTA4733","2025-01-07T10:30",65.3,0,0,63.8,0,0
"KCASANTA4733","2025-01-07T10:45",65.3,0,0,64.7,0,0
"KCASANTA4733","2025-01-07T11:00",65.4,0,0,64.7,0,0
"KCASANTA4733","2025-01-07T11:15",66.3,0,0,65.4,0,0
"KCASANTA4733","2025-01-07T11:30",66.9,0,0,66.3,0,0
"KCASANTA4733","2025-01-07T11:45",67.4,0,0,66.7,0,0
"KCASANTA4733","2025-01-07T12:00",68.1,0,0,67.4,0,0
"KCASANTA4733","2025-01-07T12:15",68.7,0,0,68.1,0,0
"KCASANTA4733","2025-01-07T12:30",68.9,0,0,68.5,0,0
"KCASANTA4733","2025-01-07T12:45",69.4,0,0,68.9,0,0
"KCASANTA4733","2025-01-07T13:00",69.8,0,0,69.4,0,0
"KCASANTA4733","2025-01-07T13:15",70.7,0,0,69.8,0,0
"KCASANTA4733","2025-01-07T13:30",70.7,0,0,70.3,0,0
"KCASANTA4733","2025-01-07T13:45",70.3,0,0,70.1,0,0
"KCASANTA4733","2025-01-07T14:00",70.1,0,0,69.8,0,0
"KCASANTA4733","2025-01-07T14:15",70.1,0,0,69.8,0,0
"KCASANTA4733","2025-01-07T14:30",69.9,0,0,69.4,0,0
"KCASANTA4733","2025-01-07T14:45",69.8,0,0,69.4,0,0
"KCASANTA4733","2025-01-07T15:00",69.8,0,0,69.8,0,0
"KCASANTA4733","2025-01-07T15:15",69.8,0,0,69,0,0
"KCASANTA4733","2025-01-07T15:30",69,0,0,69,0,0
"KCASANTA4733","2025-01-07T15:45",69,0,0,68.5,0,0
"KCASANTA4733","2025-01-07T16:00",68.5,0,0,68.1,0,0
"KCASANTA4733","2025-01-07T16:15",68.1,0,0,67.4,0,0
"KCASANTA4733","2025-01-07T16:30",67.4,0,0,67.1,0,0
"KCASANTA4733","2025-01-07T16:45",67.1,0,0,66.5,0,0
"KCASANTA4733","2025-01-07T17:00",66.5,0,0,66.3,0,0
"KCASANTA4733","2025-01-07T17:15",66.3,0,0,66.2,0,0
"KCASANTA4733","2025-01-07T17:30",66.2,0,0,65.6,0,0
"KCASANTA4733","2025-01-07T17:45",65.6,0,0,65.3,0,0
"KCASANTA4733","2025-01-07T18:00",65.4,0,0,65.1,0,0
"KCASANTA4733","2025-01-07T18:15",65.4,0,0,65.3,0,0
"KCASANTA4733","2025-01-07T18:30",65.3,0,0,65.1,0,0
"KCASANTA4733","2025-01-07T18:45",65.3,0,0,65.1,0,0
"KCASANTA4733","2025-01-07T19:00",65.3,0,0,65.1,0,0
"KCASANTA4733","2025-01-07T19:15",65.1,0,0,64.9,0,0
"KCASANTA4733","2025-01-07T19:30",64.9,0,0,64.5,0,0
"KCASANTA4733","2025-01-07T19:45",64.5,0,0,64.4,0,0
"KCASANTA4733","2025-01-07T20:00",64.5,0,0,64,0,0
"KCASANTA4733","2025-01-07T20:15",64,0,0,63.8,0,0
"KCASANTA4733","2025-01-07T20:30",63.8,0,0,63.5,0,0
"KCASANTA4733","2025-01-07T20:45",63.5,0,0,63.5,0,0
"KCASANTA4733","2025-01-07T21:00",63.6,0,0,63.5,0,0
"KCASANTA4733","2025-01-07T21:15",63.5,0,0,63.3,0,0
"KCASANTA4733","2025-01-07T21:30",63.5,0,0,63.1,0,0
"KCASANTA4733","2025-01-07T21:45",63.1,0,0,62.7,0,0
"KCASANTA4733","2025-01-07T22:00",62.7,0,0,62.6,0,0
"KCASANTA4733","2025-01-07T22:15",62.6,0,0,62.4,0,0
"KCASANTA4733","2025-01-07T22:30",62.4,0,0,62.4,0,0
"KCASANTA4733","2025-01-07T22:45",62.4,0,0,62.2,0,0
"KCASANTA4733","2025-01-07T23:00",62.2,0,0,61.8,0,0
"KCASANTA4733","2025-01-07T23:15",62,0,0,61.7,0,0
"KCASANTA4733","2025-01-07T23:30",61.8,0,0,61.5,0,0
"KCASANTA4733","2025-01-07T23:45",61.5,0,0,61.1,0,0
"KCASANTA4733","2025-01-08T00:00",61.1,0,0,60.9,0,0
"KCASANTA4733","2025-01-08T00:15",61.1,0,0,60.9,0,0
"KCASANTA4733","2025-01-08T00:30",61.1,0,0,60.9,0,0
"KCASANTA4733","2025-01-08T00:45",61.1,0,0,60.9,0,0
