"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCATOPAN55","2025-01-07T00:00",55.9,6.5,11.4,55.8,2.7,8.9
"KCATOPAN55","2025-01-07T00:15",55.8,5.4,11.6,55.6,3.8,6.9
"KCATOPAN55","2025-01-07T00:30",55.6,6.3,9.6,55.4,2.9,5.4
"KCATOPAN55","2025-01-07T00:45",55.4,6.7,9.6,55,4.3,6.7
"KCATOPAN55","2025-01-07T01:00",54.9,7.2,11.4,54.7,4.7,7.6
"KCATOPAN55","2025-01-07T01:15",54.5,5.8,9.8,54.3,1.1,2.2
"KCATOPAN55","2025-01-07T01:30",54.5,6.3,11.6,54.3,4.3,6.5
"KCATOPAN55","2025-01-07T01:45",54.5,6.9,10.1,54.3,3.4,5.8
"KCATOPAN55","2025-01-07T02:00",54.7,8.1,14.5,54.5,5.4,11
"KCATOPAN55","2025-01-07T02:15",54.3,8.5,13.6,54,6.5,10.1
"KCATOPAN55","2025-01-07T02:30",53.8,10.3,15,53.8,5.1,9.2
"KCATOPAN55","2025-01-07T02:45",54,9.4,13.6,54,6.7,9.8
"KCATOPAN55","2025-01-07T03:00",54,6.9,12.1,53.8,6.5,10.5
"KCATOPAN55","2025-01-07T03:15",54,7.2,10.7,53.8,6.7,9.6
"KCATOPAN55","2025-01-07T03:30",54.9,13.6,19.5,54.1,9.4,13.4
"KCATOPAN55","2025-01-07T03:45",55,15.9,22.6,55,11.2,16.3
"KCATOPAN55","2025-01-07T04:00",55,12.1,17.9,55,9.2,15
"KCATOPAN55","2025-01-07T04:15",55.4,17.7,25.1,55,14.1,21.9
"KCATOPAN55","2025-01-07T04:30",55.8,15.4,22.4,55.6,14.1,19.5
"KCATOPAN55","2025-01-07T04:45",55.6,17.4,27.1,55.6,12.5,19.9
"KCATOPAN55","2025-01-07T05:00",55.8,16.8,23.9,55.6,11.6,17.4
"KCATOPAN55","2025-01-07T05:15",55.4,18.1,24.4,55.4,13.9,20.1
"KCATOPAN55","2025-01-07T05:30",55.4,17,24.4,55.4,14.1,17.9
