"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCAWOODL8","2025-01-07T00:00",57.6,0,0,57.6,0,0
"KCAWOODL8","2025-01-07T00:15",57.6,0,0,57.4,0,0
"KCAWOODL8","2025-01-07T00:30",57.6,0,0,56.7,0,0
"KCAWOODL8","2025-01-07T00:45",56.7,4.9,5,55.8,0,0
"KCAWOODL8","2025-01-07T01:00",56.3,2.9,4,55.9,0,0
"KCAWOODL8","2025-01-07T01:15",56.1,0,1,55.6,0,0
"KCAWOODL8","2025-01-07T01:30",55.6,0,0,55,0,0
"KCAWOODL8","2025-01-07T01:45",55,0,0,55,0,0
"KCAWOODL8","2025-01-07T02:00",55,4.9,6,54.9,0,0
"KCAWOODL8","2025-01-07T02:15",54.9,6,6,54.7,0,0
"KCAWOODL8","2025-01-07T02:30",55.2,4,4,54.7,0,0
"KCAWOODL8","2025-01-07T02:45",56.1,4,5,55.2,0,0
"KCAWOODL8","2025-01-07T03:00",56.1,6.9,7,55.6,0,0
"KCAWOODL8","2025-01-07T03:15",55.6,6.9,7,55.4,0,0
"KCAWOODL8","2025-01-07T03:30",57.2,14.1,14,55.6,0,2
"KCAWOODL8","2025-01-07T03:45",58.3,15,18,57.2,0,7
"KCAWOODL8","2025-01-07T04:00",58.5,15,15,58.3,0,9
"KCAWOODL8","2025-01-07T04:15",58.5,13,17,58.1,0,4
"KCAWOODL8","2025-01-07T04:30",58.3,15,15,58.1,0,3
"KCAWOODL8","2025-01-07T04:45",58.6,17,17,58.1,0,4
"KCAWOODL8","2025-01-07T05:00",59,16.1,17,58.6,0,6
"KCAWOODL8","2025-01-07T05:15",59,13,17,58.6,0,1
"KCAWOODL8","2025-01-07T05:30",58.6,13,15,58.6,0,4
"KCAWOODL8","2025-01-07T05:45",58.6,19,19,58.5,0,3
"KCAWOODL8","2025-01-07T06:00",58.5,6.9,12,58.1,0,0
"KCAWOODL8","2025-01-07T06:15",58.1,6,6,57.2,0,0
"KCAWOODL8","2025-01-07T06:30",57.2,11,11,56.8,0,1
"KCAWOODL8","2025-01-07T06:45",56.8,15,15,56.8,0,1
"KCAWOODL8","2025-01-07T07:00",57.6,16.1,18,56.8,0,6
"KCAWOODL8","2025-01-07T07:15",57.6,14.1,21,57.6,0,1
"KCAWOODL8","2025-01-07T07:30",58.1,16.1,18,57.6,0,11
"KCAWOODL8","2025-01-07T07:45",59,34,34,58.1,0,3
"KCAWOODL8","2025-01-07T08:00",59.5,23,23,59,0,2
"KCAWOODL8","2025-01-07T08:15",59.9,25.9,26,59.5,0,7
"KCAWOODL8","2025-01-07T08:30",59.9,19.9,26,59.2,0,8
"KCAWOODL8","2025-01-07T08:45",59.2,16.1,20,58.6,0,7
"KCAWOODL8","2025-01-07T09:00",59.5,16.1,21,58.6,0,7
"KCAWOODL8","2025-01-07T09:15",60.1,28,28,59.5,0,5
"KCAWOODL8","2025-01-07T09:30",59.7,23,27,59.4,0,11
"KCAWOODL8","2025-01-07T09:45",59.5,25.1,33,59.4,0,7
"KCAWOODL8","2025-01-07T10:00",59.9,21.9,26,59.5,0,6
"KCAWOODL8","2025-01-07T10:15",61,28,29,60.1,0,6
"KCAWOODL8","2025-01-07T10:30",61.5,28,28,61,0,6
"KCAWOODL8","2025-01-07T10:45",61.3,23,29,61,0,14
"KCAWOODL8","2025-01-07T11:00",62.1,19.9,20,61,0,13
"KCAWOODL8","2025-01-07T11:15",62.6,25.9,26,62.1,0,13
"KCAWOODL8","2025-01-07T11:30",63,23.9,25,62.4,0,17
"KCAWOODL8","2025-01-07T11:45",63,23.9,24,62.6,0.9,15
"KCAWOODL8","2025-01-07T12:00",63.1,19.9,21,62.6,0,13
"KCAWOODL8","2025-01-07T12:15",63.9,23,23,63.1,0,12
"KCAWOODL8","2025-01-07T12:30",64.2,23,23,63.9,0,7
"KCAWOODL8","2025-01-07T12:45",64.2,19,22,64.2,0,5
"KCAWOODL8","2025-01-07T13:00",64.6,13,15,64.2,0,5
"KCAWOODL8","2025-01-07T13:15",64.8,15,19,64.6,0,9
"KCAWOODL8","2025-01-07T13:30",64.6,21.9,22,64.6,0,3
"KCAWOODL8","2025-01-07T13:45",64.8,23.9,24,64.6,0,9
"KCAWOODL8","2025-01-07T14:00",64.8,17,24,64.2,0,6
"KCAWOODL8","2025-01-07T14:15",64.2,25.9,26,64.2,0,7
"KCAWOODL8","2025-01-07T14:30",64.2,17.9,23,64,0,9
"KCAWOODL8","2025-01-07T14:45",64.2,23,23,64,0,14
"KCAWOODL8","2025-01-07T15:00",64.2,19.9,23,64.2,0,13
"KCAWOODL8","2025-01-07T15:15",64.2,16.1,22,64,0,12
"KCAWOODL8","2025-01-07T15:30",64,23.9,24,63.7,0,12
"KCAWOODL8","2025-01-07T15:45",63.7,21,25,63.3,0,7
"KCAWOODL8","2025-01-07T16:00",63.3,21.9,24,63.1,0.9,11
"KCAWOODL8","2025-01-07T16:15",63.1,23.9,27,63,0.9,7
"KCAWOODL8","2025-01-07T16:30",63,21,24,62.8,0.9,11
"KCAWOODL8","2025-01-07T16:45",62.8,28,28,62.4,0,13
"KCAWOODL8","2025-01-07T17:00",62.4,21.9,22,62.1,0,12
"KCAWOODL8","2025-01-07T17:15",62.1,21,22,61.5,0,5
"KCAWOODL8","2025-01-07T17:30",61.5,21.9,22,61.5,0,14
"KCAWOODL8","2025-01-07T17:45",61.5,27.1,28,61.3,0,15
"KCAWOODL8","2025-01-07T18:00",61.5,21.9,25,61.2,0,10
"KCAWOODL8","2025-01-07T18:15",61.2,23.9,25,61,0,7
"KCAWOODL8","2025-01-07T18:30",61.5,36,36,61,2,15
"KCAWOODL8","2025-01-07T18:45",61.5,31.1,32,61.5,2.9,23
