Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KCALOSAN364","2025-01-07T00:00","53.8","53.6","1.1","0","2.2","1.1","3","0","50.2","87.5","30.01","none","9.07","11.19","4.35","-24.00","-23.80","",""
"KCALOSAN364","2025-01-07T00:15","53.8","53.6","1.1","0","2.2","1.1","3","0","50.2","87.5","30.01","none","9.07","11.19","4.35","-24.00","-25.80","",""
"KCALOSAN364","2025-01-07T00:30","53.8","53.6","0.9","0","1.1","0","0","0","50.4","89","30","none","9.07","11.19","4.35","-24.20","-26.90","",""
"KCALOSAN364","2025-01-07T00:45","53.4","52.7","0","0","0","0","340","0","50","90","29.99","none","9.07","11.19","4.35","-23.90","-26.00","",""
"KCALOSAN364","2025-01-07T01:00","53.4","52.5","0","0","1.1","0","13","0","50.1","90.8","29.98","none","9.07","11.19","4.35","-28.00","-28.90","-3.00","1.10"
"KCALOSAN364","2025-01-07T01:15","52.2","52.2","0","0","0","0","344","0","49.9","92","30","none","9.07","11.19","4.35","-27.10","-32.00","-3.00","0.00"
"KCALOSAN364","2025-01-07T01:30","51.8","51.8","0","0","0","0","352","0","49.5","92","29.99","none","9.07","11.19","4.35","-33.10","-34.00","-3.00","0.00"
"KCALOSAN364","2025-01-07T01:45","51.4","51.3","0","0","0","0","350","0","49.1","92","29.99","none","9.07","11.19","4.35","-30.00","-34.00","-3.00","0.00"
"KCALOSAN364","2025-01-07T02:00","51.6","51.1","0","0","0","0","0","0","49.1","93","29.99","none","9.07","11.19","4.35","-34.00","-36.00","0.00","0.00"
"KCALOSAN364","2025-01-07T02:15","50.7","50.7","0","0","0","0","348","0","48.8","93","29.99","none","9.07","11.19","4.35","-36.90","-41.00","0.00","0.00"
"KCALOSAN364","2025-01-07T02:30","50.9","50.7","0.7","0","1.1","0","0","0","48.8","93","29.99","none","9.07","11.19","4.35","-36.20","-38.90","0.70","1.10"
"KCALOSAN364","2025-01-07T02:45","50.5","50.4","0","0","0","0","5","0","48.5","93","29.99","none","9.07","11.19","4.35","-38.90","-41.00","0.00","0.00"
"KCALOSAN364","2025-01-07T03:00","50","49.5","0","0","0","0","348","0","47.8","94","29.98","none","9.07","11.19","4.35","-40.00","-40.00","0.00","0.00"
"KCALOSAN364","2025-01-07T03:15","49.5","48.4","0","0","0","0","0","0","46.8","93","29.97","none","9.07","11.19","4.35","-38.90","-44.00","0.00","0.00"
"KCALOSAN364","2025-01-07T03:30","49.3","48.6","0","0","0","0","2","0","47.3","94","29.98","none","9.07","11.19","4.35","-40.90","-45.00","0.00","0.00"
"KCALOSAN364","2025-01-07T03:45","49.3","49.3","0","0","1.1","0","346","0","47.6","94","29.97","none","9.07","11.19","4.35","-38.00","-44.90","0.00","1.10"
"KCALOSAN364","2025-01-07T04:00","49.3","49.1","0","0","0","0","348","0","47.2","93","29.98","none","9.07","11.19","4.35","-38.90","-47.00","-3.00","0.00"
"KCALOSAN364","2025-01-07T04:15","49.5","49.5","0","0","0","0","328","0","47.6","93","29.98","none","9.07","11.19","4.35","-43.00","-47.00","-3.00","0.00"
"KCALOSAN364","2025-01-07T04:30","48.9","48.2","0","0","0","0","3","0","46","92","29.98","none","9.07","11.19","4.35","-40.90","-47.00","-3.00","0.00"
"KCALOSAN364","2025-01-07T04:45","47.7","47.1","0.5","0","1.1","0","64","0","44.9","92","29.98","none","9.07","11.19","4.35","-47.60","-49.90","-2.50","1.10"
"KCALOSAN364","2025-01-07T05:00","47.7","47.1","0","0","0","0","347","0","45","92","29.98","none","9.07","11.19","4.35","-50.10","-51.00","0.00","0.00"
"KCALOSAN364","2025-01-07T05:15","48","47.3","1.3","0","2.2","0","27","0","45.1","92","29.99","none","9.07","11.19","4.35","-42.80","-53.80","1.30","2.20"
"KCALOSAN364","2025-01-07T05:30","47.7","47.1","0","0","0","0","347","0","45","92","29.98","none","9.07","11.19","4.35","-43.00","-47.00","0.00","0.00"
"KCALOSAN364","2025-01-07T05:45","47.8","47.3","0","0","0","0","335","0","45.1","92","29.98","none","9.07","11.19","4.35","-47.00","-49.00","0.00","0.00"
"KCALOSAN364","2025-01-07T06:00","48.4","47.7","0","0","0","0","336","0","45.5","92","29.98","none","9.07","11.19","4.35","-44.10","-49.00","0.00","0.00"
"KCALOSAN364","2025-01-07T06:15","50.5","50.5","0","0","2.2","2.2","340","0","44.9","81","29.98","none","9.07","11.19","4.35","-44.10","-47.80","0.00","2.20"
