Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KCASANTA4733","2025-01-07T00:00","54.3","54.3","","","","","0","0","41.4","61.7","29.98","none","6.12","8.29","7.05","NaN","NaN","",""
"KCASANTA4733","2025-01-07T00:15","54.3","54.1","0","0","0","0","0","0","41.6","62.3","29.98","none","6.12","8.29","7.05","-25.10","-28.00","",""
"KCASANTA4733","2025-01-07T00:30","54.1","53.7","0","0","0","0","0","0","42.4","64.6","29.97","none","6.12","8.29","7.05","-25.10","-28.00","",""
"KCASANTA4733","2025-01-07T00:45","53.7","53.4","0","0","0","0","0","0","42.6","66","29.97","none","6.12","8.29","7.05","-23.90","-26.00","",""
"KCASANTA4733","2025-01-07T01:00","53.4","53","0","0","0","0","0","0","43.1","68.1","29.96","none","6.12","8.29","7.05","-28.00","-30.00","-3.00","0.00"
"KCASANTA4733","2025-01-07T01:15","53","52.8","0","0","0","0","0","0","43","69","29.97","none","6.12","8.29","7.05","-27.10","-32.00","-3.00","0.00"
"KCASANTA4733","2025-01-07T01:30","52.8","52.5","0","0","0","0","0","0","43.2","70","29.96","none","6.12","8.29","7.05","-33.10","-34.00","-3.00","0.00"
"KCASANTA4733","2025-01-07T01:45","52.7","52.5","0","0","0","0","0","0","43.4","71","29.96","none","6.12","8.29","7.05","-30.00","-34.00","-3.00","0.00"
"KCASANTA4733","2025-01-07T02:00","52.7","52.1","0","0","0","0","0","0","43.4","72","29.95","none","6.12","8.29","7.05","-34.00","-36.00","0.00","0.00"
"KCASANTA4733","2025-01-07T02:15","52.1","51.9","0","0","0","0","0","0","43.6","73","29.96","none","6.12","8.29","7.05","-36.90","-41.00","0.00","0.00"
"KCASANTA4733","2025-01-07T02:30","52.3","51.9","0","0","0","0","0","0","43.5","73","29.96","none","6.12","8.29","7.05","-36.90","-40.00","0.00","0.00"
"KCASANTA4733","2025-01-07T02:45","52.5","52.3","0","0","0","0","0","0","44.3","74","29.95","none","6.12","8.29","7.05","-38.90","-41.00","0.00","0.00"
"KCASANTA4733","2025-01-07T03:00","52.3","52.1","0","0","0","0","0","0","44.4","74.4","29.95","none","6.12","8.29","7.05","-40.00","-40.00","0.00","0.00"
"KCASANTA4733","2025-01-07T03:15","52.1","51.8","0","0","0","0","0","0","43.8","74","29.94","none","6.12","8.29","7.05","-38.90","-44.00","0.00","0.00"
"KCASANTA4733","2025-01-07T03:30","51.9","50.9","0","0","0","0","0","0","43.6","74.3","29.94","none","6.12","8.29","7.05","-40.90","-45.00","0.00","0.00"
"KCASANTA4733","2025-01-07T03:45","50.9","50.5","0","0","0","0","0","0","42.9","75","29.94","none","6.12","8.29","7.05","-38.00","-46.00","0.00","0.00"
"KCASANTA4733","2025-01-07T04:00","50.5","50.1","0","0","0","0","0","0","42.8","75","29.95","none","6.12","8.29","7.05","-38.90","-47.00","-3.00","0.00"
"KCASANTA4733","2025-01-07T04:15","50.1","50","0","0","0","0","0","0","42.7","75.9","29.95","none","6.12","8.29","7.05","-43.00","-47.00","-3.00","0.00"
"KCASANTA4733","2025-01-07T04:30","50","49.6","0","0","0","0","0","0","42.3","76","29.95","none","6.12","8.29","7.05","-40.90","-47.00","-3.00","0.00"
"KCASANTA4733","2025-01-07T04:45","49.6","49.4","0","0","0","0","0","0","42.2","76","29.95","none","6.12","8.29","7.05","-48.10","-51.00","-3.00","0.00"
"KCASANTA4733","2025-01-07T05:00","49.8","49.4","0","0","0","0","0","0","42.5","76.5","29.95","none","6.12","8.29","7.05","-50.10","-51.00","0.00","0.00"
"KCASANTA4733","2025-01-07T05:15","49.4","49.2","0","0","0","0","0","0","42.3","77","29.96","none","6.12","8.29","7.05","-44.10","-56.00","0.00","0.00"
"KCASANTA4733","2025-01-07T05:30","49.2","49.2","0","0","0","0","0","0","42.3","77","29.96","none","6.12","8.29","7.05","-43.00","-47.00","0.00","0.00"
"KCASANTA4733","2025-01-07T05:45","49.2","49.2","0","0","0","0","0","0","42.3","77","29.95","none","6.12","8.29","7.05","-47.00","-49.00","0.00","0.00"
"KCASANTA4733","2025-01-07T06:00","49.2","48.7","0","0","0","0","0","0","41.9","76.1","29.95","none","6.12","8.29","7.05","-44.10","-49.00","0.00","0.00"
