Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KCATOPAN40","2025-01-07T00:00","57","57","1.1","0","2.2","0","251","0","39","51","29.96","none","3.31","1.19","15.88","-24.00","-23.80","",""
"KCATOPAN40","2025-01-07T00:15","57","56.8","3.8","0","5.8","0","283","0","38.8","51","29.96","none","3.31","1.19","15.88","-21.30","-22.20","",""
"KCATOPAN40","2025-01-07T00:30","56.8","55.6","0.9","0","2.2","0","247","0","38.9","51.8","29.96","none","3.31","1.19","15.88","-24.20","-25.80","",""
"KCATOPAN40","2025-01-07T00:45","55.6","54.1","1.8","0","2.2","0","248","0","38.6","54","29.95","none","3.31","1.19","15.88","-22.10","-23.80","",""
"KCATOPAN40","2025-01-07T01:00","56.1","54.7","5.1","0.2","9.2","1.1","313","0","38.3","52.1","29.95","none","3.31","1.19","15.88","-22.90","-20.80","2.10","9.20"
"KCATOPAN40","2025-01-07T01:15","56.3","55.9","2.9","0","4.5","0","279","0","38.8","51.9","29.95","none","3.31","1.19","15.88","-24.20","-27.50","-0.10","4.50"
"KCATOPAN40","2025-01-07T01:30","55.8","55","2.2","0","3.4","0","154","0","38.3","52.2","29.95","none","3.31","1.19","15.88","-30.90","-30.60","-0.80","3.40"
"KCATOPAN40","2025-01-07T01:45","55.8","55.4","2.2","0","3.4","0","9","0","38.2","52","29.95","none","3.31","1.19","15.88","-27.80","-30.60","-0.80","3.40"
"KCATOPAN40","2025-01-07T02:00","55.6","55.4","5.1","0","8.1","0","41","0","37.8","51","29.95","none","3.31","1.19","15.88","-28.90","-27.90","5.10","8.10"
"KCATOPAN40","2025-01-07T02:15","55.6","55.2","3.4","0","5.8","0","333","0","37.5","51","29.95","none","3.31","1.19","15.88","-33.50","-35.20","3.40","5.80"
"KCATOPAN40","2025-01-07T02:30","55.4","54.7","3.4","0","5.8","0","247","0","37.2","51","29.95","none","3.31","1.19","15.88","-33.50","-34.20","3.40","5.80"
"KCATOPAN40","2025-01-07T02:45","55.9","55.2","6","0","11.4","0","316","0","36.6","48.8","29.96","none","3.31","1.19","15.88","-32.90","-29.60","6.00","11.40"
"KCATOPAN40","2025-01-07T03:00","55.9","55.4","3.8","0","6.9","0","3","0","36.3","48.3","29.95","none","3.31","1.19","15.88","-36.20","-33.10","3.80","6.90"
"KCATOPAN40","2025-01-07T03:15","55.9","55.4","7.6","0.2","10.3","1.1","12","0","35.6","46.4","29.95","none","3.31","1.19","15.88","-31.30","-33.70","7.60","10.30"
"KCATOPAN40","2025-01-07T03:30","56.7","55.9","10.1","0.4","13.6","1.1","6","0","35.2","45","29.94","none","3.31","1.19","15.88","-30.80","-31.40","10.10","13.60"
"KCATOPAN40","2025-01-07T03:45","57.2","56.7","6.9","0.9","12.5","1.1","3","0","35.5","44.3","29.95","none","3.31","1.19","15.88","-31.10","-33.50","6.90","12.50"
"KCATOPAN40","2025-01-07T04:00","57.2","57","11.6","0.9","17.2","2.2","4","0","35.5","44","29.95","none","3.31","1.19","15.88","-27.30","-29.80","8.60","17.20"
"KCATOPAN40","2025-01-07T04:15","57.2","57","7.4","0.9","11.4","2.2","0","0","35.5","44.1","29.96","none","3.31","1.19","15.88","-35.60","-35.60","4.40","11.40"
"KCATOPAN40","2025-01-07T04:30","57","56.7","6","0.9","9.2","2.2","9","0","36.1","45.8","29.96","none","3.31","1.19","15.88","-34.90","-37.80","3.00","9.20"
"KCATOPAN40","2025-01-07T04:45","57.7","56.8","9.2","1.8","15.9","3.4","1","0","36.6","46","29.96","none","3.31","1.19","15.88","-38.90","-35.10","6.20","15.90"
"KCATOPAN40","2025-01-07T05:00","57.9","57.4","9.2","1.3","13.6","2.2","32","0","37.2","46","29.97","none","3.31","1.19","15.88","-40.90","-37.40","9.20","13.60"
"KCATOPAN40","2025-01-07T05:15","57.6","57.2","6","1.1","9.2","1.1","240","0","37.8","47.6","29.97","none","3.31","1.19","15.88","-38.10","-46.80","6.00","9.20"
"KCATOPAN40","2025-01-07T05:30","57.2","56.8","6.5","0.2","8.1","1.1","302","0","37.8","48.2","29.97","none","3.31","1.19","15.88","-36.50","-38.90","6.50","8.10"
"KCATOPAN40","2025-01-07T05:45","57","56.8","5.8","0","8.1","0","322","0","37.5","48","29.97","none","3.31","1.19","15.88","-41.20","-40.90","5.80","8.10"
"KCATOPAN40","2025-01-07T06:00","57","56.7","6.7","1.3","11.4","2.2","322","0","37.7","48.2","29.98","none","3.31","1.19","15.88","-37.40","-37.60","6.70","11.40"
"KCATOPAN40","2025-01-07T06:15","56.8","56.3","6.3","0.4","9.2","1.1","284","0","37.9","49.1","29.98","none","3.31","1.19","15.88","-37.80","-40.80","6.30","9.20"
"KCATOPAN40","2025-01-07T06:30","56.3","55.8","5.4","0.2","9.2","1.1","293","0","38.1","51","29.98","none","3.31","1.19","15.88","-39.60","-40.80","5.40","9.20"
"KCATOPAN40","2025-01-07T06:45","56.1","55.8","6.9","0.9","11.4","2.2","4","0","38.1","51","29.98","none","3.31","1.19","15.88","-32.00","-34.60","6.90","11.40"
"KCATOPAN40","2025-01-07T07:00","56.3","55.9","8.5","1.6","12.5","3.4","315","0","38.2","50.7","29.98","none","3.31","1.19","15.88","-25.50","-30.50","3.50","12.50"
"KCATOPAN40","2025-01-07T07:15","56.7","56.3","7.8","0.7","11.4","1.1","324","0","37.9","49.3","29.99","none","3.31","1.19","15.88","-28.20","-37.60","2.80","11.40"
"KCATOPAN40","2025-01-07T07:30","57","56.5","7.6","0.9","12.5","2.2","317","0","37.2","47.9","29.99","none","3.31","1.19","15.88","-36.50","-40.50","2.60","12.50"
"KCATOPAN40","2025-01-07T07:45","57","56.8","15.4","1.3","21.7","2.2","318","0","37","47.1","29.99","none","3.31","1.19","15.88","-36.50","-33.30","10.40","21.70"
"KCATOPAN40","2025-01-07T08:00","57.4","57","13.6","2","20.6","3.4","1","0","36.8","46","30.01","none","3.31","1.19","15.88","-40.30","-36.40","13.60","20.60"
"KCATOPAN40","2025-01-07T08:15","57.4","57.2","11.9","0.9","15.9","3.4","13","0","36.8","46","30.02","none","3.31","1.19","15.88","-42.00","-46.10","11.90","15.90"
"KCATOPAN40","2025-01-07T08:30","57.4","57","11.9","1.8","17.2","2.2","16","0","36.4","45.1","30.03","none","3.31","1.19","15.88","-45.10","-49.80","11.90","17.20"
"KCATOPAN40","2025-01-07T08:45","57","56.7","12.3","1.8","20.6","2.2","8","0","36.7","46.7","30.04","none","3.31","1.19","15.88","-44.70","-45.40","12.30","20.60"
"KCATOPAN40","2025-01-07T09:00","57","56.8","11","2.7","21.7","3.4","3","0","36.7","46.6","30.04","none","3.31","1.19","15.88","-37.10","-39.30","8.00","21.70"
"KCATOPAN40","2025-01-07T09:15","57.2","57","11","2.2","20.6","2.2","2","0","36.8","46.6","30.04","none","3.31","1.19","15.88","-44.90","-42.40","8.00","20.60"
"KCATOPAN40","2025-01-07T09:30","57","56.7","10.3","3.1","18.3","5.8","32","0","36.9","47","30.06","none","3.31","1.19","15.88","-44.70","-45.70","7.30","18.30"
"KCATOPAN40","2025-01-07T09:45","57","56.3","12.1","1.8","15.9","3.4","34","0","37.2","47.9","30.06","none","3.31","1.19","15.88","-53.90","-56.10","9.10","15.90"
"KCATOPAN40","2025-01-07T10:00","57.7","56.8","10.3","1.3","20.6","2.2","1","0","37","46.2","30.06","none","3.31","1.19","15.88","-50.80","-46.40","7.30","20.60"
"KCATOPAN40","2025-01-07T10:15","58.3","57.7","11.6","1.8","15.9","3.4","43","0","36.6","44.4","30.05","none","3.31","1.19","15.88","-48.40","-51.10","8.60","15.90"
"KCATOPAN40","2025-01-07T10:30","59.2","58.3","11.2","2.2","20.6","3.4","15","0","36.3","42.7","30.05","none","3.31","1.19","15.88","-46.70","-43.40","8.20","20.60"
"KCATOPAN40","2025-01-07T10:45","59.5","59.2","13.2","2","18.3","2.2","343","0","35.6","40.7","30.04","none","3.31","1.19","15.88","-37.80","-44.70","10.20","18.30"
"KCATOPAN40","2025-01-07T11:00","59.9","59","13","2.5","18.3","4.5","10","0","35.1","40","30.03","none","3.31","1.19","15.88","-37.10","-37.70","3.00","18.30"
"KCATOPAN40","2025-01-07T11:15","61","59.9","11","1.8","18.3","3.4","7","0","34.9","37.9","30.02","none","3.31","1.19","15.88","-35.10","-35.70","1.00","18.30"
"KCATOPAN40","2025-01-07T11:30","61","60.6","17.4","2.5","28.6","3.4","8","0","34.3","36.9","30.01","none","3.31","1.19","15.88","-37.60","-29.40","7.40","28.60"
"KCATOPAN40","2025-01-07T11:45","61.2","60.8","13","1.8","22.8","4.5","4","0","33.5","35.5","30","none","3.31","1.19","15.88","-33.10","-29.20","3.00","22.80"
"KCATOPAN40","2025-01-07T12:00","61.2","60.8","9.8","1.3","19.5","2.2","2","0","32.9","34.5","30","none","3.31","1.19","15.88","-35.20","-35.50","-13.20","-10.50"
"KCATOPAN40","2025-01-07T12:15","61.9","61.2","9.2","0.9","18.3","2.2","234","0","31.8","32.2","29.99","none","3.31","1.19","15.88","-48.70","-44.70","-13.80","-11.70"
"KCATOPAN40","2025-01-07T12:30","62.2","61.9","10.1","2.2","17.2","3.4","348","0","31.2","31.1","29.99","none","3.31","1.19","15.88","-43.80","-44.80","-12.90","-12.80"
"KCATOPAN40","2025-01-07T12:45","62.8","62.1","9.8","1.3","17.2","2.2","10","0","30.9","30.7","29.99","none","3.31","1.19","15.88","-37.20","-30.80","-13.20","-12.80"
"KCATOPAN40","2025-01-07T13:00","63","62.2","10.7","1.6","17.2","2.2","1","0","30.6","30","29.98","none","3.31","1.19","15.88","-30.20","-31.80","-3.30","-11.80"
"KCATOPAN40","2025-01-07T13:15","63","62.4","9.2","1.8","15.9","2.2","5","0","30.7","30","29.98","none","3.31","1.19","15.88","-42.70","-36.10","-4.80","-13.10"
