Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KLAX","2025-01-07T01:00","55","55","3","3","0","0","NE","0.0","54","94","29.81","Mostly Cloudy","12.50","14.34","0.44","-25.00","-30.00","",""
"KLAX","2025-01-07T01:15","55","55","3","3","0","0","NE","0.0","54","94","29.81","Mostly Cloudy","12.50","14.34","0.44","-24.10","-32.00","",""
"KLAX","2025-01-07T01:30","55","55","3","3","0","0","NE","0.0","54","94","29.81","Mostly Cloudy","12.50","14.34","0.44","-30.10","-34.00","",""
"KLAX","2025-01-07T01:45","55","55","3","3","0","0","NE","0.0","54","94","29.81","Mostly Cloudy","12.50","14.34","0.44","-27.00","-34.00","",""
"KLAX","2025-01-07T02:00","55","55","0","0","0","0","CALM","0.0","53","93","29.80","Mostly Cloudy","12.50","14.34","0.44","-34.00","-36.00","",""
"KLAX","2025-01-07T02:15","55","55","0","0","0","0","CALM","0.0","53","93","29.80","Mostly Cloudy","12.50","14.34","0.44","-36.90","-41.00","",""
"KLAX","2025-01-07T02:30","55","55","0","0","0","0","CALM","0.0","53","93","29.80","Mostly Cloudy","12.50","14.34","0.44","-36.90","-40.00","",""
"KLAX","2025-01-07T02:45","55","55","0","0","0","0","CALM","0.0","53","93","29.80","Mostly Cloudy","12.50","14.34","0.44","-38.90","-41.00","",""
"KLAX","2025-01-07T03:00","53","53","0","0","0","0","CALM","0.0","51","93","29.80","Mostly Cloudy","12.50","14.34","0.44","-40.00","-40.00","",""
"KLAX","2025-01-07T03:15","53","53","0","0","0","0","CALM","0.0","51","93","29.80","Mostly Cloudy","12.50","14.34","0.44","-38.90","-44.00","",""
"KLAX","2025-01-07T03:30","53","53","0","0","0","0","CALM","0.0","51","93","29.80","Mostly Cloudy","12.50","14.34","0.44","-40.90","-45.00","",""
"KLAX","2025-01-07T03:45","53","53","0","0","0","0","CALM","0.0","51","93","29.80","Mostly Cloudy","12.50","14.34","0.44","-38.00","-46.00","",""
"KLAX","2025-01-07T04:00","53","53","3","3","0","0","SE","0.0","51","93","29.80","Fair","12.50","14.34","0.44","-35.90","-47.00","",""
"KLAX","2025-01-07T04:15","53","53","3","3","0","0","SE","0.0","51","93","29.80","Fair","12.50","14.34","0.44","-40.00","-47.00","",""
"KLAX","2025-01-07T04:30","53","53","3","3","0","0","SE","0.0","51","93","29.80","Fair","12.50","14.34","0.44","-37.90","-47.00","",""
"KLAX","2025-01-07T04:45","53","53","3","3","0","0","SE","0.0","51","93","29.80","Fair","12.50","14.34","0.44","-45.10","-51.00","",""
"KLAX","2025-01-07T05:00","51","51","0","0","0","0","CALM","0.0","50","96","29.79","Mostly Cloudy","12.50","14.34","0.44","-50.10","-51.00","",""
"KLAX","2025-01-07T05:15","51","51","0","0","0","0","CALM","0.0","50","96","29.79","Mostly Cloudy","12.50","14.34","0.44","-44.10","-56.00","",""
"KLAX","2025-01-07T05:30","51","51","0","0","0","0","CALM","0.0","50","96","29.79","Mostly Cloudy","12.50","14.34","0.44","-43.00","-47.00","",""
"KLAX","2025-01-07T05:45","51","51","0","0","0","0","CALM","0.0","50","96","29.79","Mostly Cloudy","12.50","14.34","0.44","-47.00","-49.00","",""
"KLAX","2025-01-07T06:00","50","50","0","0","0","0","CALM","0.0","48","93","29.80","Partly Cloudy","12.50","14.34","0.44","-44.10","-49.00","",""
"KLAX","2025-01-07T06:15","50","50","0","0","0","0","CALM","0.0","48","93","29.80","Partly Cloudy","12.50","14.34","0.44","-44.10","-50.00","",""
"KLAX","2025-01-07T06:30","50","50","0","0","0","0","CALM","0.0","48","93","29.80","Partly Cloudy","12.50","14.34","0.44","-45.00","-50.00","",""
"KLAX","2025-01-07T06:45","50","50","0","0","0","0","CALM","0.0","48","93","29.80","Partly Cloudy","12.50","14.34","0.44","-38.90","-46.00","",""
"KLAX","2025-01-07T07:00","51","51","5","5","0","0","SE","0.0","48","89","29.80","Partly Cloudy","12.50","14.34","0.44","-29.00","-43.00","",""
"KLAX","2025-01-07T07:15","51","51","5","5","0","0","SE","0.0","48","89","29.80","Partly Cloudy","12.50","14.34","0.44","-31.00","-49.00","",""
"KLAX","2025-01-07T07:30","51","51","5","5","0","0","SE","0.0","48","89","29.80","Partly Cloudy","12.50","14.34","0.44","-39.10","-53.00","",""
"KLAX","2025-01-07T07:45","51","51","5","5","0","0","SE","0.0","48","89","29.80","Partly Cloudy","12.50","14.34","0.44","-46.90","-55.00","",""
"KLAX","2025-01-07T08:00","50","50","0","0","0","0","CALM","0.0","48","93","29.82","Mostly Cloudy","12.50","14.34","0.44","-53.90","-57.00","",""
"KLAX","2025-01-07T08:15","50","50","0","0","0","0","CALM","0.0","48","93","29.82","Mostly Cloudy","12.50","14.34","0.44","-53.90","-62.00","",""
"KLAX","2025-01-07T08:30","50","50","0","0","0","0","CALM","0.0","48","93","29.82","Mostly Cloudy","12.50","14.34","0.44","-57.00","-67.00","",""
"KLAX","2025-01-07T08:45","50","50","0","0","0","0","CALM","0.0","48","93","29.82","Mostly Cloudy","12.50","14.34","0.44","-57.00","-66.00","",""
"KLAX","2025-01-07T09:00","52","52","3","3","0","0","SSE","0.0","50","93","29.83","Mostly Cloudy","12.50","14.34","0.44","-45.10","-61.00","",""
"KLAX","2025-01-07T09:15","52","52","3","3","0","0","SSE","0.0","50","93","29.83","Mostly Cloudy","12.50","14.34","0.44","-52.90","-63.00","",""
"KLAX","2025-01-07T09:30","52","52","3","3","0","0","SSE","0.0","50","93","29.83","Mostly Cloudy","12.50","14.34","0.44","-52.00","-64.00","",""
