"guid","Size","Containment","DateTime","Structures Threatened","Structures Destroyed","Civilian Injuries","Civilian Fatalities","Structures Damaged","Firefighter Injuries"
"3490aec0-ebf7-4260-8b59-e062a0a276eb","10","0%","2025-01-07T11:06","","","","","",""
"c7282357-507f-417b-8781-d5c331b4804b","10","0%","2025-01-07T11:11","","","","","",""
"852ab978-22d5-480c-94e4-08b30c562d5c","10","0%","2025-01-07T11:18","","","","","",""
"c9fde7f3-4311-4430-b7b2-fa79ccb07070","10","0%","2025-01-07T11:26","","","","","",""
"7dd7c781-1339-4706-952f-428364b721a9","200","0%","2025-01-07T11:31","","","","","",""
"c5603b20-88d1-4e41-aaa8-a5fc6e7440d0","200","0%","2025-01-07T11:44","","","","","",""
"05b68c83-2b8b-4148-9331-15a474e4dc6c","200","0%","2025-01-07T11:49","","","","","",""
"1f0beda0-aa77-441b-8733-c45f57173cb3","200","0%","2025-01-07T12:00","","","","","",""
"bb097874-e194-4ea5-bb4a-964105068a7f","200","0%","2025-01-07T12:03","","","","","",""
"1053edbc-3fa5-4f8e-b4a0-0734475ff981","200","0%","2025-01-07T12:19","","","","","",""
"f1f627ee-609d-4927-b5b7-af0219f5f9dc","200","0%","2025-01-07T12:20","","","","","",""
"e18d9f64-3b8d-4cf3-8170-8327b21a121b","200","0%","2025-01-07T12:31","","","","","",""
"8d58d083-9aca-41e8-a972-9c7ef61744c2","200","0%","2025-01-07T12:37","","","","","",""
"51d5995e-b2b6-4933-a735-c3e3b795524a","200","0%","2025-01-07T13:24","","","","","",""
"5ac980bb-ca91-46e1-bdcf-aa519ac66d1b","200","0%","2025-01-07T13:33","","","","","",""
"48eda7ff-06a1-4b68-b6e3-985038ffe9f6","200","0%","2025-01-07T13:34","","","","","",""
"82a05e51-4d6e-4e0d-980c-575e8c7a8a43","200","0%","2025-01-07T14:27","","","","","",""
"18c0bcea-e812-4d2f-bbdc-c6829123385a","200","0%","2025-01-07T14:31","","","","","",""
