Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KCALOSAN1246","2025-01-07T00:00","50","49.7","0.6","0","0.8","0","279","0","42.8","76.8","29.82","none","8.40","10.63","11.12","-24.50","-25.20","",""
"KCALOSAN1246","2025-01-07T00:15","49.5","49.2","0.6","0","0.8","0","280","0","41.1","73.6","29.82","none","8.40","10.63","11.12","-24.50","-27.20","",""
"KCALOSAN1246","2025-01-07T00:30","49.5","49","1.1","0","1.1","0","288","0","40.1","71.3","29.82","none","8.40","10.63","11.12","-24.00","-26.90","",""
"KCALOSAN1246","2025-01-07T00:45","49.4","48.9","1.1","0","1.6","0","286","0","40.9","73.8","29.81","none","8.40","10.63","11.12","-22.80","-24.40","",""
"KCALOSAN1246","2025-01-07T01:00","49.5","49.2","0.9","0","1.1","0","301","0","42.1","75.8","29.81","none","8.40","10.63","11.12","-27.10","-28.90","-2.10","1.10"
"KCALOSAN1246","2025-01-07T01:15","49.7","49.4","0.6","0","1.1","0","312","0","40.4","70.6","29.81","none","8.40","10.63","11.12","-26.50","-30.90","-2.40","1.10"
"KCALOSAN1246","2025-01-07T01:30","49.7","48.9","0.8","0","1.1","0.3","309","0","39.2","69","29.81","none","8.40","10.63","11.12","-32.30","-32.90","-2.20","1.10"
"KCALOSAN1246","2025-01-07T01:45","48.9","48.7","0.9","0","1.1","0","314","0","39","69","29.81","none","8.40","10.63","11.12","-29.10","-32.90","-2.10","1.10"
"KCALOSAN1246","2025-01-07T02:00","50","48.7","0.6","0","1.1","0","315","0","40","69.8","29.8","none","8.40","10.63","11.12","-33.40","-34.90","0.60","1.10"
"KCALOSAN1246","2025-01-07T02:15","51.7","50.2","0.8","0","0.8","0","251","0","40.6","68","29.8","none","8.40","10.63","11.12","-36.10","-40.20","0.80","0.80"
"KCALOSAN1246","2025-01-07T02:30","52.5","51.4","0.4","0","0.8","0","243","0","41.7","67.2","29.8","none","8.40","10.63","11.12","-36.50","-39.20","0.40","0.80"
"KCALOSAN1246","2025-01-07T02:45","52.7","52.2","0.8","0","1.1","0","226","0","41.6","65.8","29.8","none","8.40","10.63","11.12","-38.10","-39.90","0.80","1.10"
"KCALOSAN1246","2025-01-07T03:00","53.2","52.7","1.6","0","1.6","0","221","0","40.7","63.2","29.8","none","8.40","10.63","11.12","-38.40","-38.40","1.60","1.60"
"KCALOSAN1246","2025-01-07T03:15","53.5","53","0.8","0","1.6","0","191","0","40.3","61.8","29.79","none","8.40","10.63","11.12","-38.10","-42.40","0.80","1.60"
"KCALOSAN1246","2025-01-07T03:30","54.7","53","0.9","0","1.6","0","203","0","37.9","53.6","29.79","none","8.40","10.63","11.12","-40.00","-43.40","0.90","1.60"
"KCALOSAN1246","2025-01-07T03:45","55.2","54.5","0.6","0","1.1","0","203","0","36.2","49.4","29.79","none","8.40","10.63","11.12","-37.40","-44.90","0.60","1.10"
"KCALOSAN1246","2025-01-07T04:00","55.5","55","0.6","0","0.8","0","205","0","35.1","46.6","29.8","none","8.40","10.63","11.12","-38.30","-46.20","-2.40","0.80"
"KCALOSAN1246","2025-01-07T04:15","55.9","55.4","0.5","0","1.6","0","224","0","34.9","45.4","29.8","none","8.40","10.63","11.12","-42.50","-45.40","-2.50","1.60"
"KCALOSAN1246","2025-01-07T04:30","57.5","56.4","4.9","0","5.3","0","109","0","34.2","42.3","29.8","none","8.40","10.63","11.12","-36.00","-41.70","1.90","5.30"
"KCALOSAN1246","2025-01-07T04:45","58.2","57.5","2.7","0","4.5","0","221","0","34.8","42.4","29.8","none","8.40","10.63","11.12","-45.40","-46.50","-0.30","4.50"
"KCALOSAN1246","2025-01-07T05:00","58.5","58","2.9","0","4.5","0","245","0","36.3","44.2","29.8","none","8.40","10.63","11.12","-47.20","-46.50","2.90","4.50"
"KCALOSAN1246","2025-01-07T05:15","58.4","58","0.7","0","2","0","228","0","37.5","46","29.81","none","8.40","10.63","11.12","-43.40","-54.00","0.70","2.00"
"KCALOSAN1246","2025-01-07T05:30","58.2","57.9","2","0","3.2","0","240","0","37.7","46.5","29.81","none","8.40","10.63","11.12","-41.00","-43.80","2.00","3.20"
"KCALOSAN1246","2025-01-07T05:45","58.4","57.9","2.5","0","2.7","0","48","0","37.5","46","29.81","none","8.40","10.63","11.12","-44.50","-46.30","2.50","2.70"
"KCALOSAN1246","2025-01-07T06:00","58.5","58","0.9","0","4.5","0","208","0","37.8","46.4","29.81","none","8.40","10.63","11.12","-43.20","-44.50","0.90","4.50"
"KCALOSAN1246","2025-01-07T06:15","58.4","57.7","2.5","0","6","0.3","223","0","37.9","46.8","29.81","none","8.40","10.63","11.12","-41.60","-44.00","2.50","6.00"
"KCALOSAN1246","2025-01-07T06:30","58.4","57.7","2.5","0","2.5","0","1","0","38.1","47.2","29.82","none","8.40","10.63","11.12","-42.50","-47.50","2.50","2.50"
"KCALOSAN1246","2025-01-07T06:45","57.7","57.2","1.1","0","2","0","184","0","38.3","48.8","29.84","none","8.40","10.63","11.12","-37.80","-44.00","1.10","2.00"
"KCALOSAN1246","2025-01-07T07:00","57.5","57.2","2.5","0","5.6","0.3","212","0","38.1","49","29.84","none","8.40","10.63","11.12","-31.50","-37.40","-2.50","5.60"
"KCALOSAN1246","2025-01-07T07:15","58","57.2","2.2","0","6","0","272","0","38","47.3","29.84","none","8.40","10.63","11.12","-33.80","-43.00","-2.80","6.00"
"KCALOSAN1246","2025-01-07T07:30","59","57.9","2.5","0.3","7.8","0.3","45","0","37.3","44.8","29.85","none","8.40","10.63","11.12","-41.60","-45.20","-2.50","7.80"
"KCALOSAN1246","2025-01-07T07:45","61.5","59","2.9","0","3.2","0","197","0","37.3","42.8","29.85","none","8.40","10.63","11.12","-49.00","-51.80","-2.10","3.20"
"KCALOSAN1246","2025-01-07T08:00","63","61.2","1.7","0","3.5","0","41","0","38","41","29.86","none","8.40","10.63","11.12","-52.20","-53.50","1.70","3.50"
"KCALOSAN1246","2025-01-07T08:15","61.2","59.7","1.1","0","2.7","0.3","120","0","36.7","41.8","29.86","none","8.40","10.63","11.12","-52.80","-59.30","1.10","2.70"
"KCALOSAN1246","2025-01-07T08:30","59.7","59.5","1.7","0","3.5","0","189","0","36.7","42.4","29.87","none","8.40","10.63","11.12","-55.30","-63.50","1.70","3.50"
"KCALOSAN1246","2025-01-07T08:45","60","59.7","3.9","0","8.1","0.8","45","0","36.8","42.5","29.87","none","8.40","10.63","11.12","-53.10","-57.90","3.90","8.10"
