Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KCASANTA4632","2025-01-07T00:00","52.1","52.1","0","0","0","0","68","0","45.6","78.4","30.07","none","5.15","7.24","7.77","-25.10","-26.00","",""
"KCASANTA4632","2025-01-07T00:15","52.1","52","0.7","0","0.7","0","38","0","46.6","81.6","30.07","none","5.15","7.24","7.77","-24.40","-27.30","",""
"KCASANTA4632","2025-01-07T00:30","52.2","52.1","1.3","0","1.6","0","50","0","48.3","86.8","30.06","none","5.15","7.24","7.77","-23.80","-26.40","",""
"KCASANTA4632","2025-01-07T00:45","52.2","51.9","1.6","0","2.2","0","74","0","49","89","30.05","none","5.15","7.24","7.77","-22.30","-23.80","",""
"KCASANTA4632","2025-01-07T01:00","52.1","51.5","1.8","0","2.2","0","232","0","48.9","90","30.05","none","5.15","7.24","7.77","-26.20","-27.80","-1.20","2.20"
"KCASANTA4632","2025-01-07T01:15","52.2","51.8","1.8","0","2.2","0","30","0","49.5","91.6","30.06","none","5.15","7.24","7.77","-25.30","-29.80","-1.20","2.20"
"KCASANTA4632","2025-01-07T01:30","52.5","51.8","1.6","0","2.2","0","0","0","49.7","92","30.05","none","5.15","7.24","7.77","-31.50","-31.80","-1.40","2.20"
"KCASANTA4632","2025-01-07T01:45","51.8","50.8","0","0","0","0","90","0","49","92","30.05","none","5.15","7.24","7.77","-30.00","-34.00","-3.00","0.00"
"KCASANTA4632","2025-01-07T02:00","51.2","50.8","1.6","0","2.2","0","7","0","49","93","30.04","none","5.15","7.24","7.77","-32.40","-33.80","1.60","2.20"
"KCASANTA4632","2025-01-07T02:15","50.7","50","0.9","0","1.6","0","73","0","48.2","93","30.05","none","5.15","7.24","7.77","-36.00","-39.40","0.90","1.60"
"KCASANTA4632","2025-01-07T02:30","50.1","49.6","0.7","0","0.7","0","0","0","48","94","30.05","none","5.15","7.24","7.77","-36.20","-39.30","0.70","0.70"
"KCASANTA4632","2025-01-07T02:45","49.7","49.4","0","0","0","0","0","0","47.7","94","30.04","none","5.15","7.24","7.77","-38.90","-41.00","0.00","0.00"
"KCASANTA4632","2025-01-07T03:00","49.4","48.5","2","0","2.2","0","229","0","46.8","93.4","30.04","none","5.15","7.24","7.77","-38.00","-37.80","2.00","2.20"
"KCASANTA4632","2025-01-07T03:15","48.7","48.1","1.3","0","1.6","0","214","0","46.6","94","30.04","none","5.15","7.24","7.77","-37.60","-42.40","1.30","1.60"
"KCASANTA4632","2025-01-07T03:30","48.1","47.6","2.2","0","2.9","0","113","0","45.9","93","30.04","none","5.15","7.24","7.77","-38.70","-42.10","2.20","2.90"
"KCASANTA4632","2025-01-07T03:45","47.6","47.2","1.6","0","1.6","0","241","0","45.4","93","30.04","none","5.15","7.24","7.77","-36.40","-44.40","1.60","1.60"
"KCASANTA4632","2025-01-07T04:00","48.5","47.3","3.4","0","3.8","0","93","0","45.5","93","30.04","none","5.15","7.24","7.77","-35.50","-43.20","0.40","3.80"
"KCASANTA4632","2025-01-07T04:15","48.7","47.7","2.5","0","2.9","0","180","0","45.3","91","30.04","none","5.15","7.24","7.77","-40.50","-44.10","-0.50","2.90"
"KCASANTA4632","2025-01-07T04:30","48","47.6","1.6","0","2.2","0","21","0","45.2","91","30.04","none","5.15","7.24","7.77","-39.30","-44.80","-1.40","2.20"
"KCASANTA4632","2025-01-07T04:45","48.4","47.6","1.3","0","1.6","0","0","0","45.2","91","30.04","none","5.15","7.24","7.77","-46.80","-49.40","-1.70","1.60"
"KCASANTA4632","2025-01-07T05:00","48.3","47.7","2","0","2.2","0","101","0","45.4","91","30.04","none","5.15","7.24","7.77","-48.10","-48.80","2.00","2.20"
"KCASANTA4632","2025-01-07T05:15","49.3","47.9","2.5","0","2.9","0","56","0","46","91","30.05","none","5.15","7.24","7.77","-41.60","-53.10","2.50","2.90"
"KCASANTA4632","2025-01-07T05:30","49.3","48.9","1.1","0","1.6","0","75","0","46.7","91.2","30.05","none","5.15","7.24","7.77","-41.90","-45.40","1.10","1.60"
"KCASANTA4632","2025-01-07T05:45","48.9","48.2","0.9","0","1.6","0","113","0","45.9","91","30.05","none","5.15","7.24","7.77","-46.10","-47.40","0.90","1.60"
"KCASANTA4632","2025-01-07T06:00","53.4","48.2","2.5","0","3.8","0","46","0","45.1","77.8","30.04","none","5.15","7.24","7.77","-41.60","-45.20","2.50","3.80"
"KCASANTA4632","2025-01-07T06:15","59","53.8","3.8","1.1","4.5","1.6","7","0","41.5","52.6","30.04","none","5.15","7.24","7.77","-40.30","-45.50","3.80","4.50"
"KCASANTA4632","2025-01-07T06:30","60.4","58.4","5.8","1.3","8.1","2.2","45","0","41","49.4","30.05","none","5.15","7.24","7.77","-39.20","-41.90","5.80","8.10"
"KCASANTA4632","2025-01-07T06:45","61.1","60.2","8.1","2","11.9","2.9","5","0","41","47.8","30.06","none","5.15","7.24","7.77","-30.80","-34.10","8.10","11.90"
"KCASANTA4632","2025-01-07T07:00","61.5","61.1","4.9","1.3","7.4","2.2","40","0","40.7","46.8","30.06","none","5.15","7.24","7.77","-29.10","-35.60","-0.10","7.40"
"KCASANTA4632","2025-01-07T07:15","61.7","61","8.5","0.7","10.3","1.6","1","0","40.3","45.8","30.06","none","5.15","7.24","7.77","-27.50","-38.70","3.50","10.30"
"KCASANTA4632","2025-01-07T07:30","62.6","61.7","11.9","2.9","16.3","4.5","51","0","39.8","43","30.07","none","5.15","7.24","7.77","-32.20","-36.70","6.90","16.30"
"KCASANTA4632","2025-01-07T07:45","63.4","62.4","10.1","2.9","17","3.8","70","0","39","40.6","30.06","none","5.15","7.24","7.77","-41.80","-38.00","5.10","17.00"
"KCASANTA4632","2025-01-07T08:00","64.6","63.4","11.2","4.3","14.8","5.1","34","0","38.4","38.2","30.07","none","5.15","7.24","7.77","-42.70","-42.20","11.20","14.80"
"KCASANTA4632","2025-01-07T08:15","64.8","64.3","7.6","3.4","12.5","5.1","26","0","37.9","37","30.07","none","5.15","7.24","7.77","-46.30","-49.50","7.60","12.50"
"KCASANTA4632","2025-01-07T08:30","64.8","64.1","10.5","4.7","15.4","5.8","326","0","37.4","36.8","30.08","none","5.15","7.24","7.77","-46.50","-51.60","10.50","15.40"
"KCASANTA4632","2025-01-07T08:45","64.1","64","14.1","5.4","19.9","5.8","84","0","37.4","37.2","30.09","none","5.15","7.24","7.77","-42.90","-46.10","14.10","19.90"
"KCASANTA4632","2025-01-07T09:00","64.8","64","8.9","3.1","14.8","5.1","80","0","37.6","37","30.1","none","5.15","7.24","7.77","-39.20","-46.20","5.90","14.80"
"KCASANTA4632","2025-01-07T09:15","65.7","64.9","7.6","3.4","14.8","4.5","27","0","37.7","36","30.1","none","5.15","7.24","7.77","-48.30","-48.20","4.60","14.80"
"KCASANTA4632","2025-01-07T09:30","65.4","64.7","10.1","4.7","17.7","5.8","283","0","38.3","37","30.1","none","5.15","7.24","7.77","-44.90","-46.30","7.10","17.70"
"KCASANTA4632","2025-01-07T09:45","64.9","64.3","10.3","4.3","16.3","5.8","314","0","38.9","38.8","30.11","none","5.15","7.24","7.77","-55.70","-55.70","7.30","16.30"
"KCASANTA4632","2025-01-07T10:00","64.3","63.8","13.9","4.3","18.6","5.8","29","0","38.4","38.8","30.12","none","5.15","7.24","7.77","-47.20","-48.40","10.90","18.60"
"KCASANTA4632","2025-01-07T10:15","64.8","63.9","10.1","4.3","14.8","5.1","27","0","37.9","37.6","30.12","none","5.15","7.24","7.77","-49.90","-52.20","7.10","14.80"
"KCASANTA4632","2025-01-07T10:30","66.2","64.7","10.3","3.4","14.1","5.1","27","0","38.2","36","30.11","none","5.15","7.24","7.77","-47.60","-49.90","7.30","14.10"
"KCASANTA4632","2025-01-07T10:45","66.3","65.2","11","2","18.6","2.9","17","0","37.7","35.4","30.11","none","5.15","7.24","7.77","-40.00","-44.40","8.00","18.60"
"KCASANTA4632","2025-01-07T11:00","66.9","66","8.7","3.1","17","4.5","11","0","36.4","33.2","30.11","none","5.15","7.24","7.77","-41.40","-39.00","-1.30","17.00"
"KCASANTA4632","2025-01-07T11:15","67.9","66.3","10.5","3.1","15.4","4.5","16","0","36","31","30.09","none","5.15","7.24","7.77","-35.60","-38.60","0.50","15.40"
"KCASANTA4632","2025-01-07T11:30","68","67","11","3.6","17","4.5","40","0","35.4","30.4","30.09","none","5.15","7.24","7.77","-44.00","-41.00","1.00","17.00"
"KCASANTA4632","2025-01-07T11:45","68.7","67.8","8.7","3.4","13.2","4.5","17","0","34.8","29","30.08","none","5.15","7.24","7.77","-37.40","-38.80","-1.30","13.20"
"KCASANTA4632","2025-01-07T12:00","68.7","68","9.8","4","14.1","5.1","49","0","34.7","29","30.07","none","5.15","7.24","7.77","-35.20","-40.90","-13.20","-15.90"
"KCASANTA4632","2025-01-07T12:15","69.2","68.6","7.2","2","10.3","2.9","55","0","34.2","27.6","30.07","none","5.15","7.24","7.77","-50.70","-52.70","-15.80","-19.70"
"KCASANTA4632","2025-01-07T12:30","70.1","68.6","6","2.2","10.3","2.9","41","0","34.2","26.8","30.06","none","5.15","7.24","7.77","-47.90","-51.70","-17.00","-19.70"
"KCASANTA4632","2025-01-07T12:45","70.4","69.8","6.5","1.6","11.2","2.2","101","0","32.6","25","30.06","none","5.15","7.24","7.77","-40.50","-36.80","-16.50","-18.80"
"KCASANTA4632","2025-01-07T13:00","71.1","70.2","8.9","2.7","13.2","2.9","38","0","32.2","24.2","30.05","none","5.15","7.24","7.77","-32.00","-35.80","-5.10","-15.80"
"KCASANTA4632","2025-01-07T13:15","71.2","70.5","7.6","2.7","11.9","3.8","14","0","31.6","23.2","30.05","none","5.15","7.24","7.77","-44.30","-40.10","-6.40","-17.10"
"KCASANTA4632","2025-01-07T13:30","71.5","70.4","10.5","1.6","15.4","2.2","307","0","29.8","22","30.04","none","5.15","7.24","7.77","-47.40","-42.60","-3.50","-13.60"
"KCASANTA4632","2025-01-07T13:45","70.7","70.2","9.8","5.1","14.1","7.4","44","0","29.8","22","30.05","none","5.15","7.24","7.77","-37.20","-37.90","-4.20","-14.90"
"KCASANTA4632","2025-01-07T14:00","70.6","70.1","10.5","3.6","17.7","4.5","58","0","29.9","22.2","30.06","none","5.15","7.24","7.77","-41.40","-37.30","-3.50","-8.30"
"KCASANTA4632","2025-01-07T14:15","70.5","70.1","13.9","5.1","19.9","7.4","25","0","29.1","21.6","30.05","none","5.15","7.24","7.77","-39.10","-41.10","-0.10","-6.10"
"KCASANTA4632","2025-01-07T14:30","70.3","69.9","11.2","6","19.9","8.9","22","0","28.4","21","30.05","none","5.15","7.24","7.77","-40.70","-40.10","-2.80","-6.10"
"KCASANTA4632","2025-01-07T14:45","70.3","69.9","15.4","3.1","20.6","5.1","35","0","27.5","20.2","30.05","none","5.15","7.24","7.77","-36.50","-37.40","1.40","-5.40"
"KCASANTA4632","2025-01-07T15:00","70.9","70.2","11.9","2.7","16.3","4.5","74","0","26.5","19","30.04","none","5.15","7.24","7.77","-42.00","-43.70","-13.10","-20.70"
"KCASANTA4632","2025-01-07T15:15","70.7","69.8","12.3","4.5","17","5.8","82","0","24.5","18","30.04","none","5.15","7.24","7.77","-40.70","-43.00","-12.70","-20.00"
"KCASANTA4632","2025-01-07T15:30","69.9","69.1","11.2","4","25.9","5.1","25","0","23.9","18","30.04","none","5.15","7.24","7.77","-36.90","-31.10","-13.80","-11.10"
"KCASANTA4632","2025-01-07T15:45","69","68.7","9.4","3.6","15.4","4.5","26","0","23.6","18","30.04","none","5.15","7.24","7.77","-44.50","-50.60","-15.60","-21.60"
"KCASANTA4632","2025-01-07T16:00","68.9","68.4","8.7","3.1","14.8","4.5","4","0","23.3","18","30.04","none","5.15","7.24","7.77","-44.30","-50.20","-16.30","-18.20"
"KCASANTA4632","2025-01-07T16:15","68.4","68","15.9","4.5","19.2","5.1","30","0","22","17.2","30.05","none","5.15","7.24","7.77","-39.10","-36.80","-9.10","-13.80"
"KCASANTA4632","2025-01-07T16:30","68.1","67.7","16.3","4.7","20.6","6.7","35","0","21.4","17","30.05","none","5.15","7.24","7.77","-37.60","-41.40","-8.70","-12.40"
"KCASANTA4632","2025-01-07T16:45","67.8","67.4","11.4","3.4","22.1","5.1","57","0","21.2","17","30.06","none","5.15","7.24","7.77","-30.70","-39.90","-13.60","-10.90"
"KCASANTA4632","2025-01-07T17:00","67.4","67","13.9","2.9","20.6","3.8","46","0","22.2","18","30.08","none","5.15","7.24","7.77","-31.10","-29.40","-7.10","-15.40"
"KCASANTA4632","2025-01-07T17:15","67.1","66.7","9.8","3.4","14.8","5.1","58","0","22","18","30.08","none","5.15","7.24","7.77","-34.30","-60.20","-11.20","-21.20"
"KCASANTA4632","2025-01-07T17:30","66.8","66.6","12.3","4.3","19.2","5.8","8","0","21.9","18","30.08","none","5.15","7.24","7.77","-38.70","-40.80","-8.70","-16.80"
"KCASANTA4632","2025-01-07T17:45","66.5","66.3","11.6","4.3","14.8","5.1","49","0","21.6","18","30.08","none","5.15","7.24","7.77","-37.40","-38.20","-9.40","-21.20"
"KCASANTA4632","2025-01-07T18:00","66.6","66.2","17.9","4.5","22.8","6.7","54","0","21.6","18","30.09","none","5.15","7.24","7.77","-33.10","-40.20","-7.10","-18.20"
"KCASANTA4632","2025-01-07T18:15","66.5","66.1","17.7","4.7","31.8","5.8","57","0","21.5","18","30.09","none","5.15","7.24","7.77","-30.40","-29.20","-7.30","-9.20"
