Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KCATOPAN62","2025-01-07T00:00","57.7","57.4","1.8","0","1.8","0.9","324","0","37.6","47","29.94","none","3.31","1.19","15.88","-23.30","-24.20","",""
"KCATOPAN62","2025-01-07T00:15","57.6","56.8","1.6","0","1.6","0.5","137","0","37.6","47.1","29.94","none","3.31","1.19","15.88","-23.50","-26.40","",""
"KCATOPAN62","2025-01-07T00:30","56.8","55.4","0.9","0","1.1","0.5","60","0","37.4","49","29.93","none","3.31","1.19","15.88","-24.20","-26.90","",""
"KCATOPAN62","2025-01-07T00:45","55.4","54.5","0.9","0","1.1","0.9","26","0","37.4","51","29.92","none","3.31","1.19","15.88","-23.00","-24.90","",""
"KCATOPAN62","2025-01-07T01:00","55.9","54.5","1.8","0","2.2","0.7","5","0","36.9","50","29.93","none","3.31","1.19","15.88","-26.20","-27.80","-1.20","2.20"
"KCATOPAN62","2025-01-07T01:15","55.9","55.2","1.3","0","2.2","0.9","29","0","37.4","50","29.93","none","3.31","1.19","15.88","-25.80","-29.80","-1.70","2.20"
"KCATOPAN62","2025-01-07T01:30","55.2","55","1.1","0","1.3","0.5","24","0","37.4","51","29.92","none","3.31","1.19","15.88","-32.00","-32.70","-1.90","1.30"
"KCATOPAN62","2025-01-07T01:45","55.6","54.9","1.3","0","2","0.9","19","0","36.9","49.7","29.92","none","3.31","1.19","15.88","-28.70","-32.00","-1.70","2.00"
"KCATOPAN62","2025-01-07T02:00","55.6","54.9","1.8","0","2.5","0.9","31","0","36.9","49.4","29.92","none","3.31","1.19","15.88","-32.20","-33.50","1.80","2.50"
"KCATOPAN62","2025-01-07T02:15","55","54.5","1.8","0","2.2","0.9","39","0","36.4","49.3","29.92","none","3.31","1.19","15.88","-35.10","-38.80","1.80","2.20"
"KCATOPAN62","2025-01-07T02:30","55.2","54.3","2.2","0","2.2","1.3","49","0","36.3","49.2","29.92","none","3.31","1.19","15.88","-34.70","-37.80","2.20","2.20"
"KCATOPAN62","2025-01-07T02:45","55.2","54.7","2.5","0","3.1","1.8","0","0","35.6","47.7","29.92","none","3.31","1.19","15.88","-36.40","-37.90","2.50","3.10"
"KCATOPAN62","2025-01-07T03:00","55.6","55.2","3.1","0","4.3","2","302","0","35.5","46.7","29.92","none","3.31","1.19","15.88","-36.90","-35.70","3.10","4.30"
"KCATOPAN62","2025-01-07T03:15","55.4","55.2","2.7","0.5","3.6","1.8","321","0","34.7","45.7","29.91","none","3.31","1.19","15.88","-36.20","-40.40","2.70","3.60"
"KCATOPAN62","2025-01-07T03:30","56.5","55.4","2.7","0.5","3.6","2","302","0","34.1","43","29.91","none","3.31","1.19","15.88","-38.20","-41.40","2.70","3.60"
"KCATOPAN62","2025-01-07T03:45","57","56.3","3.8","0","4","2","317","0","33.9","42","29.91","none","3.31","1.19","15.88","-34.20","-42.00","3.80","4.00"
"KCATOPAN62","2025-01-07T04:00","57","56.8","4.5","0.5","5.6","2.7","308","0","34.1","42","29.92","none","3.31","1.19","15.88","-34.40","-41.40","1.50","5.60"
"KCATOPAN62","2025-01-07T04:15","57","56.7","4.3","0.5","4.9","2","328","0","34","42","29.92","none","3.31","1.19","15.88","-38.70","-42.10","1.30","4.90"
"KCATOPAN62","2025-01-07T04:30","57.2","56.8","3.1","0","4","2","284","0","34.7","42.9","29.92","none","3.31","1.19","15.88","-37.80","-43.00","0.10","4.00"
"KCATOPAN62","2025-01-07T04:45","57.6","57","3.4","0.5","4","2","3","0","35.4","44","29.92","none","3.31","1.19","15.88","-44.70","-47.00","0.40","4.00"
"KCATOPAN62","2025-01-07T05:00","57.9","57.4","4.5","0.5","5.4","2.5","4","0","35.8","44","29.93","none","3.31","1.19","15.88","-45.60","-45.60","4.50","5.40"
"KCATOPAN62","2025-01-07T05:15","57.9","57.2","3.8","0","4.9","2","59","0","36.4","44.9","29.94","none","3.31","1.19","15.88","-40.30","-51.10","3.80","4.90"
"KCATOPAN62","2025-01-07T05:30","57.2","57","4.3","0","4.7","1.8","110","0","36.5","45.9","29.94","none","3.31","1.19","15.88","-38.70","-42.30","4.30","4.70"
"KCATOPAN62","2025-01-07T05:45","57.2","56.7","3.1","0","3.8","1.3","10","0","36.3","45.8","29.94","none","3.31","1.19","15.88","-43.90","-45.20","3.10","3.80"
"KCATOPAN62","2025-01-07T06:00","56.7","56.3","3.6","0","3.8","1.3","13","0","36.3","46.3","29.94","none","3.31","1.19","15.88","-40.50","-45.20","3.60","3.80"
"KCATOPAN62","2025-01-07T06:15","56.7","55.8","1.8","0","2.2","0.9","97","0","36.3","47","29.95","none","3.31","1.19","15.88","-42.30","-47.80","1.80","2.20"
"KCATOPAN62","2025-01-07T06:30","55.8","55.2","2.7","0","2.7","0.9","33","0","36.3","48","29.95","none","3.31","1.19","15.88","-42.30","-47.30","2.70","2.70"
"KCATOPAN62","2025-01-07T06:45","55.6","55.2","2.7","0","4","2","10","0","36.6","49","29.94","none","3.31","1.19","15.88","-36.20","-42.00","2.70","4.00"
"KCATOPAN62","2025-01-07T07:00","56.1","55.4","4","0","4.7","2","45","0","36.7","48.5","29.95","none","3.31","1.19","15.88","-30.00","-38.30","-1.00","4.70"
"KCATOPAN62","2025-01-07T07:15","56.5","55.8","4","0","6.3","1.6","22","0","36.5","47.6","29.96","none","3.31","1.19","15.88","-32.00","-42.70","-1.00","6.30"
"KCATOPAN62","2025-01-07T07:30","56.5","56.3","3.4","0","4.5","2","14","0","36.1","46.3","29.96","none","3.31","1.19","15.88","-40.70","-48.50","-1.60","4.50"
"KCATOPAN62","2025-01-07T07:45","56.8","56.5","3.6","0","4.9","2.2","23","0","35.8","45","29.96","none","3.31","1.19","15.88","-48.30","-50.10","-1.40","4.90"
"KCATOPAN62","2025-01-07T08:00","57.9","56.8","5.6","0.7","7.6","2.9","5","0","35.6","43.6","29.96","none","3.31","1.19","15.88","-48.30","-49.40","5.60","7.60"
"KCATOPAN62","2025-01-07T08:15","59.2","57.9","5.6","0.9","8.7","3.1","7","0","35.5","41.3","29.97","none","3.31","1.19","15.88","-48.30","-53.30","5.60","8.70"
"KCATOPAN62","2025-01-07T08:30","59.5","58.6","4.7","0.5","6.7","3.6","29","0","35.4","40.7","29.98","none","3.31","1.19","15.88","-52.30","-60.30","4.70","6.70"
"KCATOPAN62","2025-01-07T08:45","58.8","58.5","4.3","0.7","6","3.6","2","0","35.3","41.8","29.99","none","3.31","1.19","15.88","-52.70","-60.00","4.30","6.00"
"KCATOPAN62","2025-01-07T09:00","59.4","58.8","5.8","0.7","6.7","2.9","32","0","35.6","41.2","29.99","none","3.31","1.19","15.88","-42.30","-54.30","2.80","6.70"
"KCATOPAN62","2025-01-07T09:15","60.1","59.4","3.6","0.9","6.7","3.4","9","0","35.8","40.8","29.99","none","3.31","1.19","15.88","-52.30","-56.30","0.60","6.70"
"KCATOPAN62","2025-01-07T09:30","60.3","59","5.8","0","8.3","3.6","17","0","36","40.8","30","none","3.31","1.19","15.88","-49.20","-55.70","2.80","8.30"
"KCATOPAN62","2025-01-07T09:45","59.9","58.6","5.6","0.5","8.1","3.6","10","0","36.1","41.6","30.01","none","3.31","1.19","15.88","-60.40","-63.90","2.60","8.10"
"KCATOPAN62","2025-01-07T10:00","60.3","58.5","4.5","0.7","8.1","2.2","8","0","36","41.4","30.02","none","3.31","1.19","15.88","-56.60","-58.90","1.50","8.10"
"KCATOPAN62","2025-01-07T10:15","62.2","59.4","6.3","0","9.6","2","25","0","35.9","39.2","30.02","none","3.31","1.19","15.88","-53.70","-57.40","3.30","9.60"
"KCATOPAN62","2025-01-07T10:30","63","60.6","4.9","0.5","7.4","2.9","12","0","35.6","37.2","30","none","3.31","1.19","15.88","-53.00","-56.60","1.90","7.40"
"KCATOPAN62","2025-01-07T10:45","63.9","61","6.3","0","8.1","3.1","15","0","35","35.3","29.99","none","3.31","1.19","15.88","-44.70","-54.90","3.30","8.10"
"KCATOPAN62","2025-01-07T11:00","64","61.7","4","0.5","7.2","2.5","8","0","34.4","34.2","29.99","none","3.31","1.19","15.88","-46.10","-48.80","-6.00","7.20"
"KCATOPAN62","2025-01-07T11:15","64.8","63","6.9","0.5","9.8","2.5","10","0","33.9","32.9","29.97","none","3.31","1.19","15.88","-39.20","-44.20","-3.10","9.80"
"KCATOPAN62","2025-01-07T11:30","64.4","63.1","4.9","0","6.7","2.7","47","0","33.3","31.5","29.96","none","3.31","1.19","15.88","-50.10","-51.30","-5.10","6.70"
"KCATOPAN62","2025-01-07T11:45","64.2","62.8","6.3","1.1","7.6","3.4","6","0","32.4","31.2","29.96","none","3.31","1.19","15.88","-39.80","-44.40","-3.70","7.60"
"KCATOPAN62","2025-01-07T12:00","64.6","63.5","3.6","0.5","5.4","2.5","278","0","32.2","30.3","29.96","none","3.31","1.19","15.88","-41.40","-49.60","-19.40","-24.60"
"KCATOPAN62","2025-01-07T12:15","64.8","63.7","5.4","0.5","6.5","2.5","312","0","30.7","28.2","29.96","none","3.31","1.19","15.88","-52.50","-56.50","-17.60","-23.50"
"KCATOPAN62","2025-01-07T12:30","66","64.4","3.8","0.5","7.2","3.1","181","0","30.3","26.7","29.96","none","3.31","1.19","15.88","-50.10","-54.80","-19.20","-22.80"
"KCATOPAN62","2025-01-07T12:45","66.4","64.4","3.6","0","4.9","2.5","25","0","29.8","26","29.95","none","3.31","1.19","15.88","-43.40","-43.10","-19.40","-25.10"
"KCATOPAN62","2025-01-07T13:00","66.7","65.1","5.4","0.5","6.3","2.5","14","0","29.7","25.8","29.94","none","3.31","1.19","15.88","-35.50","-42.70","-8.60","-22.70"
"KCATOPAN62","2025-01-07T13:15","66.4","65.3","4","0.9","6.5","2.9","3","0","29.6","25.6","29.94","none","3.31","1.19","15.88","-47.90","-45.50","-10.00","-22.50"
"KCATOPAN62","2025-01-07T13:30","66.2","65.3","4","0.5","6.3","2.2","14","0","29.6","25.5","29.95","none","3.31","1.19","15.88","-53.90","-51.70","-10.00","-22.70"
"KCATOPAN62","2025-01-07T13:45","66.9","65.3","5.1","0.5","6.7","2.5","87","0","28.7","24.2","29.94","none","3.31","1.19","15.88","-41.90","-45.30","-8.90","-22.30"
"KCATOPAN62","2025-01-07T14:00","66.4","65.1","5.8","0.5","8.5","3.1","328","0","26.8","23.1","29.95","none","3.31","1.19","15.88","-46.10","-46.50","-8.20","-17.50"
"KCATOPAN62","2025-01-07T14:15","66.2","65.1","4.5","0.7","5.8","2.2","274","0","26.3","22.2","29.95","none","3.31","1.19","15.88","-48.50","-55.20","-9.50","-20.20"
"KCATOPAN62","2025-01-07T14:30","66.2","65.1","5.4","0","7.2","2","30","0","26.1","22.4","29.95","none","3.31","1.19","15.88","-46.50","-52.80","-8.60","-18.80"
"KCATOPAN62","2025-01-07T14:45","66","64.4","4.9","0.9","6.9","3.6","0","0","23.7","20.9","29.94","none","3.31","1.19","15.88","-47.00","-51.10","-9.10","-19.10"
"KCATOPAN62","2025-01-07T15:00","65.5","64.9","6","0.5","6.7","2.2","279","0","22.8","19.6","29.95","none","3.31","1.19","15.88","-47.90","-53.30","-19.00","-30.30"
"KCATOPAN62","2025-01-07T15:15","65.1","64.4","3.8","0","5.8","2.7","312","0","21","18.7","29.95","none","3.31","1.19","15.88","-49.20","-54.20","-21.20","-31.20"
"KCATOPAN62","2025-01-07T15:30","64.9","64.2","4","0.5","5.8","1.1","4","0","21","18.6","29.95","none","3.31","1.19","15.88","-44.10","-51.20","-21.00","-31.20"
"KCATOPAN62","2025-01-07T15:45","64.6","63.5","5.1","0.7","5.8","2.7","328","0","19.6","18","29.95","none","3.31","1.19","15.88","-48.80","-60.20","-19.90","-31.20"
"KCATOPAN62","2025-01-07T16:00","63.7","63","5.1","0.5","6.7","2.5","307","0","19.7","18.3","29.95","none","3.31","1.19","15.88","-47.90","-58.30","-19.90","-26.30"
"KCATOPAN62","2025-01-07T16:15","63.1","62.4","5.1","0.7","6.3","3.8","9","0","19.7","19","29.95","none","3.31","1.19","15.88","-49.90","-49.70","-19.90","-26.70"
"KCATOPAN62","2025-01-07T16:30","62.4","61.9","4.7","0.5","8.5","2.7","12","0","19.3","18.8","29.95","none","3.31","1.19","15.88","-49.20","-53.50","-20.30","-24.50"
