Station,DateTime,Temperature High,Temperature Low,Wind Speed High,Wind Speed Low,Wind Gust High,Wind Gust Low,Wind Direction,Precipitation,Dew Point,Humidity,Pressure,Condition,Fire Distance (mi),KCATOPAN8 Distance (mi),KLAX Distance (mi),KCATOPAN8 Wind Speed Difference,KCATOPAN8 Wind Gust Difference,KLAX Wind Speed Difference,KLAX Wind Gust Difference
"KCAWOODL8","2025-01-07T00:00","57.6","57.6","0","0","0","0","344","0","34.7","42","29.84","none","5.04","4.21","17.72","-25.10","-26.00","",""
"KCAWOODL8","2025-01-07T00:15","57.6","57.4","0","0","0","0","344","0","34.5","42","29.84","none","5.04","4.21","17.72","-25.10","-28.00","",""
"KCAWOODL8","2025-01-07T00:30","57.6","56.7","0","0","0","0","344","0","34.3","42","29.83","none","5.04","4.21","17.72","-25.10","-28.00","",""
"KCAWOODL8","2025-01-07T00:45","56.7","55.8","4.9","0","5","0","344","0","34.3","43.8","29.83","none","5.04","4.21","17.72","-19.00","-21.00","",""
"KCAWOODL8","2025-01-07T01:00","56.3","55.9","2.9","0","4","0","5","0","34.4","44","29.84","none","5.04","4.21","17.72","-25.10","-26.00","-0.10","4.00"
"KCAWOODL8","2025-01-07T01:15","56.1","55.6","0","0","1","0","17","0","34.8","44.6","29.83","none","5.04","4.21","17.72","-27.10","-31.00","-3.00","1.00"
"KCAWOODL8","2025-01-07T01:30","55.6","55","0","0","0","0","17","0","34.8","46","29.83","none","5.04","4.21","17.72","-33.10","-34.00","-3.00","0.00"
"KCAWOODL8","2025-01-07T01:45","55","55","0","0","0","0","17","0","34.5","45.6","29.83","none","5.04","4.21","17.72","-30.00","-34.00","-3.00","0.00"
"KCAWOODL8","2025-01-07T02:00","55","54.9","4.9","0","6","0","0","0","34.2","45","29.83","none","5.04","4.21","17.72","-29.10","-30.00","4.90","6.00"
"KCAWOODL8","2025-01-07T02:15","54.9","54.7","6","0","6","0","2","0","34","45.2","29.84","none","5.04","4.21","17.72","-30.90","-35.00","6.00","6.00"
"KCAWOODL8","2025-01-07T02:30","55.2","54.7","4","0","4","0","335","0","33.3","43.7","29.84","none","5.04","4.21","17.72","-32.90","-36.00","4.00","4.00"
"KCAWOODL8","2025-01-07T02:45","56.1","55.2","4","0","5","0","11","0","32.5","41","29.84","none","5.04","4.21","17.72","-34.90","-36.00","4.00","5.00"
"KCAWOODL8","2025-01-07T03:00","56.1","55.6","6.9","0","7","0","4","0","32.4","41","29.84","none","5.04","4.21","17.72","-33.10","-33.00","6.90","7.00"
"KCAWOODL8","2025-01-07T03:15","55.6","55.4","6.9","0","7","0","8","0","31.1","39","29.84","none","5.04","4.21","17.72","-32.00","-37.00","6.90","7.00"
"KCAWOODL8","2025-01-07T03:30","57.2","55.6","14.1","0","14","2","16","0","30.3","36","29.83","none","5.04","4.21","17.72","-26.80","-31.00","14.10","14.00"
"KCAWOODL8","2025-01-07T03:45","58.3","57.2","15","0","18","7","0","0","29.9","34","29.84","none","5.04","4.21","17.72","-23.00","-28.00","15.00","18.00"
"KCAWOODL8","2025-01-07T04:00","58.5","58.3","15","0","15","9","1","0","30","34","29.84","none","5.04","4.21","17.72","-23.90","-32.00","12.00","15.00"
"KCAWOODL8","2025-01-07T04:15","58.5","58.1","13","0","17","4","2","0","30.1","34","29.85","none","5.04","4.21","17.72","-30.00","-30.00","10.00","17.00"
"KCAWOODL8","2025-01-07T04:30","58.3","58.1","15","0","15","3","2","0","31.1","35.8","29.86","none","5.04","4.21","17.72","-25.90","-32.00","12.00","15.00"
"KCAWOODL8","2025-01-07T04:45","58.6","58.1","17","0","17","4","10","0","31.5","36.2","29.85","none","5.04","4.21","17.72","-31.10","-34.00","14.00","17.00"
"KCAWOODL8","2025-01-07T05:00","59","58.6","16.1","0","17","6","6","0","32.4","37","29.85","none","5.04","4.21","17.72","-34.00","-34.00","16.10","17.00"
"KCAWOODL8","2025-01-07T05:15","59","58.6","13","0","17","1","3","0","32.7","37","29.86","none","5.04","4.21","17.72","-31.10","-39.00","13.00","17.00"
"KCAWOODL8","2025-01-07T05:30","58.6","58.6","13","0","15","4","355","0","32.9","37.8","29.87","none","5.04","4.21","17.72","-30.00","-32.00","13.00","15.00"
"KCAWOODL8","2025-01-07T05:45","58.6","58.5","19","0","19","3","3","0","32.9","38","29.87","none","5.04","4.21","17.72","-28.00","-30.00","19.00","19.00"
"KCAWOODL8","2025-01-07T06:00","58.5","58.1","6.9","0","12","0","5","0","32.7","38","29.87","none","5.04","4.21","17.72","-37.20","-37.00","6.90","12.00"
"KCAWOODL8","2025-01-07T06:15","58.1","57.2","6","0","6","0","8","0","32.9","38.7","29.88","none","5.04","4.21","17.72","-38.10","-44.00","6.00","6.00"
"KCAWOODL8","2025-01-07T06:30","57.2","56.8","11","0","11","1","4","0","33.4","40.6","29.88","none","5.04","4.21","17.72","-34.00","-39.00","11.00","11.00"
"KCAWOODL8","2025-01-07T06:45","56.8","56.8","15","0","15","1","4","0","34","42","29.88","none","5.04","4.21","17.72","-23.90","-31.00","15.00","15.00"
"KCAWOODL8","2025-01-07T07:00","57.6","56.8","16.1","0","18","6","3","0","33.5","40.2","29.88","none","5.04","4.21","17.72","-17.90","-25.00","11.10","18.00"
"KCAWOODL8","2025-01-07T07:15","57.6","57.6","14.1","0","21","1","3","0","33.4","40","29.89","none","5.04","4.21","17.72","-21.90","-28.00","9.10","21.00"
"KCAWOODL8","2025-01-07T07:30","58.1","57.6","16.1","0","18","11","9","0","32.5","38","29.89","none","5.04","4.21","17.72","-28.00","-35.00","11.10","18.00"
"KCAWOODL8","2025-01-07T07:45","59","58.1","34","0","34","3","14","0","31.5","35.2","29.89","none","5.04","4.21","17.72","-17.90","-21.00","29.00","34.00"
"KCAWOODL8","2025-01-07T08:00","59.5","59","23","0","23","2","3","0","31.6","34.9","29.91","none","5.04","4.21","17.72","-30.90","-34.00","23.00","23.00"
"KCAWOODL8","2025-01-07T08:15","59.9","59.5","25.9","0","26","7","3","0","30.9","33.3","29.92","none","5.04","4.21","17.72","-28.00","-36.00","25.90","26.00"
"KCAWOODL8","2025-01-07T08:30","59.9","59.2","19.9","0","26","8","19","0","30.7","33","29.93","none","5.04","4.21","17.72","-37.10","-41.00","19.90","26.00"
"KCAWOODL8","2025-01-07T08:45","59.2","58.6","16.1","0","20","7","8","0","31.1","34.9","29.93","none","5.04","4.21","17.72","-40.90","-46.00","16.10","20.00"
"KCAWOODL8","2025-01-07T09:00","59.5","58.6","16.1","0","21","7","4","0","31.2","35","29.94","none","5.04","4.21","17.72","-32.00","-40.00","13.10","21.00"
"KCAWOODL8","2025-01-07T09:15","60.1","59.5","28","0","28","5","7","0","31.5","34","29.94","none","5.04","4.21","17.72","-27.90","-35.00","25.00","28.00"
"KCAWOODL8","2025-01-07T09:30","59.7","59.4","23","0","27","11","25","0","31.5","34.6","29.95","none","5.04","4.21","17.72","-32.00","-37.00","20.00","27.00"
"KCAWOODL8","2025-01-07T09:45","59.5","59.4","25.1","0","33","7","20","0","31.8","35","29.96","none","5.04","4.21","17.72","-40.90","-39.00","22.10","33.00"
