Station,DateTime,Temperature Max,Temperature Min,Wind Speed Max,Wind Speed Min,Dew Point Max,Dew Point Min,Humidity Max,Humidity Min,Pressure Max,Pressure Min,Precipitation
"KLAX","1947-01-28T00:00","54","44","28","1","49","35","93","63","29.8","29.6","0.00"
"KLAX","1947-11-05T00:00","69","51","30","0","55","0","100","13","30.0","29.8","0.00"
"KLAX","1947-12-29T00:00","60","47","28","1","48","0","93","31","29.9","29.7","0.00"
"KLAX","1947-04-03T00:00","61","48","39","3","50","39","80","51","29.8","29.7","0.00"
"KLAX","1948-11-17T00:00","64","51","30","0","54","29","100","28","30.0","29.9","0.00"
"KLAX","1948-11-26T00:00","61","47","36","2","51","16","97","20","30.0","29.8","0.00"
"KLAX","1948-02-05T00:00","56","46","32","3","49","42","93","62","29.8","29.6","0.00"
"KLAX","1948-02-10T00:00","58","47","29","0","48","0","90","23","29.9","29.7","0.00"
"KLAX","1948-02-23T00:00","65","49","32","13","30","0","41","15","29.7","29.5","0.00"
"KLAX","1948-04-23T00:00","64","51","29","3","51","34","86","33","29.8","29.7","0.00"
"KLAX","1949-01-02T00:00","56","44","30","2","46","0","90","23","29.9","29.7","0.00"
"KLAX","1949-01-16T00:00","55","43","35","8","15","6","31","17","30.1","30.0","0.00"
"KLAX","1949-10-08T00:00","69","55","28","3","48","23","62","18","29.8","29.6","0.00"
"KLAX","1949-10-18T00:00","61","52","35","2","53","37","83","49","29.8","29.7","0.00"
"KLAX","1949-11-10T00:00","62","56","28","3","58","38","97","46","29.9","29.7","0.00"
"KLAX","1949-03-28T00:00","64","53","31","3","50","25","86","23","29.8","29.5","0.00"
"KLAX","1950-01-24T00:00","57","45","33","7","49","0","83","42","29.8","29.7","0.00"
"KLAX","1950-12-31T00:00","56","47","28","12","24","21","39","28","29.8","29.6","0.00"
"KLAX","1950-03-25T00:00","56","45","33","3","47","33","86","53","29.8","29.6","0.00"
"KLAX","1951-01-11T00:00","55","43","29","2","52","40","96","66","29.9","29.7","0.00"
"KLAX","1951-01-12T00:00","60","42","29","2","41","0","86","33","30.0","29.7","0.00"
"KLAX","1951-12-05T00:00","61","48","30","3","59","33","93","41","29.9","29.6","0.00"
"KLAX","1951-12-30T00:00","59","50","35","3","54","36","93","59","29.7","29.6","0.00"
"KLAX","1951-04-28T00:00","62","53","28","0","55","45","100","60","29.9","29.6","0.00"
"KLAX","1951-04-29T00:00","59","48","36","3","46","35","80","45","29.6","29.5","0.00"
"KLAX","1952-11-15T00:00","55","47","30","0","52","44","97","77","29.7","29.5","0.00"
"KLAX","1952-02-03T00:00","72","55","35","1","44","0","67","22","30.1","30.0","0.00"
"KLAX","1952-03-01T00:00","55","49","37","0","52","34","96","51","29.6","29.5","0.00"
"KLAX","1952-03-15T00:00","54","49","30","8","52","46","97","86","29.9","29.6","0.00"
"KLAX","1952-03-20T00:00","61","46","29","3","44","0","90","28","30.0","29.9","0.00"
"KLAX","1953-01-21T00:00","70","50","30","0","50","0","93","21","30.0","29.9","0.00"
"KLAX","1953-10-19T00:00","69","58","29","5","54","36","84","32","29.8","29.7","0.00"
"KLAX","1953-11-17T00:00","66","53","37","3","55","26","96","32","29.8","29.7","0.00"
"KLAX","1953-11-18T00:00","65","50","29","6","31","10","45","13","30.0","29.8","0.00"
"KLAX","1953-11-20T00:00","60","49","30","2","47","25","93","31","29.9","29.8","0.00"
"KLAX","1953-12-04T00:00","63","53","30","3","55","19","100","22","30.0","29.7","0.00"
"KLAX","1953-02-05T00:00","75","49","30","0","50","26","97","20","29.9","29.8","0.00"
"KLAX","1953-02-08T00:00","67","53","35","0","53","0","89","21","29.7","29.6","0.00"
"KLAX","1953-02-18T00:00","65","52","30","10","36","16","44","16","30.0","29.8","0.00"
"KLAX","1953-03-01T00:00","56","44","31","0","41","0","89","45","29.7","29.6","0.00"
"KLAX","1953-04-08T00:00","57","46","28","0","42","0","66","34","30.0","29.8","0.00"
"KLAX","1953-05-01T00:00","66","51","28","0","48","0","86","22","30.0","29.9","0.00"
"KLAX","1953-05-09T00:00","67","56","35","3","48","0","70","21","30.0","29.9","0.00"
"KLAX","1954-02-13T00:00","56","51","28","3","56","47","100","77","29.9","29.7","0.00"
"KLAX","1954-02-14T00:00","58","50","32","0","53","36","93","56","30.0","29.8","0.00"
"KLAX","1954-03-16T00:00","60","45","35","0","48","40","100","47","29.8","29.6","0.00"
"KLAX","1954-04-30T00:00","62","54","28","3","52","45","89","56","29.7","29.6","0.00"
"KLAX","1955-12-02T00:00","59","51","29","3","48","34","83","48","29.9","29.8","0.00"
"KLAX","1955-02-02T00:00","57","45","37","12","30","11","50","19","30.0","29.9","0.00"
"KLAX","1955-04-02T00:00","65","51","30","7","50","10","80","12","29.9","29.8","0.00"
"KLAX","1955-04-10T00:00","69","49","32","0","54","19","100","18","29.9","29.8","0.00"
"KLAX","1955-04-11T00:00","82","60","30","13","47","0","56","9","29.9","29.8","0.00"
"KLAX","1955-04-18T00:00","59","52","32","9","49","27","86","37","29.9","29.8","0.00"
"KLAX","1955-04-26T00:00","60","51","30","5","52","24","100","29","29.9","29.9","0.00"
"KLAX","1956-01-16T00:00","65","54","28","0","53","0","97","23","29.8","29.7","0.00"
"KLAX","1956-01-26T00:00","57","54","29","3","57","54","100","96","29.9","29.8","0.00"
"KLAX","1956-10-31T00:00","66","54","33","0","52","25","87","30","29.9","29.8","0.00"
"KLAX","1956-12-21T00:00","64","47","28","0","50","0","80","21","29.9","29.7","0.00"
"KLAX","1956-03-06T00:00","63","48","35","0","45","0","74","10","30.1","29.9","0.00"
"KLAX","1956-04-01T00:00","58","46","35","0","42","34","71","44","29.7","29.6","0.00"
"KLAX","1957-12-05T00:00","59","51","32","3","53","46","93","64","30.0","29.8","0.00"
"KLAX","1957-03-13T00:00","66","52","29","0","49","22","80","19","29.9","29.8","0.00"
"KLAX","1957-03-21T00:00","63","54","37","0","51","20","86","26","30.0","29.9","0.00"
"KLAX","1957-04-01T00:00","69","55","35","0","52","0","89","21","29.8","29.7","0.00"
"KLAX","1957-05-14T00:00","66","58","36","3","55","46","87","50","29.9","29.8","0.00"
"KLAX","1957-05-19T00:00","67","57","28","2","60","47","97","52","29.8","29.7","0.00"
"KLAX","1958-11-15T00:00","62","48","31","8","42","23","53","25","29.8","29.6","0.00"
"KLAX","1958-02-25T00:00","66","55","35","7","56","42","97","52","29.9","29.7","0.00"
"KLAX","1958-04-03T00:00","63","55","30","9","55","38","87","46","29.8","29.6","0.00"
"KLAX","1958-04-06T00:00","60","48","31","2","50","43","89","62","29.9","29.6","0.00"
"KLAX","1958-05-22T00:00","75","58","28","0","59","54","87","55","29.8","29.7","0.00"
"KLAX","1959-01-06T00:00","65","53","31","2","55","51","97","63","30.0","29.6","0.00"
"KLAX","1959-10-29T00:00","72","56","29","0","60","18","93","16","29.7","29.5","0.00"
"KLAX","1959-12-13T00:00","59","51","35","6","49","0","86","23","29.9","29.8","0.00"
"KLAX","1959-12-25T00:00","62","53","32","3","54","0","96","38","29.9","29.5","0.00"
"KLAX","1959-12-31T00:00","58","46","30","7","42","0","64","23","29.8","29.6","0.00"
"KLAX","1959-03-24T00:00","68","55","29","6","50","31","60","29","29.9","29.9","0.00"
"KLAX","1959-05-03T00:00","66","55","32","0","50","39","83","43","29.9","29.8","0.00"
"KLAX","1960-02-09T00:00","60","53","29","13","51","44","81","67","29.8","29.8","0.00"
"KLAX","1960-02-10T00:00","59","51","29","6","49","35","86","47","29.8","29.7","0.00"
"KLAX","1960-02-18T00:00","60","45","29","3","50","36","83","59","30.0","29.7","0.00"
"KLAX","1961-10-28T00:00","70","56","29","0","56","0","90","0","29.8","29.6","0.00"
"KLAX","1961-03-15T00:00","60","51","36","0","56","42","93","60","29.9","29.8","0.00"
"KLAX","1961-04-23T00:00","62","47","31","5","45","0","74","32","30.0","29.8","0.00"
"KLAX","1961-05-11T00:00","66","53","29","2","48","43","77","43","29.9","29.9","0.00"
"KLAX","1961-05-12T00:00","66","50","30","0","47","30","77","27","29.9","29.8","0.00"
"KLAX","1962-01-20T00:00","57","50","28","7","56","40","97","68","29.8","29.5","0.00"
"KLAX","1962-11-16T00:00","65","47","28","0","53","0","93","25","30.0","29.8","0.00"
"KLAX","1962-03-09T00:00","56","48","35","2","50","0","93","48","29.8","29.6","0.00"
"KLAX","1962-04-20T00:00","72","56","28","6","50","0","72","33","29.9","29.7","0.00"
"KLAX","1963-11-21T00:00","62","52","28","2","50","0","86","30","30.0","29.6","0.00"
"KLAX","1963-12-09T00:00","62","51","31","2","50","35","86","47","29.7","29.6","0.00"
"KLAX","1963-03-02T00:00","68","51","29","3","56","0","93","0","29.8","29.6","0.00"
