StationCode,StationName,StationFullAddress,Lat,Lng,FireDistanceMiles,KCATOPANDistanceMiles,KLAXDistanceMiles,Anomaly
KCAPACIF287,Alphabet Streets,"Alphabet Streets, Pacific Palisades, CA 90272",34.08066,-118.54459,0.84,3.15,12.37,false
KCALOSAN1231,Bel Air,"Bel Air, Los Angeles, CA 90077",34.10536,-118.45591,6.18,8.35,11.64,false
KCALOSAN902,Bel Air,"Bel Air, Los Angeles, CA 90077",34.10536,-118.45591,6.18,8.35,11.64,false
KCABEVER36,Benedict Canyon/Mulholland,"13211 Mulholland Drive, Beverly Hills, CA 90210",34.128809,-118.420488,8.64,10.71,12.95,false
KCALOSAN1246,Beverly Crest,"Beverly Crest, Los Angeles, CA 90210",34.10251,-118.41505,8.40,10.63,11.12,false
KCALOSAN724,Brentwood,"Brentwood, Los Angeles, CA 90049",34.08749,-118.48976,4.01,6.29,11.10,false
KCALOSAN1017,Brentwood,"Brentwood, Los Angeles, CA 90049",34.08749,-118.48976,4.01,6.29,11.10,false
KCALOSAN895,Brentwood,"Brentwood, Los Angeles, CA 90049",34.08749,-118.48976,4.01,6.29,11.10,false
KCALOSAN938,Brentwood,"Brentwood, Los Angeles, CA 90049",34.08749,-118.48976,4.01,6.29,11.10,false
KCAMALIB166,Broad Beach,"31250 Broad Beach Rd, Malibu, CA 90265",34.031246,-118.788193,13.52,11.39,22.62,false
KCACALAB70,Calabasas Highlands,"Calabasas Highlands, Calabasas, CA 91302",34.12295,-118.67193,7.13,4.95,19.61,false
KCALOSAN872,Del Rey,"Del Rey, Los Angeles, CA 90066",34.00166,-118.43104,9.07,11.19,4.35,false
KCAENCIN812,Encino,"Encino, CA 91436",34.15219,-118.49053,6.40,7.83,15.29,false
KCATOPAN68,Fernwood,"913 Fernwood Pacific Drive, Topanga, CA 90290",34.0812,-118.60405,2.58,0.31,14.78,false
KCATOPAN8,L.A.Co.F.D. Helistop 69Bravo,"401 S. Topanga Cyn Blvd, Topanga, CA 90290",34.0837306,-118.5995221,2.34,0.00,14.70,true
KCAMALIB140,Latigo Canyon,"5092 Latigo Canyon Road, Malibu, CA 90265",34.0385,-119.2294,38.47,36.19,47.50,false
KCAMALIB162,Latigo Canyon,"5092 Latigo Canyon Road, Malibu, CA 90265",34.0385,-119.2294,38.47,36.19,47.50,false
KCALOSAN803,Lower Bel Air,"Lower Bel Air, Los Angeles, CA 90077",34.10536,-118.45591,6.18,8.35,11.64,false
KCAMALIB108,Malibu,"Malibu, CA 90265",34.031246,-118.788193,13.52,11.39,22.62,false
KCAMALIB114,Malibu,"Malibu, CA 90265",34.031246,-118.788193,13.52,11.39,22.62,false
KCAMALIB147,Malibu,"Malibu, CA 90265",34.031246,-118.788193,13.52,11.39,22.62,false
KCAMALIB87,Malibu,"Malibu, CA 90265",34.031246,-118.788193,13.52,11.39,22.62,false
KCAMALIB62,Malibu Country Estates,"Malibu Country Estates, Malibu, CA 90265",34.031246,-118.788193,13.52,11.39,22.62,false
KCAMALIB61,Malibu Springs - Vedder,"Malibu Springs - Vedder, Malibu, CA 90265",34.031246,-118.788193,13.52,11.39,22.62,false
