"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCALOSAN364","2025-01-07T00:00",53.8,1.1,2.2,53.6,0,1.1
"KCALOSAN364","2025-01-07T00:15",53.8,1.1,2.2,53.6,0,1.1
"KCALOSAN364","2025-01-07T00:30",53.8,0.9,1.1,53.6,0,0
"KCALOSAN364","2025-01-07T00:45",53.4,0,0,52.7,0,0
"KCALOSAN364","2025-01-07T01:00",53.4,0,1.1,52.5,0,0
"KCALOSAN364","2025-01-07T01:15",52.2,0,0,52.2,0,0
"KCALOSAN364","2025-01-07T01:30",51.8,0,0,51.8,0,0
"KCALOSAN364","2025-01-07T01:45",51.4,0,0,51.3,0,0
"KCALOSAN364","2025-01-07T02:00",51.6,0,0,51.1,0,0
"KCALOSAN364","2025-01-07T02:15",50.7,0,0,50.7,0,0
"KCALOSAN364","2025-01-07T02:30",50.9,0.7,1.1,50.7,0,0
"KCALOSAN364","2025-01-07T02:45",50.5,0,0,50.4,0,0
"KCALOSAN364","2025-01-07T03:00",50,0,0,49.5,0,0
"KCALOSAN364","2025-01-07T03:15",49.5,0,0,48.4,0,0
"KCALOSAN364","2025-01-07T03:30",49.3,0,0,48.6,0,0
"KCALOSAN364","2025-01-07T03:45",49.3,0,1.1,49.3,0,0
"KCALOSAN364","2025-01-07T04:00",49.3,0,0,49.1,0,0
"KCALOSAN364","2025-01-07T04:15",49.5,0,0,49.5,0,0
"KCALOSAN364","2025-01-07T04:30",48.9,0,0,48.2,0,0
"KCALOSAN364","2025-01-07T04:45",47.7,0.5,1.1,47.1,0,0
"KCALOSAN364","2025-01-07T05:00",47.7,0,0,47.1,0,0
"KCALOSAN364","2025-01-07T05:15",48,1.3,2.2,47.3,0,0
"KCALOSAN364","2025-01-07T05:30",47.7,0,0,47.1,0,0
"KCALOSAN364","2025-01-07T05:45",47.8,0,0,47.3,0,0
"KCALOSAN364","2025-01-07T06:00",48.4,0,0,47.7,0,0
"KCALOSAN364","2025-01-07T06:15",50.5,0,2.2,50.5,0,2.2
"KCALOSAN364","2025-01-07T06:30",52.3,0,2.2,51.6,0,0
"KCALOSAN364","2025-01-07T06:45",51.1,0,0,50.9,0,0
"KCALOSAN364","2025-01-07T07:00",50.9,0,0,50.9,0,0
"KCALOSAN364","2025-01-07T07:15",51.6,0.2,1.1,51.3,0,0
"KCALOSAN364","2025-01-07T07:30",54.7,0.7,1.1,52,0,0
"KCALOSAN364","2025-01-07T07:45",57.7,1.8,5.8,55,0,0
"KCALOSAN364","2025-01-07T08:00",60.6,1.3,3.4,57.9,0,1.1
"KCALOSAN364","2025-01-07T08:15",62.6,2.5,5.8,61.3,0.2,3.4
"KCALOSAN364","2025-01-07T08:30",63.3,2.5,3.4,63.3,2.5,3.4
"KCALOSAN364","2025-01-07T08:45",63.7,2.5,11.4,63.1,0.9,4.5
"KCALOSAN364","2025-01-07T09:00",63.9,4,8.1,63.7,1.1,4.5
"KCALOSAN364","2025-01-07T09:15",64,6,9.2,64,1.6,4.5
"KCALOSAN364","2025-01-07T09:30",65.1,3.8,13.7,65.1,3.4,6.9
"KCALOSAN364","2025-01-07T09:45",66.7,3.6,8.1,65.3,3.4,6.9
"KCALOSAN364","2025-01-07T10:00",67.1,6.9,10.3,65.8,1.1,6.9
"KCALOSAN364","2025-01-07T10:15",67.1,4.9,18.3,66.2,2.9,6.9
"KCALOSAN364","2025-01-07T10:30",66.7,5.4,17.2,65.7,2.7,8.1
"KCALOSAN364","2025-01-07T10:45",67.1,6.9,10.3,65.8,1.1,6.9
"KCALOSAN364","2025-01-07T11:00",67.8,5.8,10.3,67.6,5.8,9.2
"KCALOSAN364","2025-01-07T11:15",69.6,5.8,15.9,68.4,2.2,6.9
"KCALOSAN364","2025-01-07T11:30",69.3,4.9,14.8,68,3.4,5.8
"KCALOSAN364","2025-01-07T11:45",70.2,7.8,12.5,68.2,1.6,4.5
"KCALOSAN364","2025-01-07T12:00",70.5,5.6,15.9,69.8,2.5,6.9
"KCALOSAN364","2025-01-07T12:15",70.5,6.9,14.8,70.3,2,9.2
"KCALOSAN364","2025-01-07T12:30",70.9,7.4,12.5,70.5,3.4,8.1
"KCALOSAN364","2025-01-07T12:45",72.3,5.4,10.3,71.8,0.7,4.5
"KCALOSAN364","2025-01-07T13:00",72.7,5.1,12.5,72.1,1.3,5.8
"KCALOSAN364","2025-01-07T13:15",73.8,2.5,5.8,73.8,2.5,5.8
"KCALOSAN364","2025-01-07T13:30",73.6,4.9,13.7,72.9,1.6,5.8
"KCALOSAN364","2025-01-07T13:45",72.1,3.6,12.5,72.1,3.6,12.5
"KCALOSAN364","2025-01-07T14:00",73.2,8.5,12.5,72.1,0.7,6.9
"KCALOSAN364","2025-01-07T14:15",72.5,6.9,15.9,71.4,1.3,5.8
"KCALOSAN364","2025-01-07T14:30",71.4,5.8,14.8,70.9,2.9,6.9
"KCALOSAN364","2025-01-07T14:45",71.4,6.5,13.7,70.9,1.8,6.9
"KCALOSAN364","2025-01-07T15:00",71.1,7.4,20.6,70.5,3.1,9.2
"KCALOSAN364","2025-01-07T15:15",70.7,8.3,12.5,70.5,2.2,6.9
"KCALOSAN364","2025-01-07T15:30",70.7,8.5,13.7,70.2,2.7,5.8
"KCALOSAN364","2025-01-07T15:45",70,5.4,11.4,69.6,4.5,8.1
"KCALOSAN364","2025-01-07T16:00",69.4,6.3,12.5,68.9,3.1,11.4
"KCALOSAN364","2025-01-07T16:15",68.4,6.5,10.3,68.2,2.5,8.1
"KCALOSAN364","2025-01-07T16:30",67.6,8.1,13.7,67.6,3.1,4.5
"KCALOSAN364","2025-01-07T16:45",67.5,6,11.4,67.1,1.1,4.5
"KCALOSAN364","2025-01-07T17:00",66.7,2,3.4,66.7,2,3.4
"KCALOSAN364","2025-01-07T17:15",66.7,5.1,11.4,66.4,1.1,4.5
"KCALOSAN364","2025-01-07T17:30",66,2.5,8.1,65.7,1.1,3.4
"KCALOSAN364","2025-01-07T17:45",66,3.6,13.7,65.7,2,5.8
"KCALOSAN364","2025-01-07T18:00",66,6,11.4,65.7,1.3,4.5
"KCALOSAN364","2025-01-07T18:15",66,5.6,15.9,65.7,1.6,6.9
"KCALOSAN364","2025-01-07T18:30",66,4.9,14.8,65.7,1.6,6.9
"KCALOSAN364","2025-01-07T18:45",65.8,9.2,13.7,65.7,4.5,9.2
"KCALOSAN364","2025-01-07T19:00",65.8,6.3,15.9,65.7,3.6,10.3
"KCALOSAN364","2025-01-07T19:15",65.7,6.7,15.9,65.7,4,11.4
"KCALOSAN364","2025-01-07T19:30",65.7,5.8,14.8,65.1,2.2,8.1
"KCALOSAN364","2025-01-07T19:45",65.1,6.3,15.9,65.1,4,8.1
"KCALOSAN364","2025-01-07T20:00",65.1,6.9,14.8,64.8,3.8,9.2
"KCALOSAN364","2025-01-07T20:15",64.6,8.5,13.7,64.2,3.1,9.2
"KCALOSAN364","2025-01-07T20:30",64.2,10.3,20.6,64,1.8,9.2
"KCALOSAN364","2025-01-07T20:45",64.2,5.6,15.9,63.9,2.9,8.1
"KCALOSAN364","2025-01-07T21:00",63.9,11.2,15.9,63.9,6,14.8
