"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCASANTA3310","2025-01-07T00:00",54,0.7,1.1,54,0,1.1
"KCASANTA3310","2025-01-07T00:15",54,1.1,1.1,53.6,0,0
"KCASANTA3310","2025-01-07T00:30",53.6,0.7,1.1,53.2,0,0
"KCASANTA3310","2025-01-07T00:45",53.6,1.6,2.2,52.5,0,0
"KCASANTA3310","2025-01-07T01:00",53.1,1.8,2.2,52,0,0
"KCASANTA3310","2025-01-07T01:15",52.5,1.8,2.2,52,0,0
"KCASANTA3310","2025-01-07T01:30",52.9,1.1,2.2,52.5,0,0
"KCASANTA3310","2025-01-07T01:45",53.1,0.7,1.1,52.2,0,0
"KCASANTA3310","2025-01-07T02:00",52.5,0,0,52.3,0,0
"KCASANTA3310","2025-01-07T02:15",52.5,1.1,2.2,52.2,0,0
"KCASANTA3310","2025-01-07T02:30",52.5,2.2,2.2,52.2,0,0
"KCASANTA3310","2025-01-07T02:45",52.5,1.1,2.2,52.2,0,0
"KCASANTA3310","2025-01-07T03:00",52.3,1.8,2.2,51.4,0,0
"KCASANTA3310","2025-01-07T03:15",52,1.3,2.2,51.6,0,0
"KCASANTA3310","2025-01-07T03:30",52.7,2.2,2.2,51.8,0,0
"KCASANTA3310","2025-01-07T03:45",51.8,0,0,50.5,0,0
"KCASANTA3310","2025-01-07T04:00",51.8,1.6,2.2,50.7,0,0
"KCASANTA3310","2025-01-07T04:15",52,0,0,50.9,0,0
"KCASANTA3310","2025-01-07T04:30",51.8,1.8,2.2,49.3,0,0
"KCASANTA3310","2025-01-07T04:45",50.7,1.8,2.2,49.3,0,0
"KCASANTA3310","2025-01-07T05:00",50.2,1.6,2.2,49.5,0,0
"KCASANTA3310","2025-01-07T05:15",49.8,0.7,1.1,48.6,0,0
"KCASANTA3310","2025-01-07T05:30",49.1,1.3,2.2,48.4,0,0
"KCASANTA3310","2025-01-07T05:45",48.7,1.3,2.2,48.4,0,0
"KCASANTA3310","2025-01-07T06:00",48.4,0,0,48,0,0
"KCASANTA3310","2025-01-07T06:15",51.3,1.8,2.2,48,0,0
"KCASANTA3310","2025-01-07T06:30",54.7,2.2,3.4,51.4,0,1.1
"KCASANTA3310","2025-01-07T06:45",57.4,4,5.8,54.9,0.4,2.2
"KCASANTA3310","2025-01-07T07:00",58.1,4,6.9,56.1,0,0
"KCASANTA3310","2025-01-07T07:15",56.7,3.4,4.5,54,0,1.1
"KCASANTA3310","2025-01-07T07:30",55.2,2.5,3.4,54.1,0,0
"KCASANTA3310","2025-01-07T07:45",58.5,3.8,5.8,55,0,1.1
"KCASANTA3310","2025-01-07T08:00",63.7,9.8,15.9,58.6,2,3.4
"KCASANTA3310","2025-01-07T08:15",64.4,10.3,14.8,63.7,2,10.3
"KCASANTA3310","2025-01-07T08:30",64.4,11.2,17.2,63.9,2.5,9.2
"KCASANTA3310","2025-01-07T08:45",64.2,11.4,22.8,63.9,3.6,11.4
"KCASANTA3310","2025-01-07T09:00",64.6,12.3,18.3,64.2,1.8,12.5
"KCASANTA3310","2025-01-07T09:15",65.3,12.3,20.6,64.6,3.4,10.3
"KCASANTA3310","2025-01-07T09:30",65.7,12.8,18.3,65.3,4,11.4
"KCASANTA3310","2025-01-07T09:45",65.8,14.8,23.9,64.8,3.1,11.4
"KCASANTA3310","2025-01-07T10:00",65.5,14.3,22.8,64.6,3.8,10.3
"KCASANTA3310","2025-01-07T10:15",64.8,12.1,18.3,64.4,3.1,10.3
"KCASANTA3310","2025-01-07T10:30",65.7,12.1,21.7,64.6,2.5,8.1
"KCASANTA3310","2025-01-07T10:45",65.8,10.5,18.3,65.5,1.6,9.2
"KCASANTA3310","2025-01-07T11:00",66.9,7.6,12.5,65.5,0.7,4.5
"KCASANTA3310","2025-01-07T11:15",67.6,8.1,12.5,66.9,1.3,5.8
"KCASANTA3310","2025-01-07T11:30",68,10.1,14.8,67.6,1.6,8.1
