"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCAMALIB87","2025-01-07T00:00",55.6,3,4,55.6,2,4
"KCAMALIB87","2025-01-07T00:15",55.5,2,4,55,1,4
"KCAMALIB87","2025-01-07T00:30",55.1,2,4,54.9,0,3
"KCAMALIB87","2025-01-07T00:45",54.8,2,3,54.4,1,3
"KCAMALIB87","2025-01-07T01:00",54.3,4,5,53.8,2,5
"KCAMALIB87","2025-01-07T01:15",53.8,3,4,53.4,2,4
"KCAMALIB87","2025-01-07T01:30",54,3,4,53.5,3,3
"KCAMALIB87","2025-01-07T01:45",53.2,4,7,53,2,5
"KCAMALIB87","2025-01-07T02:00",53,2,4,52.8,1,3
"KCAMALIB87","2025-01-07T02:15",53.7,3,3,52.8,1,3
"KCAMALIB87","2025-01-07T02:30",53.8,3,5,53,2,3
"KCAMALIB87","2025-01-07T02:45",54.2,3,5,53.6,2,5
"KCAMALIB87","2025-01-07T03:00",54.6,3,5,54.3,2,4
"KCAMALIB87","2025-01-07T03:15",54.8,4,5,54.5,2,4
"KCAMALIB87","2025-01-07T03:30",55.1,2,4,54.9,1,4
"KCAMALIB87","2025-01-07T03:45",55.9,4,5,55,3,4
"KCAMALIB87","2025-01-07T04:00",59.2,6,9,57.2,5,8
"KCAMALIB87","2025-01-07T04:15",60.2,6,13,59.7,5,10
"KCAMALIB87","2025-01-07T04:30",60.9,8,14,60.5,4,12
"KCAMALIB87","2025-01-07T04:45",62.7,10,15,61.3,6,13
"KCAMALIB87","2025-01-07T05:00",62.9,11,13,62.8,6,12
"KCAMALIB87","2025-01-07T05:15",62.8,7,12,62.4,1,11
"KCAMALIB87","2025-01-07T05:30",62.4,5,12,62.3,2,9
"KCAMALIB87","2025-01-07T05:45",62.2,6,12,62.1,2,8
"KCAMALIB87","2025-01-07T06:00",62,4,10,62,2,8
"KCAMALIB87","2025-01-07T06:15",62.1,4,10,62,3,10
"KCAMALIB87","2025-01-07T06:30",62.1,9,12,61.8,2,8
"KCAMALIB87","2025-01-07T06:45",61.9,9,12,61.5,4,10
"KCAMALIB87","2025-01-07T07:00",61.5,8,12,61.2,5,11
"KCAMALIB87","2025-01-07T07:15",61.4,5,12,61.2,5,12
"KCAMALIB87","2025-01-07T07:30",62.5,14,24,61.5,8,11
"KCAMALIB87","2025-01-07T07:45",63.1,8,24,62.7,4,20
"KCAMALIB87","2025-01-07T08:00",63.7,10,27,63.2,8,20
"KCAMALIB87","2025-01-07T08:15",63.9,14,23,63.5,11,20
"KCAMALIB87","2025-01-07T08:30",63.3,16,25,63.2,3,19
"KCAMALIB87","2025-01-07T08:45",63.2,10,25,63.2,8,23
"KCAMALIB87","2025-01-07T09:00",63.3,13,21,63.1,11,20
"KCAMALIB87","2025-01-07T09:15",63.6,20,27,63.4,5,22
"KCAMALIB87","2025-01-07T09:30",63.8,15,30,63.6,6,29
"KCAMALIB87","2025-01-07T09:45",63.2,14,30,62.8,11,25
"KCAMALIB87","2025-01-07T10:00",62.7,12,31,62.6,4,30
"KCAMALIB87","2025-01-07T10:15",63.2,15,26,62.8,5,23
"KCAMALIB87","2025-01-07T10:30",63.2,9,26,63.1,5,20
"KCAMALIB87","2025-01-07T10:45",63.7,21,26,63.2,11,25
"KCAMALIB87","2025-01-07T11:00",64.6,17,25,63.8,9,21
"KCAMALIB87","2025-01-07T11:15",65.3,12,25,65,10,19
"KCAMALIB87","2025-01-07T11:30",66.5,15,17,65.8,5,16
"KCAMALIB87","2025-01-07T11:45",66.5,12,18,66.2,3,17
"KCAMALIB87","2025-01-07T12:00",67,11,19,66.9,4,17
"KCAMALIB87","2025-01-07T12:15",68.3,5,17,67.4,2,13
"KCAMALIB87","2025-01-07T12:30",68.3,12,22,68,6,19
"KCAMALIB87","2025-01-07T12:45",69.3,11,19,68.5,9,14
"KCAMALIB87","2025-01-07T13:00",69.7,10,19,69.5,3,14
"KCAMALIB87","2025-01-07T13:15",70.1,11,23,69.4,6,18
"KCAMALIB87","2025-01-07T13:30",69.6,16,23,69.3,3,19
"KCAMALIB87","2025-01-07T13:45",69.4,16,26,69.1,5,18
"KCAMALIB87","2025-01-07T14:00",69.5,20,22,69.2,8,21
"KCAMALIB87","2025-01-07T14:15",69.2,14,26,69.2,9,24
"KCAMALIB87","2025-01-07T14:30",69.2,11,26,69.1,3,21
"KCAMALIB87","2025-01-07T14:45",69,9,24,68.9,2,24
"KCAMALIB87","2025-01-07T15:00",69.4,8,24,69,5,22
"KCAMALIB87","2025-01-07T15:15",69,13,26,68.6,4,22
"KCAMALIB87","2025-01-07T15:30",68.6,18,29,68.5,8,22
"KCAMALIB87","2025-01-07T15:45",68.5,10,23,68.4,9,20
"KCAMALIB87","2025-01-07T16:00",68.3,13,23,67.9,7,20
"KCAMALIB87","2025-01-07T16:15",67.7,11,25,67.2,7,21
"KCAMALIB87","2025-01-07T16:30",66.9,14,21,66.6,6,21
"KCAMALIB87","2025-01-07T16:45",66.5,17,27,66.4,10,23
"KCAMALIB87","2025-01-07T17:00",66.5,19,34,66.3,5,29
"KCAMALIB87","2025-01-07T17:15",66.1,16,29,66.1,8,29
"KCAMALIB87","2025-01-07T17:30",65.9,17,27,65.7,7,26
"KCAMALIB87","2025-01-07T17:45",65.8,18,30,65.6,10,27
"KCAMALIB87","2025-01-07T18:00",65.6,26,31,65.4,12,28
"KCAMALIB87","2025-01-07T18:15",65.5,15,32,65.4,10,27
"KCAMALIB87","2025-01-07T18:30",65.4,16,32,65.2,4,29
"KCAMALIB87","2025-01-07T18:45",65.3,13,25,65.1,4,24
"KCAMALIB87","2025-01-07T19:00",65.1,12,20,64.9,4,19
"KCAMALIB87","2025-01-07T19:15",64.9,21,28,64.7,11,21
"KCAMALIB87","2025-01-07T19:30",64.8,18,36,64.4,5,33
"KCAMALIB87","2025-01-07T19:45",64,9,36,63.7,0,26
"KCAMALIB87","2025-01-07T20:00",63.6,11,20,63.4,3,16
"KCAMALIB87","2025-01-07T20:15",63.4,7,20,63,2,17
"KCAMALIB87","2025-01-07T20:30",62.9,10,14,62.7,2,14
"KCAMALIB87","2025-01-07T20:45",62.7,10,21,62.6,1,16
"KCAMALIB87","2025-01-07T21:00",62.7,8,24,62.5,1,18
"KCAMALIB87","2025-01-07T21:15",62.7,8,24,62.5,1,18
"KCAMALIB87","2025-01-07T21:30",62.7,8,24,62.5,1,18
"KCAMALIB87","2025-01-07T21:45",62.7,8,24,62.5,1,18
