"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCASANTA4711","2025-01-07T00:00",46.8,0,0,46.6,0,0
"KCASANTA4711","2025-01-07T00:15",46.8,0,0,46.6,0,0
"KCASANTA4711","2025-01-07T00:30",46.8,0,0,46.2,0,0
"KCASANTA4711","2025-01-07T00:45",46.8,0,0,46.2,0,0
"KCASANTA4711","2025-01-07T01:00",46.8,0,0,46,0,0
"KCASANTA4711","2025-01-07T01:15",46.6,0,0,46,0,0
"KCASANTA4711","2025-01-07T01:30",46.4,0,0,46,0,0
"KCASANTA4711","2025-01-07T01:45",46.4,0,0,46.2,0,0
"KCASANTA4711","2025-01-07T02:00",46.4,0,0,46,0,0
"KCASANTA4711","2025-01-07T02:15",46.2,0,0,45.9,0,0
"KCASANTA4711","2025-01-07T02:30",45.7,0,0,45.3,0,0
"KCASANTA4711","2025-01-07T02:45",45.5,0,0,45,0,0
"KCASANTA4711","2025-01-07T03:00",45,0,0,44.8,0,0
"KCASANTA4711","2025-01-07T03:15",44.8,0,0,44.4,0,0
"KCASANTA4711","2025-01-07T03:30",44.6,0,0,43.9,0,0
"KCASANTA4711","2025-01-07T03:45",44.1,0,0,43.7,0,0
"KCASANTA4711","2025-01-07T04:00",44.1,0,0,43.7,0,0
"KCASANTA4711","2025-01-07T04:15",44.2,0,0,43.7,0,0
"KCASANTA4711","2025-01-07T04:30",44.2,0,0,43.7,0,0
"KCASANTA4711","2025-01-07T04:45",43.9,0,0,43.7,0,0
"KCASANTA4711","2025-01-07T05:00",43.9,0,0,43.5,0,0
"KCASANTA4711","2025-01-07T05:15",44.2,0,0,43.5,0,0
"KCASANTA4711","2025-01-07T05:30",44.2,0,0,43.9,0,0
"KCASANTA4711","2025-01-07T05:45",44.4,0,0,44.1,0,0
"KCASANTA4711","2025-01-07T06:00",45.5,0,0,44.1,0,0
"KCASANTA4711","2025-01-07T06:15",47.7,0,0,45.5,0,0
"KCASANTA4711","2025-01-07T06:30",52,0,0,46.9,0,0
"KCASANTA4711","2025-01-07T06:45",54.5,0,0,51.6,0,0
"KCASANTA4711","2025-01-07T07:00",55.6,0,0,54.3,0,0
"KCASANTA4711","2025-01-07T07:15",57.4,0,0,55.4,0,0
"KCASANTA4711","2025-01-07T07:30",59,0,0,56.3,0,0
"KCASANTA4711","2025-01-07T07:45",60.1,0,0,58.1,0,0
"KCASANTA4711","2025-01-07T08:00",61.9,0,0,60.1,0,0
"KCASANTA4711","2025-01-07T08:15",62.8,0,0,61.9,0,0
"KCASANTA4711","2025-01-07T08:30",62.8,0,0,61.9,0,0
"KCASANTA4711","2025-01-07T08:45",62.2,0,0,61.9,0,0
"KCASANTA4711","2025-01-07T09:00",62.4,0,0,62.1,0,0
"KCASANTA4711","2025-01-07T09:15",63.5,2,2,62.4,0,0
