"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCATOPAN32","2025-01-07T00:00",56.3,1.3,2.2,55,0,0
"KCATOPAN32","2025-01-07T00:15",55,1.8,2.2,53.4,0,0
"KCATOPAN32","2025-01-07T00:30",53.4,3.1,3.4,51.8,0,0
"KCATOPAN32","2025-01-07T00:45",52,2.2,3.4,50.5,0,0
"KCATOPAN32","2025-01-07T01:00",50.5,1.3,2.2,48.7,0,0
"KCATOPAN32","2025-01-07T01:15",49.1,2.5,3.4,48.6,0,0
"KCATOPAN32","2025-01-07T01:30",49.6,2.2,2.2,49.1,0,0
"KCATOPAN32","2025-01-07T01:45",49.3,2.2,2.2,48.9,0,0
"KCATOPAN32","2025-01-07T02:00",51.1,4.5,4.5,48.2,0,0
"KCATOPAN32","2025-01-07T02:15",53.8,6,6.9,50.7,0,0
"KCATOPAN32","2025-01-07T02:30",54.1,9.6,12.5,52.3,0,0
"KCATOPAN32","2025-01-07T02:45",55.4,8.1,9.2,54,3.6,4.5
"KCATOPAN32","2025-01-07T03:00",54.9,6.9,8.1,53.6,2.2,2.2
"KCATOPAN32","2025-01-07T03:15",55.2,10.3,12.5,53.8,4,5.8
"KCATOPAN32","2025-01-07T03:30",56.8,14.5,17.2,55.2,4.5,6.9
"KCATOPAN32","2025-01-07T03:45",57.7,16.3,18.3,57,6.7,8.1
"KCATOPAN32","2025-01-07T04:00",58.3,17.9,22.8,57.7,7.4,9.2
"KCATOPAN32","2025-01-07T04:15",58.5,22.1,25.1,58.3,10.5,12.5
"KCATOPAN32","2025-01-07T04:30",58.8,19.2,22.8,58.5,8.5,10.3
"KCATOPAN32","2025-01-07T04:45",59.2,18.8,26.2,58.8,2.5,4.5
"KCATOPAN32","2025-01-07T05:00",59.2,19.2,23.9,58.6,6.7,10.3
"KCATOPAN32","2025-01-07T05:15",58.8,19.9,22.8,58.6,5.6,9.2
"KCATOPAN32","2025-01-07T05:30",58.8,22.6,26.2,58.6,5.4,8.1
"KCATOPAN32","2025-01-07T05:45",58.8,15.2,19.5,58.3,6.9,8.1
"KCATOPAN32","2025-01-07T06:00",58.5,14.5,17.2,58.1,7.6,8.1
"KCATOPAN32","2025-01-07T06:15",58.1,15.7,19.5,57.9,8.7,9.2
"KCATOPAN32","2025-01-07T06:30",57.9,14.8,19.5,57.6,6,9.2
"KCATOPAN32","2025-01-07T06:45",57.7,17,20.6,57.4,6.7,9.2
"KCATOPAN32","2025-01-07T07:00",57.9,17.4,23.9,57.7,8.5,10.3
"KCATOPAN32","2025-01-07T07:15",57.7,15.2,22.8,57.6,4.5,8.1
"KCATOPAN32","2025-01-07T07:30",57.9,10.7,13.6,57.6,0.9,1.1
"KCATOPAN32","2025-01-07T07:45",58.5,17.9,23.9,57.9,3.4,5.8
"KCATOPAN32","2025-01-07T08:00",58.6,17.9,23.9,58.3,4.9,10.3
"KCATOPAN32","2025-01-07T08:15",58.8,19.7,27.3,58.6,6.5,8.1
"KCATOPAN32","2025-01-07T08:30",58.8,20.8,30.9,58.6,4.5,8.1
"KCATOPAN32","2025-01-07T08:45",58.6,23.7,30.9,58.5,10.3,14.8
"KCATOPAN32","2025-01-07T09:00",58.6,27.1,30.9,58.5,9.6,13.6
