"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCAVENIC20","2025-01-07T00:00",50.4,0,0,49.8,0,0
"KCAVENIC20","2025-01-07T00:15",50.4,0,0,49.8,0,0
"KCAVENIC20","2025-01-07T00:30",49.5,0,0,49.3,0,0
"KCAVENIC20","2025-01-07T00:45",49.1,0,0,48.6,0,0
"KCAVENIC20","2025-01-07T01:00",49.6,1.1,1.1,49.1,0,0
"KCAVENIC20","2025-01-07T01:15",49.6,1.1,1.1,49.1,0,0
"KCAVENIC20","2025-01-07T01:30",49.8,0,0,49.3,0,0
"KCAVENIC20","2025-01-07T01:45",48.9,0,0,48.7,0,0
"KCAVENIC20","2025-01-07T02:00",48.9,0,0,48.6,0,0
"KCAVENIC20","2025-01-07T02:15",48.4,0,0,47.8,0,0
"KCAVENIC20","2025-01-07T02:30",48,0.9,1.1,47.7,0,0
"KCAVENIC20","2025-01-07T02:45",47.7,0,0,47.3,0,0
"KCAVENIC20","2025-01-07T03:00",47.7,0,0,47.3,0,0
"KCAVENIC20","2025-01-07T03:15",46.9,0,0,46.2,0,0
"KCAVENIC20","2025-01-07T03:30",46.2,0,0,46.2,0,0
"KCAVENIC20","2025-01-07T03:45",46.8,0,0,46.4,0,0
"KCAVENIC20","2025-01-07T04:00",46.4,0,0,46.4,0,0
"KCAVENIC20","2025-01-07T04:15",46,0,0,46,0,0
"KCAVENIC20","2025-01-07T04:30",46.2,0.7,1.1,45.7,0,0
"KCAVENIC20","2025-01-07T04:45",45.5,0.7,1.1,45.3,0,0
"KCAVENIC20","2025-01-07T05:00",45.5,0.9,1.1,45.3,0,0
"KCAVENIC20","2025-01-07T05:15",45.5,0.7,1.1,45.1,0,0
"KCAVENIC20","2025-01-07T05:30",44.6,0.7,1.1,44.6,0.7,1.1
"KCAVENIC20","2025-01-07T05:45",44.6,0,0,44.4,0,0
"KCAVENIC20","2025-01-07T06:00",44.6,1.1,1.1,44.2,0,0
"KCAVENIC20","2025-01-07T06:15",44.6,1.1,1.1,44.2,0,0
"KCAVENIC20","2025-01-07T06:30",44.8,1.1,1.1,44.6,0,0
"KCAVENIC20","2025-01-07T06:45",45.1,0,0,45.1,0,0
"KCAVENIC20","2025-01-07T07:00",46.4,0.2,1.1,45.7,0,0
"KCAVENIC20","2025-01-07T07:15",46.4,0.2,1.1,45.7,0,0
"KCAVENIC20","2025-01-07T07:30",46.9,0.7,1.1,46.4,0,0
"KCAVENIC20","2025-01-07T07:45",48.7,0,0,47.3,0,0
"KCAVENIC20","2025-01-07T08:00",56.3,1.8,3.4,48.6,0,0
"KCAVENIC20","2025-01-07T08:15",62.2,4.5,10.3,57.2,0.4,1.1
"KCAVENIC20","2025-01-07T08:30",62.6,3.8,4.5,62.6,1.6,2.2
"KCAVENIC20","2025-01-07T08:45",56.3,1.8,3.4,48.6,0,0
"KCAVENIC20","2025-01-07T09:00",64.2,5.8,10.3,63.7,1.1,2.2
"KCAVENIC20","2025-01-07T09:15",65.3,4.5,6.9,64.2,0.9,1.1
"KCAVENIC20","2025-01-07T09:30",65.7,6.5,12.5,65.5,2,4.5
"KCAVENIC20","2025-01-07T09:45",66.2,4.7,6.9,65.7,2.2,3.4
"KCAVENIC20","2025-01-07T10:00",67.5,6.5,10.3,66.2,1.3,2.2
"KCAVENIC20","2025-01-07T10:15",66.6,4.9,9.2,65.3,0.9,1.1
"KCAVENIC20","2025-01-07T10:30",67.3,4.5,8.1,65.7,0.9,2.2
"KCAVENIC20","2025-01-07T10:45",66.9,2.2,3.4,66.2,1.1,1.1
"KCAVENIC20","2025-01-07T11:00",67.6,3.4,5.8,67.6,3.4,5.8
"KCAVENIC20","2025-01-07T11:15",68.9,6.3,9.2,68.4,0.9,1.1
"KCAVENIC20","2025-01-07T11:30",69.3,7.6,12.5,69.1,0.4,1.1
"KCAVENIC20","2025-01-07T11:45",70.2,6,10.3,69.4,1.8,2.2
"KCAVENIC20","2025-01-07T12:00",71.4,4.9,8.1,70,0.4,1.1
"KCAVENIC20","2025-01-07T12:15",70.3,4.3,6.9,70.2,2.5,3.4
"KCAVENIC20","2025-01-07T12:30",71.1,5.6,11.4,70.2,1.1,1.1
"KCAVENIC20","2025-01-07T12:45",71.1,4.5,6.9,70.5,1.3,2.2
"KCAVENIC20","2025-01-07T13:00",71.4,3.1,5.8,70.7,1.1,1.1
"KCAVENIC20","2025-01-07T13:15",72.1,6.7,10.3,71.2,0.7,1.1
"KCAVENIC20","2025-01-07T13:30",72.3,4.5,11.4,72,2,2.2
"KCAVENIC20","2025-01-07T13:45",72,7.4,11.4,71.8,1.8,3.4
"KCAVENIC20","2025-01-07T14:00",71.8,4.7,8.1,71.4,2.5,3.4
"KCAVENIC20","2025-01-07T14:15",71.4,7.6,14.8,70.9,2.9,3.4
"KCAVENIC20","2025-01-07T14:30",71.4,5.8,8.1,71.1,1.6,2.2
"KCAVENIC20","2025-01-07T14:45",71.2,9.2,11.4,70.9,2.5,3.4
"KCAVENIC20","2025-01-07T15:00",71.4,9.8,15.9,70.9,1.8,3.4
"KCAVENIC20","2025-01-07T15:15",71.1,6.5,11.4,70.9,1.1,2.2
"KCAVENIC20","2025-01-07T15:30",70.9,10.3,20.6,70.7,2,3.4
"KCAVENIC20","2025-01-07T15:45",70.7,7.6,14.8,70.3,1.3,2.2
"KCAVENIC20","2025-01-07T16:00",70.3,5.8,8.1,69.4,2,2.2
"KCAVENIC20","2025-01-07T16:15",69.1,9.6,14.8,68.4,1.1,1.1
"KCAVENIC20","2025-01-07T16:30",68.4,4.3,8.1,68,2,4.5
"KCAVENIC20","2025-01-07T16:45",68,4.9,11.4,67.5,2,2.2
"KCAVENIC20","2025-01-07T17:00",67.5,4.9,8.1,67.1,3.4,4.5
"KCAVENIC20","2025-01-07T17:15",67.1,2.9,6.9,66.6,1.1,1.1
"KCAVENIC20","2025-01-07T17:30",66.9,8.5,13.6,66.7,2.5,4.5
"KCAVENIC20","2025-01-07T17:45",66.7,2.9,5.8,66.6,0.9,1.1
"KCAVENIC20","2025-01-07T18:00",66.6,8.1,12.5,66.2,1.1,1.1
"KCAVENIC20","2025-01-07T18:15",66.6,7.6,13.6,66.4,2.5,3.4
"KCAVENIC20","2025-01-07T18:30",66.6,8.1,13.6,66.6,3.1,5.8
"KCAVENIC20","2025-01-07T18:45",66.6,8.3,11.4,66.2,1.8,3.4
"KCAVENIC20","2025-01-07T19:00",66.6,6,12.5,66.4,3.8,6.9
"KCAVENIC20","2025-01-07T19:15",66.4,5.6,9.2,66,2.5,4.5
"KCAVENIC20","2025-01-07T19:30",66.2,7.6,11.4,65.8,2.9,3.4
"KCAVENIC20","2025-01-07T19:45",65.7,8.1,13.6,65.5,2.2,2.2
"KCAVENIC20","2025-01-07T20:00",65.7,8.9,17.2,65.5,2.7,4.5
"KCAVENIC20","2025-01-07T20:15",65.3,5.8,10.3,65.1,4.3,8.1
"KCAVENIC20","2025-01-07T20:30",65.1,10.5,13.6,64.9,3.6,5.8
"KCAVENIC20","2025-01-07T20:45",64.9,8.5,17.2,64.6,2.7,4.5
"KCAVENIC20","2025-01-07T21:00",64.6,10.5,18.3,64.6,10.5,18.3
"KCAVENIC20","2025-01-07T21:15",64.6,10.5,18.3,64.6,10.5,18.3
"KCAVENIC20","2025-01-07T21:30",64.4,13.6,21.7,64.4,3.4,4.5
"KCAVENIC20","2025-01-07T21:45",64.2,5.8,11.4,63.9,2.5,4.5
"KCAVENIC20","2025-01-07T22:00",63.7,9.2,12.5,63.5,6.9,11.4
"KCAVENIC20","2025-01-07T22:15",63.5,6.9,12.5,63.1,1.8,3.4
"KCAVENIC20","2025-01-07T22:30",63.3,8.5,13.6,63.1,1.1,1.1
"KCAVENIC20","2025-01-07T22:45",63.1,6.5,11.4,62.8,0.7,1.1
"KCAVENIC20","2025-01-07T23:00",63.1,8.3,10.3,63,1.6,2.2
"KCAVENIC20","2025-01-07T23:15",62.6,5.4,10.3,62.6,2.7,4.5
"KCAVENIC20","2025-01-07T23:30",62.6,5.4,9.2,62.6,2.2,4.5
"KCAVENIC20","2025-01-07T23:45",62.4,5.6,8.1,62.1,2.5,4.5
"KCAVENIC20","2025-01-08T00:00",62.1,4.5,10.3,61.9,1.8,3.4
"KCAVENIC20","2025-01-08T00:15",62.1,4.5,10.3,61.9,1.8,3.4
"KCAVENIC20","2025-01-08T00:30",62.1,4.5,10.3,61.9,1.8,3.4
"KCAVENIC20","2025-01-08T00:45",62.1,4.5,10.3,61.9,1.8,3.4
