"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCALOSAN902","2025-01-07T00:00",52.5,0.9,2.5,52.3,0.4,1.3
"KCALOSAN902","2025-01-07T00:15",52.2,1.1,2.2,52,0.2,0.7
"KCALOSAN902","2025-01-07T00:30",52.2,0.9,1.3,52,0.4,0.7
"KCALOSAN902","2025-01-07T00:45",52.2,1.3,1.6,52.2,0.7,0.7
"KCALOSAN902","2025-01-07T01:00",51.8,2.2,2.7,50.7,0.9,1.1
"KCALOSAN902","2025-01-07T01:15",51.1,1.1,1.3,50.9,0,0
"KCALOSAN902","2025-01-07T01:30",51.4,1.6,1.8,51.1,0.7,1.1
"KCALOSAN902","2025-01-07T01:45",51.4,0.9,1.6,51.4,0.7,0.9
"KCALOSAN902","2025-01-07T02:00",53.1,2.5,2.7,51.6,0.9,1.6
"KCALOSAN902","2025-01-07T02:15",55.6,2.2,2.7,54.5,1.3,2
"KCALOSAN902","2025-01-07T02:30",55.9,3.6,6.3,55.8,1.8,2.7
"KCALOSAN902","2025-01-07T02:45",57.2,3.1,4.5,56.5,1.8,2.5
"KCALOSAN902","2025-01-07T03:00",57.6,3.1,4.3,57.4,2.2,3.6
"KCALOSAN902","2025-01-07T03:15",57.6,2.7,3.4,57.4,1.8,2.7
"KCALOSAN902","2025-01-07T03:30",59.5,5.6,9.4,57.6,1.6,2.9
"KCALOSAN902","2025-01-07T03:45",59.9,3.8,6.3,59.9,1.8,5.4
"KCALOSAN902","2025-01-07T04:00",59.5,3.1,5.6,59.5,2.2,3.6
"KCALOSAN902","2025-01-07T04:15",59.7,3.8,7.6,59.7,2.9,4.5
"KCALOSAN902","2025-01-07T04:30",60.8,4.9,11.2,59.9,4.3,6.9
"KCALOSAN902","2025-01-07T04:45",61.3,8.3,12.5,61,3.6,7.8
"KCALOSAN902","2025-01-07T05:00",61.2,4.5,10.7,61.2,4,6.7
"KCALOSAN902","2025-01-07T05:15",61,3.4,6.3,60.6,1.1,2.9
"KCALOSAN902","2025-01-07T05:30",60.6,4.5,8.9,60.4,2,2.9
"KCALOSAN902","2025-01-07T05:45",61,5.1,12.3,60.6,3.4,6.3
"KCALOSAN902","2025-01-07T06:00",61,4.7,8.3,60.8,4,7.8
"KCALOSAN902","2025-01-07T06:15",60.6,2.9,4.5,60.1,1.8,3.1
"KCALOSAN902","2025-01-07T06:30",59.9,3.6,5.4,59.5,2.7,4
"KCALOSAN902","2025-01-07T06:45",59.4,4.3,6,59.4,1.1,1.6
"KCALOSAN902","2025-01-07T07:00",59.2,4.3,6.5,59,1.3,2
"KCALOSAN902","2025-01-07T07:15",59.5,4.7,9.4,59.2,2.7,4.9
"KCALOSAN902","2025-01-07T07:30",60.1,6.7,16.1,59.5,5.6,12.1
"KCALOSAN902","2025-01-07T07:45",60.6,5.6,9.6,60.3,3.6,5.8
"KCALOSAN902","2025-01-07T08:00",61,3.4,7.6,61,2.9,4.5
"KCALOSAN902","2025-01-07T08:15",60.8,3.8,7.6,60.4,3.4,5.6
"KCALOSAN902","2025-01-07T08:30",60.4,6.3,9.6,60.3,3.1,4.9
"KCALOSAN902","2025-01-07T08:45",60.3,4.3,11.6,60.1,3.1,4.3
"KCALOSAN902","2025-01-07T09:00",60.1,4.7,9.2,60.1,2.9,6.7
"KCALOSAN902","2025-01-07T09:15",59.9,6.5,12.5,59.7,5.1,8.3
"KCALOSAN902","2025-01-07T09:30",59.7,5.1,10.5,59.4,3.6,7.2
"KCALOSAN902","2025-01-07T09:45",59,4.3,8.1,59,4.3,8.1
"KCALOSAN902","2025-01-07T10:00",59,6.3,12.3,58.8,4,8.7
"KCALOSAN902","2025-01-07T10:15",59.2,5.1,8.3,59.2,3.6,7.8
"KCALOSAN902","2025-01-07T10:30",59.4,4.7,11.6,59.4,3.8,9.4
"KCALOSAN902","2025-01-07T10:45",59.9,4.7,11.2,59.4,4.7,10.1
"KCALOSAN902","2025-01-07T11:00",61,5.4,10.1,60.4,4.7,6.9
"KCALOSAN902","2025-01-07T11:15",61.2,4.7,8.3,61,3.1,7.2
"KCALOSAN902","2025-01-07T11:30",61.9,6.5,11.2,61.3,3.4,6.5
"KCALOSAN902","2025-01-07T11:45",62.2,5.4,10.5,61.9,4,8.3
"KCALOSAN902","2025-01-07T12:00",63.1,8.3,13.6,62.6,4.7,10.3
"KCALOSAN902","2025-01-07T12:15",63.1,8.1,17,63,7.2,9.8
"KCALOSAN902","2025-01-07T12:30",63.9,6.9,13.2,63.3,4.5,8.5
"KCALOSAN902","2025-01-07T12:45",64.2,6,8.9,64,3.1,6.7
"KCALOSAN902","2025-01-07T13:00",64.8,5.6,8.7,64.4,4.3,6.9
"KCALOSAN902","2025-01-07T13:15",64.8,8.3,14.3,64.8,3.1,6.3
"KCALOSAN902","2025-01-07T13:30",64.6,6.7,13.4,64.4,4.5,8.3
"KCALOSAN902","2025-01-07T13:45",64.4,7.8,17.4,64.2,5.1,8.9
"KCALOSAN902","2025-01-07T14:00",64.6,7.8,13.2,64.4,3.1,7.8
"KCALOSAN902","2025-01-07T14:15",64.6,3.6,13.2,64.6,1.8,3.6
"KCALOSAN902","2025-01-07T14:30",64.8,8.9,13.9,64.6,4.5,9.2
"KCALOSAN902","2025-01-07T14:45",65.1,9.8,13.2,64.8,6.5,12.3
"KCALOSAN902","2025-01-07T15:00",65.3,6.5,14.1,64.9,3.1,6.7
"KCALOSAN902","2025-01-07T15:15",64.8,6.9,14.5,64.8,3.4,8.1
"KCALOSAN902","2025-01-07T15:30",64.8,6.3,13.2,64.6,5.4,8.7
"KCALOSAN902","2025-01-07T15:45",64.6,4,6.3,64.6,2.7,5.8
"KCALOSAN902","2025-01-07T16:00",64.6,4.9,8.3,64.4,4,7.8
"KCALOSAN902","2025-01-07T16:15",64,6.5,13.9,64,4.9,8.3
"KCALOSAN902","2025-01-07T16:30",63.9,6.5,11.6,63.9,4,8.3
