"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCAMALIB108","2025-01-07T00:00",52.3,0.2,1.1,52,0,0
"KCAMALIB108","2025-01-07T00:15",52,0.4,1.1,51.1,0,0
"KCAMALIB108","2025-01-07T00:30",52.7,1.1,1.1,51.4,0,0
"KCAMALIB108","2025-01-07T00:45",52.7,0.2,1.1,51.4,0,0
"KCAMALIB108","2025-01-07T01:00",52.3,0.9,1.1,51.3,0,0
"KCAMALIB108","2025-01-07T01:15",52.3,1.3,2.2,51.1,0,0
"KCAMALIB108","2025-01-07T01:30",52.5,1.8,3.4,51.1,0,0
"KCAMALIB108","2025-01-07T01:45",52.7,0.2,1.1,51.6,0,0
"KCAMALIB108","2025-01-07T02:00",52.5,0.4,1.1,51.1,0,0
"KCAMALIB108","2025-01-07T02:15",52.2,1.1,1.1,51.8,0,0
"KCAMALIB108","2025-01-07T02:30",52.2,0,0,51.3,0,0
"KCAMALIB108","2025-01-07T02:45",52.2,0.9,1.1,51.4,0,0
"KCAMALIB108","2025-01-07T03:00",51.6,0.9,1.1,51.1,0,0
"KCAMALIB108","2025-01-07T03:15",51.6,1.1,1.1,50.9,0,0
"KCAMALIB108","2025-01-07T03:30",52,2.2,3.4,50.7,0,0
"KCAMALIB108","2025-01-07T03:45",52.7,4.9,6.9,51.3,0,0
"KCAMALIB108","2025-01-07T04:00",62.1,4,6.9,52.9,0,0
"KCAMALIB108","2025-01-07T04:15",64.4,15.2,20.6,62.1,1.1,2.2
"KCAMALIB108","2025-01-07T04:30",64.4,12.8,20.6,64,2.5,3.4
"KCAMALIB108","2025-01-07T04:45",64.2,12.3,15.9,64,2.2,3.4
"KCAMALIB108","2025-01-07T05:00",64,13.9,19.5,63.9,2.5,4.5
"KCAMALIB108","2025-01-07T05:15",64,15,23.9,63.9,3.4,4.5
"KCAMALIB108","2025-01-07T05:30",64.4,17.9,25.1,64,6,9.2
"KCAMALIB108","2025-01-07T05:45",64.4,21.9,28.6,64.2,5.6,8.1
"KCAMALIB108","2025-01-07T06:00",64.2,16.6,26.2,63.9,4.3,9.2
"KCAMALIB108","2025-01-07T06:15",64,12.3,17.2,63.7,4.7,5.8
"KCAMALIB108","2025-01-07T06:30",63.9,12.5,15.9,63.3,1.6,3.4
"KCAMALIB108","2025-01-07T06:45",63.3,15,20.6,63,2.2,3.4
"KCAMALIB108","2025-01-07T07:00",63.1,18.8,23.9,63.1,4.5,5.8
"KCAMALIB108","2025-01-07T07:15",63.5,15.4,20.6,63.1,4.5,6.9
"KCAMALIB108","2025-01-07T07:30",63.7,18.8,21.7,63.3,6.9,10.3
"KCAMALIB108","2025-01-07T07:45",64.4,18.8,21.7,63.7,4.9,5.8
"KCAMALIB108","2025-01-07T08:00",64.4,10.3,18.3,64.4,2.7,3.4
"KCAMALIB108","2025-01-07T08:15",64.6,10.1,18.3,64.4,1.1,2.2
"KCAMALIB108","2025-01-07T08:30",64.9,17,25.1,64.6,2.5,3.4
"KCAMALIB108","2025-01-07T08:45",64.9,17.9,30.9,64.6,2.9,3.4
"KCAMALIB108","2025-01-07T09:00",65.7,13,23.9,64.6,2.9,3.4
"KCAMALIB108","2025-01-07T09:15",65.5,12.1,21.7,64.9,2.9,5.8
"KCAMALIB108","2025-01-07T09:30",65.1,13.9,23.9,64.6,3.4,5.8
"KCAMALIB108","2025-01-07T09:45",65.8,15.7,28.6,64.6,2.2,2.2
"KCAMALIB108","2025-01-07T10:00",65.7,15.7,23.9,65.1,2.9,3.4
"KCAMALIB108","2025-01-07T10:15",65.8,13.6,22.8,65.3,4,6.9
"KCAMALIB108","2025-01-07T10:30",66.6,15.2,22.8,65.8,2.2,4.5
"KCAMALIB108","2025-01-07T10:45",67.1,13.2,29.8,66.4,3.1,5.8
"KCAMALIB108","2025-01-07T11:00",67.8,11.4,22.8,67.1,1.1,2.2
"KCAMALIB108","2025-01-07T11:15",68.4,11.9,22.8,67.5,1.8,3.4
"KCAMALIB108","2025-01-07T11:30",68.5,14.1,21.7,68,2,3.4
"KCAMALIB108","2025-01-07T11:45",69.1,13,20.6,68.2,2.2,3.4
"KCAMALIB108","2025-01-07T12:00",69.4,15,27.3,68.7,1.3,2.2
"KCAMALIB108","2025-01-07T12:15",70.3,12.1,19.5,69.3,1.3,2.2
"KCAMALIB108","2025-01-07T12:30",69.8,13.2,21.7,68.7,2.2,3.4
"KCAMALIB108","2025-01-07T12:45",70,14.1,22.8,69.1,2,3.4
"KCAMALIB108","2025-01-07T13:00",71.4,9.2,14.8,69.6,0.4,1.1
"KCAMALIB108","2025-01-07T13:15",71.8,11.2,17.2,71.2,0.2,1.1
"KCAMALIB108","2025-01-07T13:30",72.3,13.2,21.7,71.2,0.4,1.1
"KCAMALIB108","2025-01-07T13:45",71.6,16.8,19.5,71.2,1.1,2.2
"KCAMALIB108","2025-01-07T14:00",72,12.8,19.5,70.9,0.7,1.1
"KCAMALIB108","2025-01-07T14:15",72.1,11.2,17.2,71.6,1.1,2.2
"KCAMALIB108","2025-01-07T14:30",71.8,12.5,17.2,71.4,1.8,2.2
"KCAMALIB108","2025-01-07T14:45",71.6,16.3,20.6,71.1,2.9,5.8
"KCAMALIB108","2025-01-07T15:00",71.4,15.7,21.7,70.9,5.4,8.1
"KCAMALIB108","2025-01-07T15:15",71.4,15.7,21.7,70.9,5.4,8.1
"KCAMALIB108","2025-01-07T15:30",71.4,15.7,21.7,70.9,5.4,8.1
"KCAMALIB108","2025-01-07T15:45",70.5,10.5,21.7,70.2,1.8,2.2
"KCAMALIB108","2025-01-07T16:00",70.2,11.2,17.2,69.4,0,0
"KCAMALIB108","2025-01-07T16:15",69.4,12.8,21.7,68.5,2.2,3.4
"KCAMALIB108","2025-01-07T16:30",70.2,11.2,17.2,69.4,0,0
"KCAMALIB108","2025-01-07T16:45",70.2,11.2,17.2,69.4,0,0
