"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCABEVER36","2025-01-07T00:00",49.8,0,0,48.7,0,0
"KCABEVER36","2025-01-07T00:15",49.1,0,0,48.4,0,0
"KCABEVER36","2025-01-07T00:30",48.9,0,0,47.8,0,0
"KCABEVER36","2025-01-07T00:45",48,2,3.4,47.1,0,0
"KCABEVER36","2025-01-07T01:00",48.2,2.2,3.4,46.8,0,0
"KCABEVER36","2025-01-07T01:15",48,1.1,1.1,46.2,0,0
"KCABEVER36","2025-01-07T01:30",47.8,0,0,46.4,0,0
"KCABEVER36","2025-01-07T01:45",46.9,0,0,46.4,0,0
"KCABEVER36","2025-01-07T02:00",46.9,0,0,46.2,0,0
"KCABEVER36","2025-01-07T02:15",48.2,1.8,2.2,46.6,0,0
"KCABEVER36","2025-01-07T02:30",50.5,1.8,2.2,48.4,0,0
"KCABEVER36","2025-01-07T02:45",51.1,0.2,1.1,50.5,0,0
"KCABEVER36","2025-01-07T03:00",51.3,2.9,3.4,50.5,0,0
"KCABEVER36","2025-01-07T03:15",52.9,3.8,4.5,51.3,0,0
"KCABEVER36","2025-01-07T03:30",53.6,2.7,4.5,52.7,0,0
"KCABEVER36","2025-01-07T03:45",54.7,2.2,3.4,53.6,0,0
"KCABEVER36","2025-01-07T04:00",54.9,3.1,3.4,54,0,0
"KCABEVER36","2025-01-07T04:15",55.8,3.8,6.9,53.6,0,0
"KCABEVER36","2025-01-07T04:30",57.7,6,10.3,55.8,0,0
"KCABEVER36","2025-01-07T04:45",58.8,4,6.9,57.7,0,0
"KCABEVER36","2025-01-07T05:00",59.4,4.7,6.9,58.5,0.7,1.1
"KCABEVER36","2025-01-07T05:15",59.4,2.7,4.5,58.5,0,0
"KCABEVER36","2025-01-07T05:30",58.5,3.6,4.5,58.3,0,0
"KCABEVER36","2025-01-07T05:45",59.4,4.9,6.9,58.5,0,0
"KCABEVER36","2025-01-07T06:00",59.4,5.1,6.9,59,0,0
"KCABEVER36","2025-01-07T06:15",59.7,4.5,8.1,59,0,0
"KCABEVER36","2025-01-07T06:30",60.1,8.1,13.6,59.4,0.7,1.1
"KCABEVER36","2025-01-07T06:45",59.4,5.6,8.1,58.5,0,0
"KCABEVER36","2025-01-07T07:00",58.5,3.4,5.8,58.3,0,0
"KCABEVER36","2025-01-07T07:15",59.2,8.7,11.4,57.9,0,0
"KCABEVER36","2025-01-07T07:30",59.9,6,10.3,59.2,0.9,1.1
"KCABEVER36","2025-01-07T07:45",60.1,6,9.2,59.5,0.2,1.1
"KCABEVER36","2025-01-07T08:00",60.6,7.4,12.5,60.1,0,0
"KCABEVER36","2025-01-07T08:15",60.1,7.6,13.6,59.7,0.7,1.1
