"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCALOSAN803","2025-01-07T00:00",54,0,0,54,0,0
"KCALOSAN803","2025-01-07T00:15",54,0,0,53.8,0,0
"KCALOSAN803","2025-01-07T00:30",53.8,0,0,53.6,0,0
"KCALOSAN803","2025-01-07T00:45",53.6,0,0,53.2,0,0
"KCALOSAN803","2025-01-07T01:00",53.4,0,0,53.1,0,0
"KCALOSAN803","2025-01-07T01:15",53.4,0,0,53.1,0,0
"KCALOSAN803","2025-01-07T01:30",53.4,0,0,52.9,0,0
"KCALOSAN803","2025-01-07T01:45",53.4,0,0,52.7,0,0
"KCALOSAN803","2025-01-07T02:00",54.5,0,0,53.4,0,0
"KCALOSAN803","2025-01-07T02:15",55,0.2,1.1,54.3,0,0
"KCALOSAN803","2025-01-07T02:30",55,0,0,54.5,0,0
"KCALOSAN803","2025-01-07T02:45",54.7,0,0,54.5,0,0
"KCALOSAN803","2025-01-07T03:00",55.8,0,0,54.7,0,0
"KCALOSAN803","2025-01-07T03:15",56.1,0,0,55.8,0,0
"KCALOSAN803","2025-01-07T03:30",57,0,0,55.8,0,0
"KCALOSAN803","2025-01-07T03:45",58.1,0.2,2.2,57.2,0,0
"KCALOSAN803","2025-01-07T04:00",57.9,0.2,1.1,57.7,0,0
"KCALOSAN803","2025-01-07T04:15",57.9,0,0,57.7,0,0
"KCALOSAN803","2025-01-07T04:30",59.4,0.4,1.1,57.7,0,0
"KCALOSAN803","2025-01-07T04:45",59.9,0.2,2.2,59.4,0,0
"KCALOSAN803","2025-01-07T05:00",60.1,0.4,2.2,59.7,0,0
"KCALOSAN803","2025-01-07T05:15",60.3,0.9,3.4,59.9,0,0
"KCALOSAN803","2025-01-07T05:30",60.1,0,0,59.5,0,0
"KCALOSAN803","2025-01-07T05:45",60.1,0.4,2.2,59.4,0,0
"KCALOSAN803","2025-01-07T06:00",60.3,0.2,2.2,59.9,0,0
"KCALOSAN803","2025-01-07T06:15",60.1,0.7,2.2,59.7,0,0
"KCALOSAN803","2025-01-07T06:30",59.7,0.4,1.1,58.8,0,0
"KCALOSAN803","2025-01-07T06:45",58.8,0.4,1.1,58.8,0,0
"KCALOSAN803","2025-01-07T07:00",58.8,0.2,1.1,58.6,0,0
"KCALOSAN803","2025-01-07T07:15",59.2,0.2,1.1,58.6,0,0
"KCALOSAN803","2025-01-07T07:30",60.3,1.8,3.4,59.2,0,0
"KCALOSAN803","2025-01-07T07:45",61,2.7,5.8,60.3,0,0
"KCALOSAN803","2025-01-07T08:00",63.9,2.7,4.5,61,0,0
"KCALOSAN803","2025-01-07T08:15",64.2,0.9,3.4,61.5,0,0
"KCALOSAN803","2025-01-07T08:30",61.5,2,4.5,61,0,0
"KCALOSAN803","2025-01-07T08:45",61,2.5,5.8,61,0,0
"KCALOSAN803","2025-01-07T09:00",61.7,3.8,10.3,61,0,0
"KCALOSAN803","2025-01-07T09:15",62.8,2.7,4.5,61.7,0,0
"KCALOSAN803","2025-01-07T09:30",63.5,3.4,8.1,62.8,0,0
"KCALOSAN803","2025-01-07T09:45",62.6,4.7,9.2,61.3,0,0
"KCALOSAN803","2025-01-07T10:00",61.3,3.4,6.9,61,0,0
"KCALOSAN803","2025-01-07T10:15",61.7,4.9,9.2,61,0.2,1.1
"KCALOSAN803","2025-01-07T10:30",62.1,3.4,5.8,61.3,0,0
"KCALOSAN803","2025-01-07T10:45",62.2,3.6,5.8,61.7,0,0
"KCALOSAN803","2025-01-07T11:00",65.5,2,3.4,62.2,0,0
"KCALOSAN803","2025-01-07T11:15",66.4,2.2,5.8,65.5,0,0
"KCALOSAN803","2025-01-07T11:30",68.4,2,5.8,66.7,0,0
"KCALOSAN803","2025-01-07T11:45",69.1,4.7,6.9,67.3,0,0
"KCALOSAN803","2025-01-07T12:00",69.8,2.5,6.9,68.9,0,0
"KCALOSAN803","2025-01-07T12:15",70.3,1.1,3.4,69.4,0,0
"KCALOSAN803","2025-01-07T12:30",70.3,1.3,3.4,69.4,0,0
"KCALOSAN803","2025-01-07T12:45",71.6,1.1,3.4,69.6,0,0
"KCALOSAN803","2025-01-07T13:00",71.8,1.6,4.5,71.2,0,0
"KCALOSAN803","2025-01-07T13:15",72.5,2.2,4.5,70.2,0,0
"KCALOSAN803","2025-01-07T13:30",70.2,5.6,12.5,69.1,1.1,3.4
"KCALOSAN803","2025-01-07T13:45",69.4,3.1,6.9,68.5,0.7,1.1
"KCALOSAN803","2025-01-07T14:00",68.4,3.8,5.8,68.2,0,0
"KCALOSAN803","2025-01-07T14:15",68.9,4.9,9.2,68.2,0,0
"KCALOSAN803","2025-01-07T14:30",68.4,1.3,3.4,67.5,0,0
"KCALOSAN803","2025-01-07T14:45",67.5,4.3,6.9,66.9,0,0
"KCALOSAN803","2025-01-07T15:00",67.1,3.6,9.2,66.6,0,0
"KCALOSAN803","2025-01-07T15:15",66.6,3.1,5.8,66.2,0,0
