"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCAMALIB166","2025-01-07T00:00",53.6,0.9,1.6,53.2,0.2,0.7
"KCAMALIB166","2025-01-07T00:15",52.8,1.3,1.6,52.2,0,0
"KCAMALIB166","2025-01-07T00:30",52.4,1.6,2.2,52.1,0,0
"KCAMALIB166","2025-01-07T00:45",53.2,2.5,2.9,52.3,0.9,1.6
"KCAMALIB166","2025-01-07T01:00",53.2,2.5,3.8,53.1,1.6,2.2
"KCAMALIB166","2025-01-07T01:15",53.2,3.1,3.8,52.8,1.1,1.6
"KCAMALIB166","2025-01-07T01:30",53.5,1.1,1.6,52.7,0,0
"KCAMALIB166","2025-01-07T01:45",52.7,2.5,2.9,51.9,0,0
"KCAMALIB166","2025-01-07T02:00",52.4,0.9,1.6,52.2,0,0
"KCAMALIB166","2025-01-07T02:15",52.7,1.8,2.2,52.2,0,0
"KCAMALIB166","2025-01-07T02:30",53.1,1.6,2.2,52.8,0.4,0.7
"KCAMALIB166","2025-01-07T02:45",53.8,1.6,1.6,52.9,1.1,1.6
"KCAMALIB166","2025-01-07T03:00",53.2,1.6,1.6,52.6,0,0
"KCAMALIB166","2025-01-07T03:15",52.8,2,2.2,52.3,0.4,0.7
"KCAMALIB166","2025-01-07T03:30",53.1,2.9,2.9,52.2,0.4,0.7
"KCAMALIB166","2025-01-07T03:45",53.7,1.6,2.2,52.3,0.2,0.7
"KCAMALIB166","2025-01-07T04:00",52.8,2.7,2.9,52.1,1.1,1.6
"KCAMALIB166","2025-01-07T04:15",55,7.2,11.9,52.7,0.9,1.6
"KCAMALIB166","2025-01-07T04:30",60.7,10.3,19.9,57.7,5.4,7.4
"KCAMALIB166","2025-01-07T04:45",63.5,17.2,22.8,62,5.1,8.9
"KCAMALIB166","2025-01-07T05:00",64.2,15,21.5,63.7,4.7,7.4
"KCAMALIB166","2025-01-07T05:15",64.1,16.6,25.9,64,5.4,8.9
"KCAMALIB166","2025-01-07T05:30",64.4,12.3,18.6,63.9,8.1,11.2
"KCAMALIB166","2025-01-07T05:45",64,8.1,13.2,63.8,5.6,10.3
