"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCAPACIF287","2025-01-07T00:00",55,0,3,55,0,3
"KCAPACIF287","2025-01-07T00:15",55,1,5,55,1,5
"KCAPACIF287","2025-01-07T00:30",55,2,8,55,2,8
"KCAPACIF287","2025-01-07T00:45",54.7,1,5,54.7,1,5
"KCAPACIF287","2025-01-07T01:00",54.2,3,3,54.2,3,3
"KCAPACIF287","2025-01-07T01:15",54.3,4,5,54.3,4,5
"KCAPACIF287","2025-01-07T01:30",54.8,3,6,54.8,3,6
"KCAPACIF287","2025-01-07T01:45",54.6,2,6,54.6,2,6
"KCAPACIF287","2025-01-07T02:00",55.3,3,7,55.3,3,7
"KCAPACIF287","2025-01-07T02:15",55.6,2,5,55.6,2,5
"KCAPACIF287","2025-01-07T02:30",55.6,2,5,55.6,2,5
"KCAPACIF287","2025-01-07T02:45",55.4,0,2,55.4,0,2
"KCAPACIF287","2025-01-07T03:00",55.7,0,0,55.7,0,0
"KCAPACIF287","2025-01-07T03:15",55.9,0,3,55.9,0,3
"KCAPACIF287","2025-01-07T03:30",54.7,1,4,54.7,1,4
"KCAPACIF287","2025-01-07T03:45",54.3,1,6,54.3,1,6
"KCAPACIF287","2025-01-07T04:00",54.6,0,2,54.6,0,2
"KCAPACIF287","2025-01-07T04:15",58.3,3,16,58.3,3,16
"KCAPACIF287","2025-01-07T04:30",62,5,20,62,5,20
"KCAPACIF287","2025-01-07T04:45",63.4,28,28,63.4,28,28
"KCAPACIF287","2025-01-07T05:00",63.2,10,26,63.2,10,26
"KCAPACIF287","2025-01-07T05:15",62.6,3,19,62.6,3,19
"KCAPACIF287","2025-01-07T05:30",62.3,5,17,62.3,5,17
"KCAPACIF287","2025-01-07T05:45",62.4,20,18,62.4,20,18
"KCAPACIF287","2025-01-07T06:00",62.7,12,23,62.7,12,23
"KCAPACIF287","2025-01-07T06:15",62.3,5,19,62.3,5,19
"KCAPACIF287","2025-01-07T06:30",61.9,6,23,61.9,6,23
"KCAPACIF287","2025-01-07T06:45",61.7,8,24,61.7,8,24
"KCAPACIF287","2025-01-07T07:00",61.6,23,26,61.6,23,26
"KCAPACIF287","2025-01-07T07:15",61.7,18,26,61.7,18,26
"KCAPACIF287","2025-01-07T07:30",62.1,13,26,62.1,13,26
"KCAPACIF287","2025-01-07T07:45",62.5,25,21,62.5,25,21
"KCAPACIF287","2025-01-07T08:00",63.4,2,27,63.4,2,27
"KCAPACIF287","2025-01-07T08:15",63.7,18,28,63.7,18,28
"KCAPACIF287","2025-01-07T08:30",62.9,5,35,62.9,5,35
"KCAPACIF287","2025-01-07T08:45",62.6,10,32,62.6,10,32
"KCAPACIF287","2025-01-07T09:00",62.3,26,36,62.3,26,36
"KCAPACIF287","2025-01-07T09:15",62.2,14,40,62.2,14,40
"KCAPACIF287","2025-01-07T09:30",61.8,23,39,61.8,23,39
"KCAPACIF287","2025-01-07T09:45",60.9,15,37,60.9,15,37
"KCAPACIF287","2025-01-07T10:00",61.3,11,29,61.3,11,29
"KCAPACIF287","2025-01-07T10:15",62.5,4,27,62.5,4,27
"KCAPACIF287","2025-01-07T10:30",63.5,8,26,63.5,8,26
"KCAPACIF287","2025-01-07T10:45",64,14,30,64,14,30
"KCAPACIF287","2025-01-07T11:00",64.4,7,25,64.4,7,25
"KCAPACIF287","2025-01-07T11:15",65.4,22,36,65.4,22,36
"KCAPACIF287","2025-01-07T11:30",65.8,14,27,65.8,14,27
"KCAPACIF287","2025-01-07T11:45",66.3,15,25,66.3,15,25
"KCAPACIF287","2025-01-07T12:00",66.6,23,33,66.6,23,33
"KCAPACIF287","2025-01-07T12:15",66.9,8,40,66.9,8,40
"KCAPACIF287","2025-01-07T12:30",67.4,1,29,67.4,1,29
"KCAPACIF287","2025-01-07T12:45",67.9,8,27,67.9,8,27
"KCAPACIF287","2025-01-07T13:00",68.4,6,30,68.4,6,30
"KCAPACIF287","2025-01-07T13:15",68.4,7,35,68.4,7,35
"KCAPACIF287","2025-01-07T13:30",68.8,3,29,68.8,3,29
"KCAPACIF287","2025-01-07T13:45",68.1,2,40,68.1,2,40
"KCAPACIF287","2025-01-07T14:00",68.3,13,31,68.3,13,31
"KCAPACIF287","2025-01-07T14:15",68,16,32,68,16,32
"KCAPACIF287","2025-01-07T14:30",67.7,10,32,67.7,10,32
"KCAPACIF287","2025-01-07T14:45",67.8,27,27,67.8,27,27
"KCAPACIF287","2025-01-07T15:00",67.2,6,27,67.2,6,27
"KCAPACIF287","2025-01-07T15:15",67.4,3,29,67.4,3,29
"KCAPACIF287","2025-01-07T15:30",67.1,15,31,67.1,15,31
"KCAPACIF287","2025-01-07T15:45",66.8,15,22,66.8,15,22
"KCAPACIF287","2025-01-07T16:00",66.8,10,32,66.8,10,32
"KCAPACIF287","2025-01-07T16:15",66.3,8,27,66.3,8,27
"KCAPACIF287","2025-01-07T16:30",66.1,11,33,66.1,11,33
"KCAPACIF287","2025-01-07T16:45",65.9,25,34,65.9,25,34
"KCAPACIF287","2025-01-07T17:00",65.8,24,36,65.8,24,36
"KCAPACIF287","2025-01-07T17:15",69.3,16,60,69.3,16,60
"KCAPACIF287","2025-01-07T17:30",101.7,29,56,101.7,29,56
"KCAPACIF287","2025-01-07T17:45",65.8,24,36,65.8,24,36
