"Station","DateTime","Temperature High","Wind Speed High","Wind Gust High","Temperature Low","Wind Speed Low","Wind Gust Low"
"KCATOPAN40","2025-01-07T00:00",57,1.1,2.2,57,0,0
"KCATOPAN40","2025-01-07T00:15",57,3.8,5.8,56.8,0,0
"KCATOPAN40","2025-01-07T00:30",56.8,0.9,2.2,55.6,0,0
"KCATOPAN40","2025-01-07T00:45",55.6,1.8,2.2,54.1,0,0
"KCATOPAN40","2025-01-07T01:00",56.1,5.1,9.2,54.7,0.2,1.1
"KCATOPAN40","2025-01-07T01:15",56.3,2.9,4.5,55.9,0,0
"KCATOPAN40","2025-01-07T01:30",55.8,2.2,3.4,55,0,0
"KCATOPAN40","2025-01-07T01:45",55.8,2.2,3.4,55.4,0,0
"KCATOPAN40","2025-01-07T02:00",55.6,5.1,8.1,55.4,0,0
"KCATOPAN40","2025-01-07T02:15",55.6,3.4,5.8,55.2,0,0
"KCATOPAN40","2025-01-07T02:30",55.4,3.4,5.8,54.7,0,0
"KCATOPAN40","2025-01-07T02:45",55.9,6,11.4,55.2,0,0
"KCATOPAN40","2025-01-07T03:00",55.9,3.8,6.9,55.4,0,0
"KCATOPAN40","2025-01-07T03:15",55.9,7.6,10.3,55.4,0.2,1.1
"KCATOPAN40","2025-01-07T03:30",56.7,10.1,13.6,55.9,0.4,1.1
"KCATOPAN40","2025-01-07T03:45",57.2,6.9,12.5,56.7,0.9,1.1
"KCATOPAN40","2025-01-07T04:00",57.2,11.6,17.2,57,0.9,2.2
"KCATOPAN40","2025-01-07T04:15",57.2,7.4,11.4,57,0.9,2.2
"KCATOPAN40","2025-01-07T04:30",57,6,9.2,56.7,0.9,2.2
"KCATOPAN40","2025-01-07T04:45",57.7,9.2,15.9,56.8,1.8,3.4
"KCATOPAN40","2025-01-07T05:00",57.9,9.2,13.6,57.4,1.3,2.2
"KCATOPAN40","2025-01-07T05:15",57.6,6,9.2,57.2,1.1,1.1
"KCATOPAN40","2025-01-07T05:30",57.2,6.5,8.1,56.8,0.2,1.1
"KCATOPAN40","2025-01-07T05:45",57,5.8,8.1,56.8,0,0
"KCATOPAN40","2025-01-07T06:00",57,6.7,11.4,56.7,1.3,2.2
"KCATOPAN40","2025-01-07T06:15",56.8,6.3,9.2,56.3,0.4,1.1
"KCATOPAN40","2025-01-07T06:30",56.3,5.4,9.2,55.8,0.2,1.1
"KCATOPAN40","2025-01-07T06:45",56.1,6.9,11.4,55.8,0.9,2.2
"KCATOPAN40","2025-01-07T07:00",56.3,8.5,12.5,55.9,1.6,3.4
"KCATOPAN40","2025-01-07T07:15",56.7,7.8,11.4,56.3,0.7,1.1
"KCATOPAN40","2025-01-07T07:30",57,7.6,12.5,56.5,0.9,2.2
"KCATOPAN40","2025-01-07T07:45",57,15.4,21.7,56.8,1.3,2.2
"KCATOPAN40","2025-01-07T08:00",57.4,13.6,20.6,57,2,3.4
"KCATOPAN40","2025-01-07T08:15",57.4,11.9,15.9,57.2,0.9,3.4
"KCATOPAN40","2025-01-07T08:30",57.4,11.9,17.2,57,1.8,2.2
"KCATOPAN40","2025-01-07T08:45",57,12.3,20.6,56.7,1.8,2.2
"KCATOPAN40","2025-01-07T09:00",57,11,21.7,56.8,2.7,3.4
"KCATOPAN40","2025-01-07T09:15",57.2,11,20.6,57,2.2,2.2
"KCATOPAN40","2025-01-07T09:30",57,10.3,18.3,56.7,3.1,5.8
"KCATOPAN40","2025-01-07T09:45",57,12.1,15.9,56.3,1.8,3.4
"KCATOPAN40","2025-01-07T10:00",57.7,10.3,20.6,56.8,1.3,2.2
"KCATOPAN40","2025-01-07T10:15",58.3,11.6,15.9,57.7,1.8,3.4
"KCATOPAN40","2025-01-07T10:30",59.2,11.2,20.6,58.3,2.2,3.4
"KCATOPAN40","2025-01-07T10:45",59.5,13.2,18.3,59.2,2,2.2
"KCATOPAN40","2025-01-07T11:00",59.9,13,18.3,59,2.5,4.5
"KCATOPAN40","2025-01-07T11:15",61,11,18.3,59.9,1.8,3.4
"KCATOPAN40","2025-01-07T11:30",61,17.4,28.6,60.6,2.5,3.4
"KCATOPAN40","2025-01-07T11:45",61.2,13,22.8,60.8,1.8,4.5
"KCATOPAN40","2025-01-07T12:00",61.2,9.8,19.5,60.8,1.3,2.2
"KCATOPAN40","2025-01-07T12:15",61.9,9.2,18.3,61.2,0.9,2.2
"KCATOPAN40","2025-01-07T12:30",62.2,10.1,17.2,61.9,2.2,3.4
"KCATOPAN40","2025-01-07T12:45",62.8,9.8,17.2,62.1,1.3,2.2
"KCATOPAN40","2025-01-07T13:00",63,10.7,17.2,62.2,1.6,2.2
"KCATOPAN40","2025-01-07T13:15",63,9.2,15.9,62.4,1.8,2.2
"KCATOPAN40","2025-01-07T13:30",62.8,8.3,14.8,62.2,0.2,1.1
"KCATOPAN40","2025-01-07T13:45",63.1,11.2,17.2,62.4,1.8,3.4
"KCATOPAN40","2025-01-07T14:00",63.1,12.3,21.7,62.4,2.2,3.4
"KCATOPAN40","2025-01-07T14:15",62.4,11.2,15.9,62.2,0.7,1.1
"KCATOPAN40","2025-01-07T14:30",62.4,9.4,15.9,62.2,1.8,3.4
"KCATOPAN40","2025-01-07T14:45",62.6,10.1,15.9,62.2,1.8,3.4
"KCATOPAN40","2025-01-07T15:00",62.8,9.6,12.5,62.4,1.1,2.2
"KCATOPAN40","2025-01-07T15:15",62.4,11.2,14.8,62.1,0.9,2.2
"KCATOPAN40","2025-01-07T15:30",62.2,13.2,19.5,61.9,0.9,2.2
"KCATOPAN40","2025-01-07T15:45",62.1,10.7,15.9,61.5,0.9,2.2
"KCATOPAN40","2025-01-07T16:00",61.7,12.8,25.1,61.5,2.2,3.4
"KCATOPAN40","2025-01-07T16:15",61.5,11.9,26.2,61.2,0.4,1.1
"KCATOPAN40","2025-01-07T16:30",61.2,12.8,19.5,60.8,1.3,2.2
"KCATOPAN40","2025-01-07T16:45",61,12.8,19.5,60.6,0.9,2.2
"KCATOPAN40","2025-01-07T17:00",60.8,11.9,19.5,60.4,1.3,2.2
"KCATOPAN40","2025-01-07T17:15",60.4,10.1,17.2,59.9,0.7,1.1
"KCATOPAN40","2025-01-07T17:30",60.1,10.7,18.3,59.7,1.3,3.4
"KCATOPAN40","2025-01-07T17:45",59.7,8.5,13.6,59.4,0.2,1.1
"KCATOPAN40","2025-01-07T18:00",59.7,9.6,17.2,59.4,2.2,3.4
"KCATOPAN40","2025-01-07T18:15",59.5,8.9,15.9,59.4,0.9,1.1
"KCATOPAN40","2025-01-07T18:30",59.9,10.1,19.5,59.4,1.3,2.2
"KCATOPAN40","2025-01-07T18:45",60.1,13.9,23.9,59.9,4,5.8
"KCATOPAN40","2025-01-07T19:00",59.9,17,34.2,59.4,2.7,5.8
"KCATOPAN40","2025-01-07T19:15",59.4,12.8,19.5,59.2,2.9,4.5
"KCATOPAN40","2025-01-07T19:30",59.4,13.9,21.7,58.8,1.8,3.4
"KCATOPAN40","2025-01-07T19:45",58.8,13.6,26.2,58.5,2.7,3.4
"KCATOPAN40","2025-01-07T20:00",58.5,14.5,21.7,58.1,3.1,4.5
"KCATOPAN40","2025-01-07T20:15",58.1,20.8,35.3,57.9,1.3,2.2
"KCATOPAN40","2025-01-07T20:30",58.3,12.1,23.9,57.9,1.8,3.4
"KCATOPAN40","2025-01-07T20:45",57.9,10.5,18.3,57.2,0.4,1.1
"KCATOPAN40","2025-01-07T21:00",57.2,11.9,21.7,56.5,2.2,3.4
"KCATOPAN40","2025-01-07T21:15",57.2,13.9,23.9,57,1.8,2.2
"KCATOPAN40","2025-01-07T21:30",57.2,12.3,18.3,56.7,4,5.8
"KCATOPAN40","2025-01-07T21:45",56.8,21.5,34.2,56.7,2.2,3.4
