Date,Temperature Max,Temperature Avg,Temperature Min,Dew Point Max,Dew Point Avg,Dew Point Min,Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max,Wind Speed Avg,Wind Speed Min,Pressure Max,Pressure Avg,Pressure Min,Total Precipitation Inches
1/28/1947,54,50.7,44,49,42.4,35,93,73.8,63,28,15.7,1,29.8,29.7,29.6,0
4/3/1947,61,54.9,48,50,43.6,39,80,66.3,51,39,16.8,3,29.8,29.8,29.7,0
11/5/1947,69,59.3,51,55,31.1,0,100,46.7,13,30,15.6,0,30,29.9,29.8,0
12/29/1947,60,52.3,47,48,32.5,0,93,53.6,31,28,14.1,1,29.9,29.8,29.7,0
2/5/1948,56,51.1,46,49,45.7,42,93,82.2,62,32,13.2,3,29.8,29.7,29.6,0
2/10/1948,58,52,47,48,30.5,0,90,52.3,23,29,13.1,0,29.9,29.8,29.7,0
2/23/1948,65,56.7,49,30,20.7,0,41,27.5,15,32,20.5,13,29.7,29.6,29.5,0
4/23/1948,64,58.2,51,51,46.1,34,86,66.5,33,29,11.6,3,29.8,29.8,29.7,0
11/17/1948,64,57.5,51,54,48,29,100,75.2,28,30,7.1,0,30,29.9,29.9,0
11/26/1948,61,54.4,47,51,32.5,16,97,52.8,20,36,16.6,2,30,29.8,29.8,0
1/2/1949,56,50.4,44,46,26.3,0,90,45.9,23,30,13.5,2,29.9,29.8,29.7,0
1/16/1949,55,49.3,43,15,9.8,6,31,20.7,17,35,21.2,8,30.1,30,30,0
3/28/1949,64,57.3,53,50,39.3,25,86,54.6,23,31,14.4,3,29.8,29.6,29.5,0
10/8/1949,69,61,55,48,30.2,23,62,32.5,18,28,15.6,3,29.8,29.7,29.6,0
10/18/1949,61,57.5,52,53,44.8,37,83,63.5,49,35,15.4,2,29.8,29.8,29.7,0
11/10/1949,62,59.5,56,58,52.5,38,97,79.4,46,28,14.8,3,29.9,29.8,29.7,0
1/24/1950,57,52.2,45,49,36.7,0,83,59.5,42,33,16.3,7,29.8,29.7,29.7,0
3/25/1950,56,51.5,45,47,40.3,33,86,66.1,53,33,17.3,3,29.8,29.7,29.6,0
12/31/1950,56,50.6,47,24,22.4,21,39,33.5,28,28,18,12,29.8,29.7,29.6,0
1/11/1951,55,49.4,43,52,44.3,40,96,83.2,66,29,11.8,2,29.9,29.8,29.7,0
1/12/1951,60,51.3,42,41,30.2,0,86,55.6,33,29,12.1,2,30,29.8,29.7,0
4/28/1951,62,56.2,53,55,50.8,45,100,82.8,60,28,10.3,0,29.9,29.8,29.6,0
4/29/1951,59,54.5,48,46,41.7,35,80,62.7,45,36,17.3,3,29.6,29.6,29.5,0
12/5/1951,61,55.8,48,59,40.9,33,93,58.7,41,30,14.8,3,29.9,29.7,29.6,0
12/30/1951,59,55.1,50,54,48.5,36,93,79.2,59,35,17.5,3,29.7,29.6,29.6,0
2/3/1952,72,62.8,55,44,35.4,0,67,39.4,22,35,10.3,1,30.1,30.1,30,0
3/1/1952,55,52.5,49,52,42.4,34,96,70.1,51,37,21,0,29.6,29.5,29.5,0
3/15/1952,54,50.1,49,52,48.3,46,97,93.9,86,30,14.9,8,29.9,29.7,29.6,0
